"Buff编号","Buff名称","Buff简述","classname","限制动作","时间","量","清除方式","保存到硬盘","下线保存时间","策划备注类型","Buff类型","针对类型","是否发给客户端","广播类型","发战斗脚本","效果","一次性BUFF","一次性BUFF效果值","计数","自身覆盖类型","覆盖属性","场景状态ID","战斗内是否显示","Tips描述","Buff显示名","图标id","特效","特殊表现","特效优先级","文字特效","文字特效优先级"
"507003","摆摊","摆摊","fire.pb.buff.continual.NullBuff","","-1","-1","-1","false","0","","401","-1","0","-1","false","","0","","-1","0","","","0","","","-1","","","0","","0"
"507004","战斗状态","战斗状态","fire.pb.buff.continual.NullBuff","","-1","-1","-1","false","0","","401","-1","0","-1","false","","0","","-1","0","","1","0","","","-1","","","0","","0"
"507005","观战","观战","fire.pb.buff.continual.NullBuff","","-1","-1","-1","false","0","","401","-1","0","-1","false","","0","","-1","0","","2","0","","","-1","","","0","","0"
"507006","队伍中","队伍中","fire.pb.buff.continual.NullBuff","","-1","-1","-1","false","0","","401","-1","0","-1","false","","0","","-1","0","","","0","","","-1","","","0","","0"
"507007","队长","队长","fire.pb.buff.continual.NullBuff","","-1","-1","-1","false","0","","401","-1","1","2","false","","0","","-1","0","","","0","效果：队长奖励增加10%","队长","900","","","0","","0"
"507008","队员","队员","fire.pb.buff.continual.NullBuff","","-1","-1","-1","false","0","","401","-1","0","-1","false","","0","","-1","0","","","0","","","-1","","","0","","0"
"507009","归队队员状态","归队队员状态","fire.pb.buff.continual.NullBuff","","-1","-1","-1","false","0","","401","-1","0","-1","false","","0","","-1","0","","","0","","","-1","","","0","","0"
"507010","暂离队员状态","暂离队员状态","fire.pb.buff.continual.NullBuff","","-1","-1","-1","false","0","","401","-1","0","-1","false","","0","","-1","0","","","0","","","-1","","","0","","0"
"507011","归队中队员","归队中队员","fire.pb.buff.continual.NullBuff","","-1","-1","-1","false","0","","401","-1","0","-1","false","","0","","-1","0","","","0","","","-1","","","0","","0"
"507012","离线队员","离线队员","fire.pb.buff.continual.NullBuff","","-1","-1","-1","false","0","","401","-1","0","-1","false","","0","","-1","0","","","0","","","-1","","","0","","0"
"507020","剧情动画演示状态","剧情动画演示状态","fire.pb.buff.continual.PlayCGBuff","","1800","-1","1","false","0","","401","-1","1","-1","false","","0","","-1","0","","8","0","","","-1","","","0","","0"
"507025","ROLL点状态","ROLL点状态","fire.pb.buff.continual.NullBuff","","-1","-1","-1","false","0","","401","-1","0","-1","false","","0","","-1","0","","","0","","","-1","","","0","","0"
"507026","日常副本中状态","日常副本中状态","fire.pb.buff.continual.NullBuff","","-1","-1","-1","false","0","","401","-1","0","-1","false","","0","","-1","0","","","0","","","-1","","","0","","0"
"507027","播放录像","播放录像","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","1","false","0","","401","-1","0","-1","false","","0","","-1","0","","4","0","","","-1","","","0","","0"
"507028","没点卡","没点卡","fire.pb.buff.continual.NullBuff","","-1","-1","1","false","0","","401","-1","0","-1","false","","0","","-1","0","","","0","","","-1","","","0","","0"
"507029","在公会战场中","在公会战场中","fire.pb.buff.continual.NullBuff","","-1","-1","1","false","0","","401","-1","0","-1","false","","0","","-1","0","","","0","","","-1","","","0","","0"
"507030","跨服状态","播放录像","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","1","false","0","","401","-1","0","-1","false","","0","","-1","0","","4","0","","","-1","","","0","","0"
"507031","飞剑Buff","法宝Buff","fire.pb.buff.continual.EquipmentBuff","","0","0","2","false","0","","402","0","0","-1","false","","0","","0","0","","","0","","","-1","","","0","","0"
"507032","附灵玉Buff","法宝Buff","fire.pb.buff.continual.EquipmentBuff","","0","0","2","false","0","","402","0","0","-1","false","","0","","0","0","","","0","","","-1","","","0","","0"
"507033","碧玉葫芦Buff","法宝Buff","fire.pb.buff.continual.EquipmentBuff","","0","0","2","false","0","","402","0","0","-1","false","","0","","0","0","","","0","","","-1","","","0","","0"
"254777","特殊称谓被动","这里显示的是增益描述","fire.pb.buff.continual.ConstantlyBuff","","","","","","","","","","","","","","","","","","","","","这里显示的是降低描述","","","","","","",""
"540101","睥睨天下","睥睨天下","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","2","TRUE","0","其他","310","","1","","true","magicattack_percent=0.03;phyattack_percent=0.03;medical_percent=0.03;defend_percent=0.03;magicdef_percent=0.03;speed_percent=0.03","","","-1","0","","","1","<T t=""佩戴者受到物理攻击时，降低10%伤害。""></T>","金甲仙衣★","832","","","0","",""
"540102","叱诧风云","叱诧风云","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","2","TRUE","0","其他","310","","1","","true","magicattack_percent=0.02;phyattack_percent=0.02;medical_percent=0.02;defend_percent=0.02;magicdef_percent=0.02;speed_percent=0.02","","","-1","0","","","1","<T t=""佩戴者受到物理攻击时，降低10%伤害。""></T>","金甲仙衣★","832","","","0","",""
"540103","锋芒毕露","锋芒毕露","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","2","TRUE","0","其他","310","","1","","true","magicattack_percent=0.01;phyattack_percent=0.01;medical_percent=0.01;defend_percent=0.01;magicdef_percent=0.01;speed_percent=0.01","","","-1","0","","","1","<T t=""佩戴者受到物理攻击时，降低10%伤害。""></T>","金甲仙衣★","832","","","0","",""
"540104","初露锋芒","初露锋芒","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","2","TRUE","0","其他","310","","1","","true","magicattack_percent=0.01;phyattack_percent=0.01;medical_percent=0.01;defend_percent=0.01;magicdef_percent=0.01;speed_percent=0.01","","","-1","0","","","1","<T t=""佩戴者受到物理攻击时，降低10%伤害。""></T>","金甲仙衣★","832","","","0","",""
"540201","称号•神羊使者","锋芒毕露","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","2","TRUE","0","其他","310","","1","","true","phyattack_value=5;magicattack_value=5;defend_value=5;magicdef_value=5","","","-1","0","","","1","<T t=""佩戴者受到物理攻击时，降低10%伤害。""></T>","金甲仙衣★","832","","","0","",""
"540202","称号•泡泡使者","锋芒毕露","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","2","TRUE","0","其他","310","","1","","true","phyattack_value=5;magicattack_value=5;defend_value=5;magicdef_value=5","","","-1","0","","","1","<T t=""佩戴者受到物理攻击时，降低10%伤害。""></T>","金甲仙衣★","832","","","0","",""
"540203","称号•九色鹿使者","锋芒毕露","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","2","TRUE","0","其他","310","","1","","true","phyattack_value=5;magicattack_value=5;defend_value=5;magicdef_value=5","","","-1","0","","","1","<T t=""佩戴者受到物理攻击时，降低10%伤害。""></T>","金甲仙衣★","832","","","0","",""
"540204","称号•大熊猫使者","锋芒毕露","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","2","TRUE","0","其他","310","","1","","true","phyattack_value=5;magicattack_value=5;defend_value=5;magicdef_value=5","","","-1","0","","","1","<T t=""佩戴者受到物理攻击时，降低10%伤害。""></T>","金甲仙衣★","832","","","0","",""
"540205","称号•神鸡使者","锋芒毕露","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","2","TRUE","0","其他","310","","1","","true","phyattack_value=5;magicattack_value=5;defend_value=5;magicdef_value=5","","","-1","0","","","1","<T t=""佩戴者受到物理攻击时，降低10%伤害。""></T>","金甲仙衣★","832","","","0","",""
"540206","称号•神猴使者","锋芒毕露","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","2","TRUE","0","其他","310","","1","","true","phyattack_value=5;magicattack_value=5;defend_value=5;magicdef_value=5","","","-1","0","","","1","<T t=""佩戴者受到物理攻击时，降低10%伤害。""></T>","金甲仙衣★","832","","","0","",""
"540207","称号•赤焰兽使者","锋芒毕露","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","2","TRUE","0","其他","310","","1","","true","phyattack_value=5;magicattack_value=5;defend_value=5;magicdef_value=5","","","-1","0","","","1","<T t=""佩戴者受到物理攻击时，降低10%伤害。""></T>","金甲仙衣★","832","","","0","",""
"540208","称号•神龙使者","锋芒毕露","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","2","TRUE","0","其他","310","","1","","true","phyattack_value=5;magicattack_value=5;defend_value=5;magicdef_value=5","","","-1","0","","","1","<T t=""佩戴者受到物理攻击时，降低10%伤害。""></T>","金甲仙衣★","832","","","0","",""
"540209","称号•炼妖大师","锋芒毕露","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","2","TRUE","0","其他","310","","1","","true","phyattack_value=10;magicattack_value=10;defend_value=10;magicdef_value=10","","","-1","0","","","1","<T t=""佩戴者受到物理攻击时，降低10%伤害。""></T>","金甲仙衣★","832","","","0","",""
"540210","称号•神宠拥有者","锋芒毕露","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","2","TRUE","0","其他","310","","1","","true","phyattack_value=10;magicattack_value=10;defend_value=10;magicdef_value=10","","","-1","0","","","1","<T t=""佩戴者受到物理攻击时，降低10%伤害。""></T>","金甲仙衣★","832","","","0","",""
"540211","称号•谨遵师嘱","锋芒毕露","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","2","TRUE","0","其他","310","","1","","true","phyattack_value=5;magicattack_value=5;defend_value=5;magicdef_value=5","","","-1","0","","","1","<T t=""佩戴者受到物理攻击时，降低10%伤害。""></T>","金甲仙衣★","832","","","0","",""
"540212","称号•强盗克星","锋芒毕露","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","2","TRUE","0","其他","310","","1","","true","phyattack_value=5;magicattack_value=5;defend_value=5;magicdef_value=5","","","-1","0","","","1","<T t=""佩戴者受到物理攻击时，降低10%伤害。""></T>","金甲仙衣★","832","","","0","",""
"540213","称号•智慧过人","锋芒毕露","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","2","TRUE","0","其他","310","","1","","true","phyattack_value=5;magicattack_value=5;defend_value=5;magicdef_value=5","","","-1","0","","","1","<T t=""佩戴者受到物理攻击时，降低10%伤害。""></T>","金甲仙衣★","832","","","0","",""
"540214","称号•运镖之王","锋芒毕露","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","2","TRUE","0","其他","310","","1","","true","phyattack_value=5;magicattack_value=5;defend_value=5;magicdef_value=5","","","-1","0","","","1","<T t=""佩戴者受到物理攻击时，降低10%伤害。""></T>","金甲仙衣★","832","","","0","",""
"540215","称号•中流砥柱","锋芒毕露","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","2","TRUE","0","其他","310","","1","","true","phyattack_value=5;magicattack_value=5;defend_value=5;magicdef_value=5","","","-1","0","","","1","<T t=""佩戴者受到物理攻击时，降低10%伤害。""></T>","金甲仙衣★","832","","","0","",""
"540216","称号•钟馗在世","锋芒毕露","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","2","TRUE","0","其他","310","","1","","true","phyattack_value=5;magicattack_value=5;defend_value=5;magicdef_value=5","","","-1","0","","","1","<T t=""佩戴者受到物理攻击时，降低10%伤害。""></T>","金甲仙衣★","832","","","0","",""
"540217","称号•乐于助人","锋芒毕露","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","2","TRUE","0","其他","310","","1","","true","phyattack_value=5;magicattack_value=5;defend_value=5;magicdef_value=5","","","-1","0","","","1","<T t=""佩戴者受到物理攻击时，降低10%伤害。""></T>","金甲仙衣★","832","","","0","",""
"540218","称号•锻造达人","锋芒毕露","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","2","TRUE","0","其他","310","","1","","true","phyattack_value=5;magicattack_value=5;defend_value=5;magicdef_value=5","","","-1","0","","","1","<T t=""佩戴者受到物理攻击时，降低10%伤害。""></T>","金甲仙衣★","832","","","0","",""
"540219","称号•全身十三段","锋芒毕露","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","2","TRUE","0","其他","310","","1","","true","phyattack_value=10;magicattack_value=10;defend_value=10;magicdef_value=10","","","-1","0","","","1","<T t=""佩戴者受到物理攻击时，降低10%伤害。""></T>","金甲仙衣★","832","","","0","",""
"540220","跟我皮","锋芒毕露","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","2","TRUE","0","其他","310","","1","","true","phyattack_value=100;magicattack_value=100;defend_value=100;magicdef_value=100","","","-1","0","","","1","<T t=""佩戴者受到物理攻击时，降低10%伤害。""></T>","金甲仙衣★","832","","","0","",""
"540221","食屎呀你","锋芒毕露","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","2","TRUE","0","其他","310","","1","","true","phyattack_value=100;magicattack_value=100;defend_value=100;magicdef_value=100","","","-1","0","","","1","<T t=""佩戴者受到物理攻击时，降低10%伤害。""></T>","金甲仙衣★","832","","","0","",""
"540222","东莞动手","锋芒毕露","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","2","TRUE","0","其他","310","","1","","true","phyattack_value=100;magicattack_value=100;defend_value=100;magicdef_value=100","","","-1","0","","","1","<T t=""佩戴者受到物理攻击时，降低10%伤害。""></T>","金甲仙衣★","832","","","0","",""
"540223","我命由我不由天","锋芒毕露","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","2","TRUE","0","其他","310","","1","","true","phyattack_value=100;magicattack_value=100;defend_value=100;magicdef_value=100","","","-1","0","","","1","<T t=""佩戴者受到物理攻击时，降低10%伤害。""></T>","金甲仙衣★","832","","","0","",""
"540224","你简直比无法无天","锋芒毕露","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","2","TRUE","0","其他","310","","1","","true","phyattack_value=100;magicattack_value=100;defend_value=100;magicdef_value=100","","","-1","0","","","1","<T t=""佩戴者受到物理攻击时，降低10%伤害。""></T>","金甲仙衣★","832","","","0","",""
"540225","所谓富贵险中求","锋芒毕露","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","2","TRUE","0","其他","310","","1","","true","phyattack_value=100;magicattack_value=100;defend_value=100;magicdef_value=100","","","-1","0","","","1","<T t=""佩戴者受到物理攻击时，降低10%伤害。""></T>","金甲仙衣★","832","","","0","",""
"540226","要兄弟还是要黄金","锋芒毕露","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","2","TRUE","0","其他","310","","1","","true","phyattack_value=100;magicattack_value=100;defend_value=100;magicdef_value=100","","","-1","0","","","1","<T t=""佩戴者受到物理攻击时，降低10%伤害。""></T>","金甲仙衣★","832","","","0","",""
"540227","我没做大哥很久了","锋芒毕露","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","2","TRUE","0","其他","310","","1","","true","phyattack_value=100;magicattack_value=100;defend_value=100;magicdef_value=100","","","-1","0","","","1","<T t=""佩戴者受到物理攻击时，降低10%伤害。""></T>","金甲仙衣★","832","","","0","",""
"540228","衣冠不整不许入内","锋芒毕露","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","2","TRUE","0","其他","310","","1","","true","phyattack_value=100;magicattack_value=100;defend_value=100;magicdef_value=100","","","-1","0","","","1","<T t=""佩戴者受到物理攻击时，降低10%伤害。""></T>","金甲仙衣★","832","","","0","",""
"540229","出来混要说话算话","锋芒毕露","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","2","TRUE","0","其他","310","","1","","true","phyattack_value=100;magicattack_value=100;defend_value=100;magicdef_value=100","","","-1","0","","","1","<T t=""佩戴者受到物理攻击时，降低10%伤害。""></T>","金甲仙衣★","832","","","0","",""
"540230","铜锣湾只有一个浩南","锋芒毕露","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","2","TRUE","0","其他","310","","1","","true","phyattack_value=100;magicattack_value=100;defend_value=100;magicdef_value=100","","","-1","0","","","1","<T t=""佩戴者受到物理攻击时，降低10%伤害。""></T>","金甲仙衣★","832","","","0","",""
"540231","一个月几百块玩什么命","锋芒毕露","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","2","TRUE","0","其他","310","","1","","true","phyattack_value=100;magicattack_value=100;defend_value=100;magicdef_value=100","","","-1","0","","","1","<T t=""佩戴者受到物理攻击时，降低10%伤害。""></T>","金甲仙衣★","832","","","0","",""
"540232","有钱真的可以为所欲为","锋芒毕露","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","2","TRUE","0","其他","310","","1","","true","phyattack_value=100;magicattack_value=100;defend_value=100;magicdef_value=100","","","-1","0","","","1","<T t=""佩戴者受到物理攻击时，降低10%伤害。""></T>","金甲仙衣★","832","","","0","",""
"540233","生死有命富贵在天","锋芒毕露","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","2","TRUE","0","其他","310","","1","","true","phyattack_value=100;magicattack_value=100;defend_value=100;magicdef_value=100","","","-1","0","","","1","<T t=""佩戴者受到物理攻击时，降低10%伤害。""></T>","金甲仙衣★","832","","","0","",""
"540234","他娘的意大利炮呢","锋芒毕露","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","2","TRUE","0","其他","310","","1","","true","phyattack_value=100;magicattack_value=100;defend_value=100;magicdef_value=100","","","-1","0","","","1","<T t=""佩戴者受到物理攻击时，降低10%伤害。""></T>","金甲仙衣★","832","","","0","",""
"540235","十二点后我说的算","锋芒毕露","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","2","TRUE","0","其他","310","","1","","true","phyattack_value=100;magicattack_value=100;defend_value=100;magicdef_value=100","","","-1","0","","","1","<T t=""佩戴者受到物理攻击时，降低10%伤害。""></T>","金甲仙衣★","832","","","0","",""
"540236","还有王法吗还有法律吗","锋芒毕露","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","2","TRUE","0","其他","310","","1","","true","phyattack_value=100;magicattack_value=100;defend_value=100;magicdef_value=100","","","-1","0","","","1","<T t=""佩戴者受到物理攻击时，降低10%伤害。""></T>","金甲仙衣★","832","","","0","",""
"540237","雕虫小技竟敢班门弄","锋芒毕露","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","2","TRUE","0","其他","310","","1","","true","phyattack_value=100;magicattack_value=100;defend_value=100;magicdef_value=100","","","-1","0","","","1","<T t=""佩戴者受到物理攻击时，降低10%伤害。""></T>","金甲仙衣★","832","","","0","",""
"540238","我话讲完了谁赞同谁反对","锋芒毕露","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","2","TRUE","0","其他","310","","1","","true","phyattack_value=100;magicattack_value=100;defend_value=100;magicdef_value=100","","","-1","0","","","1","<T t=""佩戴者受到物理攻击时，降低10%伤害。""></T>","金甲仙衣★","832","","","0","",""
"540239","二十一点","锋芒毕露","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","2","TRUE","0","其他","310","","1","","true","phyattack_value=100;magicattack_value=100;defend_value=100;magicdef_value=100","","","-1","0","","","1","<T t=""佩戴者受到物理攻击时，降低10%伤害。""></T>","金甲仙衣★","832","","","0","",""
"254888","休息BUFF显示","这里显示的是增益描述","fire.pb.buff.continual.ConstantlyBuff","","","","","","","","","","","","","","","","","","","","","这里显示的是降低描述","","","","","","",""
"508201","横扫千军","","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","0","false","0","其他","310","","1","","true","","","","2","0","","","1","休息，物法防御降低","横扫千军","116","geffect/skill/mt_buff/xiuxi","","-2","",""
"508202","万剑归一","","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","0","false","0","其他","310","","1","","true","","","","2","0","","","1","休息，物法防御降低","万剑归一","117","geffect/skill/mt_buff/xiuxi","","-2","",""
"508203","幻音古钟","","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","0","false","0","其他","310","","1","","true","","","","2","0","","","1","休息，物法防御降低","幻音古钟","122","geffect/skill/mt_buff/xiuxi","","-2","",""
"508204","鹰击","","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","0","false","0","其他","310","","1","","true","","","","2","0","","","1","休息，物法防御降低","鹰击","125","geffect/skill/mt_buff/xiuxi","","-2","",""
"508205","连环击","","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","0","false","0","其他","310","","1","","true","","","","2","0","","","1","休息，物法防御降低","连环击","127","geffect/skill/mt_buff/xiuxi","","-2","",""
"508206","象形","","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","0","false","0","其他","310","","1","","true","","","","2","0","","","1","休息，物法防御降低","象形","126","geffect/skill/mt_buff/xiuxi","","-2","",""
"508207","鹰击长空","","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","0","false","0","其他","310","","1","","true","","","","2","0","","","1","休息，物法防御降低","鹰击长空","128","geffect/skill/mt_buff/xiuxi","","-2","",""
"508208","魂锁判官","","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","0","false","0","其他","310","","1","","true","","","","2","0","","","1","休息，物法防御降低","魂锁判官","131","geffect/skill/mt_buff/xiuxi","","-2","",""
"508209","魔浪滔天","","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","0","false","0","其他","310","","1","","true","","","","2","0","","","1","休息，物法防御降低","魔浪滔天","136","geffect/skill/mt_buff/xiuxi","","-2","",""
"508210","沐日慈悲","","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","0","false","0","其他","310","","1","","true","","","","2","0","","","1","休息，物法防御降低","沐日慈悲","140","geffect/skill/mt_buff/xiuxi","","-2","",""
"508211","飞星流火","","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","0","false","0","其他","310","","1","","true","","","","2","0","","","1","休息，物法防御降低","飞星流火","144","geffect/skill/mt_buff/xiuxi","","-2","",""
"508212","广寒清辉","","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","0","false","0","其他","310","","1","","true","","","","2","0","","","1","休息，物法防御降低","广寒清辉","147","geffect/skill/mt_buff/xiuxi","","-2","",""
"508213","一元复始","","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","0","false","0","其他","310","","1","","true","","","","2","0","","","1","休息，物法防御降低","一元复始","152","geffect/skill/mt_buff/xiuxi","","-2","",""
"254999","虚弱休息BUFF/ID不可更改","","fire.pb.buff.continual.ConstantlyBuff","","","","","","","","","","","","","","","","","","","","","虚弱休息BUFF/ID不可更改","","","","","","",""
"501002","休息：2回合","休息：2回合","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","0","false","0","其他","310","","1","","true","","","","2","0","","","0","休息：2回合","休息：2回合","384","","","0","",""
"501008","虚弱：降防","物防，法防降低。","fire.pb.buff.continual.DecisionBuff","","-1","-1","0","false","0","其他","310","","1","","true","","","","2","0","","","0","虚弱：降防","虚弱：降防","20","","","0","",""
"254521","大唐官府技能/被动","","fire.pb.buff.continual.ConstantlyBuff","","","","","","","","","","","","","","","","","","","","","大唐官府技能/被动","","","","","","",""
"501101","翩鸿一击","提升速度，格挡物理攻击","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","0","false","0","战斗中增益状态","210","","1","","true","blockrate_value=0.30","","","-1","0","","","1","","翩鸿一击","113","geffect/skill/acc1-dt/Cc.phyjbuff","","-1","",""
"501102","翩鸿一击反击","反击/不显示","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","0","false","0","战斗中增益状态","210","","1","","true","fanjirate_value=0.30;fanjidegree_value=1","","","-1","0","","","0","","反击","19","","","0","",""
"501103","翩鸿一击灵动","灵动/不显示","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","0","false","0","战斗中增益状态","210","","1","","true","speed_percent=0.15","","","-1","0","","","0","","灵动","19","","","0","",""
"501015","杀气诀","提升物伤，单体攻击击杀目标，可再次触发技能","fire.pb.buff.continual.ConstantlyBuff","","-1","-1","0","false","0","战斗中增益状态","210","","1","","TRUE","","","","5","0","","","1","","杀气诀","115","geffect/skill/acc1-dt/Cc.sqjbuff","","0","",""
