"编号","类型","显示名","道具名颜色","颜色品质","造型编号","单位","等级","需求等级","排序ID","可否摧毁","可否摆摊上架","点卡服可否摆摊上架","默认有效时间","可否卖店","是否绑定","是否拾取绑定","是否下线消失","战斗内使用对象","战斗内使用者对象","战斗外使用对象","最大堆叠数量","最大拥有数量","删除后服务器保留天数","珍品找回消耗","描述","功能说明","售卖商店类型","售卖NPCID","道具使用方法","道具类名","道具类名1","使用按钮功能类型","使用按钮功能参数1","使用按钮功能参数2","使用按钮功能参数3","宠物装备位置","恢复宠物忠诚度","宠物装备属性id","宠物装备属性最小值","宠物装备属性最大值","宠物装备技能","分解奖励道具id","分解奖励道具数量","使用次数限制","可否给予战斗中对象","使用后是否消耗","属性名1","属性名2","属性名3","属性名4","属性名5","属性名6","属性值1","属性值2","属性值3","属性值4","属性值5","属性值6","获取途径1","获取途径2","获取途径3","获取途径4","获取途径5","获取途径6","获取途径7","获取途径8","获取途径9","是否珍品","摆摊冻结时间","是否稀有","寻路特殊处理","特殊用途1","特殊用途2","特殊用途3","特殊用途4","特殊用途5"
"219014","154","琉璃护腕","FF6DDCF6","5","1789","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升输出属性","","10298","使用方法：点击直接给参战宠使用","护腕","","3","15","","","1","0","130,150","41,41","41,41","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219015","154","琉璃护腕","FF6DDCF6","5","1789","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升输出属性","","10298","使用方法：点击直接给参战宠使用","护腕","","3","15","","","1","0","130,150","42,42","42,42","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219016","154","琉璃护腕","FF6DDCF6","5","1789","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升输出属性","","10298","使用方法：点击直接给参战宠使用","护腕","","3","15","","","1","0","130,150","43,43","43,43","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219017","154","琉璃护腕","FF6DDCF6","5","1789","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升输出属性","","10298","使用方法：点击直接给参战宠使用","护腕","","3","15","","","1","0","130,150","44,44","44,44","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219018","154","琉璃护腕","FF6DDCF6","5","1789","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升输出属性","","10298","使用方法：点击直接给参战宠使用","护腕","","3","15","","","1","0","130,150","45,45","45,45","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219019","154","琉璃护腕","FF6DDCF6","5","1789","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升输出属性","","10298","使用方法：点击直接给参战宠使用","护腕","","3","15","","","1","0","130,150","46,46","46,46","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219020","154","琉璃护腕","FF6DDCF6","5","1789","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升输出属性","","10298","使用方法：点击直接给参战宠使用","护腕","","3","15","","","1","0","130,150","47,47","47,47","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219021","154","琉璃护腕","FF6DDCF6","5","1789","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升输出属性","","10298","使用方法：点击直接给参战宠使用","护腕","","3","15","","","1","0","130,150","48,48","48,48","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219022","154","琉璃护腕","FF6DDCF6","5","1789","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升输出属性","","10298","使用方法：点击直接给参战宠使用","护腕","","3","15","","","1","0","130,150","49,49","49,49","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219023","154","琉璃护腕","FF6DDCF6","5","1789","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升输出属性","","10298","使用方法：点击直接给参战宠使用","护腕","","3","15","","","1","0","130,150","50,50","50,50","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219024","154","琉璃护腕","FF6DDCF6","5","1789","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升输出属性","","10298","使用方法：点击直接给参战宠使用","护腕","","3","15","","","1","0","130,150","51,51","51,51","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219025","154","琉璃护腕","FF6DDCF6","5","1789","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升输出属性","","10298","使用方法：点击直接给参战宠使用","护腕","","3","15","","","1","0","130,150","52,52","52,52","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219026","154","琉璃护腕","FF6DDCF6","5","1789","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升输出属性","","10298","使用方法：点击直接给参战宠使用","护腕","","3","15","","","1","0","130,150","53,53","53,53","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219027","154","琉璃护腕","FF6DDCF6","5","1789","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升输出属性","","10298","使用方法：点击直接给参战宠使用","护腕","","3","15","","","1","0","130,150","54,54","54,54","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219028","154","琉璃护腕","FF6DDCF6","5","1789","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升输出属性","","10298","使用方法：点击直接给参战宠使用","护腕","","3","15","","","1","0","130,150","55,55","55,55","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219029","154","琉璃护腕","FF6DDCF6","5","1789","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升输出属性","","10298","使用方法：点击直接给参战宠使用","护腕","","3","15","","","1","0","130,150","56,56","56,56","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219030","154","琉璃护腕","FF6DDCF6","5","1789","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升输出属性","","10298","使用方法：点击直接给参战宠使用","护腕","","3","15","","","1","0","130,150","57,57","57,57","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219031","154","琉璃环","FF6DDCF6","5","1792","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升辅助属性","","10298","使用方法：点击直接给参战宠使用","项圈","","3","15","","","3","0","200,60","11,68","11,68","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219032","154","琉璃环","FF6DDCF6","5","1792","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升辅助属性","","10298","使用方法：点击直接给参战宠使用","项圈","","3","15","","","3","0","200,60","12,70","12,70","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219033","154","琉璃环","FF6DDCF6","5","1792","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升辅助属性","","10298","使用方法：点击直接给参战宠使用","项圈","","3","15","","","3","0","200,60","13,72","13,72","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219034","154","琉璃环","FF6DDCF6","5","1792","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升辅助属性","","10298","使用方法：点击直接给参战宠使用","项圈","","3","15","","","3","0","200,60","14,74","14,74","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219035","154","琉璃环","FF6DDCF6","5","1792","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升辅助属性","","10298","使用方法：点击直接给参战宠使用","项圈","","3","15","","","3","0","200,60","15,76","15,76","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219036","154","琉璃环","FF6DDCF6","5","1792","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升辅助属性","","10298","使用方法：点击直接给参战宠使用","项圈","","3","15","","","3","0","200,60","16,78","16,78","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219037","154","琉璃环","FF6DDCF6","5","1792","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升辅助属性","","10298","使用方法：点击直接给参战宠使用","项圈","","3","15","","","3","0","200,60","17,80","17,80","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219038","154","琉璃环","FF6DDCF6","5","1792","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升辅助属性","","10298","使用方法：点击直接给参战宠使用","项圈","","3","15","","","3","0","200,60","18,82","18,82","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219039","154","琉璃环","FF6DDCF6","5","1792","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升辅助属性","","10298","使用方法：点击直接给参战宠使用","项圈","","3","15","","","3","0","200,60","19,84","19,84","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219040","154","琉璃环","FF6DDCF6","5","1792","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升辅助属性","","10298","使用方法：点击直接给参战宠使用","项圈","","3","15","","","3","0","200,60","20,86","20,86","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219041","154","琉璃环","FF6DDCF6","5","1792","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升辅助属性","","10298","使用方法：点击直接给参战宠使用","项圈","","3","15","","","3","0","200,60","21,88","21,88","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219042","154","琉璃环","FF6DDCF6","5","1792","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升辅助属性","","10298","使用方法：点击直接给参战宠使用","项圈","","3","15","","","3","0","200,60","22,90","22,90","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219043","154","琉璃环","FF6DDCF6","5","1792","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升辅助属性","","10298","使用方法：点击直接给参战宠使用","项圈","","3","15","","","3","0","200,60","23,92","23,92","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219044","154","琉璃环","FF6DDCF6","5","1792","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升辅助属性","","10298","使用方法：点击直接给参战宠使用","项圈","","3","15","","","3","0","200,60","24,94","24,94","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219045","154","琉璃环","FF6DDCF6","5","1792","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升辅助属性","","10298","使用方法：点击直接给参战宠使用","项圈","","3","15","","","3","0","200,60","25,96","25,96","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219046","154","琉璃环","FF6DDCF6","5","1792","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升辅助属性","","10298","使用方法：点击直接给参战宠使用","项圈","","3","15","","","3","0","200,60","26,98","26,98","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219047","154","琉璃环","FF6DDCF6","5","1792","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升辅助属性","","10298","使用方法：点击直接给参战宠使用","项圈","","3","15","","","3","0","200,60","27,100","27,100","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219048","154","琉璃环","FF6DDCF6","5","1792","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升辅助属性","","10298","使用方法：点击直接给参战宠使用","项圈","","3","15","","","3","0","200,60","28,102","28,102","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219049","154","琉璃环","FF6DDCF6","5","1792","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升辅助属性","","10298","使用方法：点击直接给参战宠使用","项圈","","3","15","","","3","0","200,60","29,104","29,104","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219050","154","琉璃环","FF6DDCF6","5","1792","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升辅助属性","","10298","使用方法：点击直接给参战宠使用","项圈","","3","15","","","3","0","200,60","30,106","30,106","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219051","154","琉璃环","FF6DDCF6","5","1792","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升辅助属性","","10298","使用方法：点击直接给参战宠使用","项圈","","3","15","","","3","0","200,60","31,108","31,108","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219052","154","琉璃环","FF6DDCF6","5","1792","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升辅助属性","","10298","使用方法：点击直接给参战宠使用","项圈","","3","15","","","3","0","200,60","32,110","32,110","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219053","154","琉璃环","FF6DDCF6","5","1792","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升辅助属性","","10298","使用方法：点击直接给参战宠使用","项圈","","3","15","","","3","0","200,60","33,112","33,112","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219054","154","琉璃环","FF6DDCF6","5","1792","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升辅助属性","","10298","使用方法：点击直接给参战宠使用","项圈","","3","15","","","3","0","200,60","34,114","34,114","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219055","154","琉璃环","FF6DDCF6","5","1792","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升辅助属性","","10298","使用方法：点击直接给参战宠使用","项圈","","3","15","","","3","0","200,60","35,116","35,116","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219056","154","琉璃环","FF6DDCF6","5","1792","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升辅助属性","","10298","使用方法：点击直接给参战宠使用","项圈","","3","15","","","3","0","200,60","36,118","36,118","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219057","154","琉璃环","FF6DDCF6","5","1792","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升辅助属性","","10298","使用方法：点击直接给参战宠使用","项圈","","3","15","","","3","0","200,60","37,120","37,120","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219058","154","琉璃环","FF6DDCF6","5","1792","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升辅助属性","","10298","使用方法：点击直接给参战宠使用","项圈","","3","15","","","3","0","200,60","38,122","38,122","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219059","154","琉璃环","FF6DDCF6","5","1792","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升辅助属性","","10298","使用方法：点击直接给参战宠使用","项圈","","3","15","","","3","0","200,60","39,124","39,124","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219060","154","琉璃环","FF6DDCF6","5","1792","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升辅助属性","","10298","使用方法：点击直接给参战宠使用","项圈","","3","15","","","3","0","200,60","40,126","40,126","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219061","154","琉璃罩甲","FF6DDCF6","5","1795","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升防御属性","","10298","使用方法：点击直接给参战宠使用","铠甲","","3","15","","","2","0","140,160","22,22","22,22","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219062","154","琉璃罩甲","FF6DDCF6","5","1795","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升防御属性","","10298","使用方法：点击直接给参战宠使用","铠甲","","3","15","","","2","0","140,160","23,23","23,23","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219063","154","琉璃罩甲","FF6DDCF6","5","1795","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升防御属性","","10298","使用方法：点击直接给参战宠使用","铠甲","","3","15","","","2","0","140,160","24,24","24,24","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219064","154","琉璃罩甲","FF6DDCF6","5","1795","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升防御属性","","10298","使用方法：点击直接给参战宠使用","铠甲","","3","15","","","2","0","140,160","25,25","25,25","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219065","154","琉璃罩甲","FF6DDCF6","5","1795","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升防御属性","","10298","使用方法：点击直接给参战宠使用","铠甲","","3","15","","","2","0","140,160","26,26","26,26","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219066","154","琉璃罩甲","FF6DDCF6","5","1795","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升防御属性","","10298","使用方法：点击直接给参战宠使用","铠甲","","3","15","","","2","0","140,160","27,27","27,27","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219067","154","琉璃罩甲","FF6DDCF6","5","1795","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升防御属性","","10298","使用方法：点击直接给参战宠使用","铠甲","","3","15","","","2","0","140,160","28,28","28,28","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
"219068","154","琉璃罩甲","FF6DDCF6","5","1795","件","65","65","10","true","1","0","0","0","false","false","false","0","0","2","1","0","0","5000000","炼妖合成时需取下宠装。","提升防御属性","","10298","使用方法：点击直接给参战宠使用","铠甲","","3","15","","","2","0","140,160","29,29","29,29","","257001","1","","false","1","0","","","","","","0","","","","","","","","","","","","","","","1","7","","","基础属性","","","",""
