"编号","显示名","类型","宝石类型","道具名颜色","颜色品质","造型编号","单位","等级","需求等级","排序ID","可否摧毁","可否摆摊上架","点卡服可否摆摊上架","镶嵌效果","镶嵌部位","合成宝石ID","合成成功率","tips特效表情","tips图标","默认有效时间","可否卖店","是否绑定","是否拾取绑定","是否下线消失","战斗内使用对象","战斗内使用者对象","战斗外使用对象","使用后是否消耗","最大堆叠数量","最大拥有数量","删除后服务器保留天数","珍品找回消耗","描述","功能说明","售卖商店类型","售卖NPCID","道具使用方法","道具类名","道具类名1","使用按钮功能类型","使用按钮功能参数1","使用按钮功能参数2","使用按钮功能参数3","属性名1","属性值1","属性名2","属性值2","属性名3","属性值3","属性名4","属性值4","属性名5","属性值5","属性名6","属性值6","增加躲闪","增加火系法术吸收几率","增加金系法术吸收几率","增加命中","增加木系法术吸收几率","增加内功防御","增加内功伤害","增加水系法术吸收几率","增加速度","增加土系法术吸收几率","增加外功防御","增加外功伤害","增加真气上限","增加最大生命上限","属性1ID","属性1数值","属性2ID","属性2数值","属性3ID","属性3数值","属性4ID","属性4数值","属性6ID","属性6数值","对应装备类型1","对应装备类型2","对应装备类型3","对应装备类型4","获取途径1","获取途径2","获取途径3","获取途径4","获取途径5","获取途径6","获取途径7","获取途径8","获取途径9","是否珍品","可否分解","分解成道具","分解数量","是否稀有","摆摊冻结时间","寻路特殊处理","是否可以一键分解","特殊用途1","特殊用途2","特殊用途3","特殊用途4","特殊用途5"
"35011","2级太阳石","5","2","FF6DDCF6","1","1257","颗","2","10","3010","true","0","0","效果：","物理伤害 +16","35020","100","","stone4","0","1010","false","false","false","0","0","1","1","99999","0","0","5000000","<T t=""镶嵌：20级以上武器、头盔"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><B></B><T t=""从上古时期流传至今的“太阳之石”，附有神力。"" c=""FFFFF2DF"" f=""simhei-11""></T>","物理伤害 +16","2","161506","使用方法:打开强化界面进行宝石镶嵌","宝石","2级•太阳石","3","9","","","130","16","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","130","16","","","","","","","","","0","0","0","0","5","1","","","","","","","","","0","","","1","","","1","","","","",""
"35012","2级月亮石","5","3","FF6DDCF6","1","1258","颗","2","10","3011","true","0","0","效果：","物理防御 +24","35021","100","","stone6","0","1011","false","false","false","0","0","1","1","99999","0","0","5000000","<T t=""镶嵌：20级以上衣甲、头盔"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><B></B><T t=""月宫流落到人间的宝石，吸取了月之精华。"" c=""FFFFF2DF"" f=""simhei-11""></T>","物理防御 +24","2","161506","使用方法:打开强化界面进行宝石镶嵌","宝石","2级•月亮石","3","9","","","140","24","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","140","24","","","","","","","","","0","0","0","0","5","1","","","","","","","","","0","","","1","","","1","","","","",""
"35013","2级舍利子","5","4","FF6DDCF6","1","1259","颗","2","10","3012","true","0","0","效果：","法术伤害 +12","35022","100","","stone7","0","1012","false","false","false","0","0","1","1","99999","0","0","5000000","<T t=""镶嵌：20级以上武器、项链"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><B></B><T t=""佛在修行中凝结而成的宝石，充溢着无穷的灵力。"" c=""FFFFF2DF"" f=""simhei-11""></T>","法术伤害 +12","2","161506","使用方法:打开强化界面进行宝石镶嵌","宝石","2级•舍利子","3","9","","","150","30","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","150","12","","","","","","","","","0","0","0","0","5","1","","","","","","","","","0","","","1","","","1","","","","",""
"35014","2级翡翠石","5","5","FF6DDCF6","1","1260","颗","2","10","3013","true","0","0","效果：","法术防御 +16","35023","100","","stone9","0","1013","false","false","false","0","0","1","1","99999","0","0","5000000","<T t=""镶嵌：20级以上衣甲、项链"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><B></B><T t=""自然孕育出的绿色宝石，布满变幻莫测的纹路。"" c=""FFFFF2DF"" f=""simhei-11""></T>","法术防御 +16","2","161506","使用方法:打开强化界面进行宝石镶嵌","宝石","2级•翡翠石","3","9","","","160","16","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","160","16","","","","","","","","","0","0","0","0","5","1","","","","","","","","","0","","","1","","","1","","","","",""
"35015","2级黑宝石","5","6","FF6DDCF6","1","1261","颗","2","10","3014","true","0","0","效果：","速度 +16","35024","100","","stone8","0","1014","false","false","false","0","0","1","1","99999","0","0","5000000","<T t=""镶嵌：20级以上腰带、鞋子"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><B></B><T t=""坚硬无比的宝石：表面看起来毫不起眼，实际却蕴涵着巨大力量。"" c=""FFFFF2DF"" f=""simhei-11""></T>","速度 +16","2","161506","使用方法:打开强化界面进行宝石镶嵌","宝石","2级•黑宝石","3","9","","","200","16","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","200","16","","","","","","","","","0","0","0","0","5","1","","","","","","","","","0","","","1","","","1","","","","",""
"35016","2级昆仑玉","5","7","FF6DDCF6","1","1262","颗","2","10","3015","true","0","0","效果：","治疗强度 +16","35025","100","","stone3","0","1015","false","false","false","0","0","1","1","99999","0","0","5000000","<T t=""镶嵌：20级以上武器、衣甲"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><B></B><T t=""质地细润，淡雅清爽，产自昆仑山之东，抚之心旷神怡。"" c=""FFFFF2DF"" f=""simhei-11""></T>","治疗强度 +16","2","161506","使用方法:打开强化界面进行宝石镶嵌","宝石","2级•昆仑玉","3","9","","","170","40","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","170","16","","","","","","","","","0","0","0","0","5","1","","","","","","","","","0","","","1","","","1","","","","",""
"35017","2级红纹石","5","8","FF6DDCF6","1","1263","颗","2","10","3016","true","0","0","效果：","封印命中 +12","35026","100","","stone8","0","1016","false","false","false","0","0","1","1","99999","0","0","5000000","<T t=""镶嵌：20级以上武器"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><B></B><T t=""镌刻神秘纹路的火红石头，冷静的头脑才能看出蕴含的魔力。"" c=""FFFFF2DF"" f=""simhei-11""></T>","封印命中 +12","2","161506","使用方法:打开强化界面进行宝石镶嵌","宝石","2级•红纹石","3","9","","","180","30","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","180","12","","","","","","","","","0","0","0","0","5","1","","","","","","","","","0","","","1","","","1","","","","",""
"35018","2级神秘石","5","9","FF6DDCF6","1","1264","颗","2","10","3017","true","0","0","效果：","封印抵抗 +8","35027","100","","stone3","0","1017","false","false","false","0","0","1","1","99999","0","0","5000000","<T t=""镶嵌：20级以上腰带、鞋子"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><B></B><T t=""无人知道来历的宝石，对外界施予的咒术有一股神秘的抗力。"" c=""FFFFF2DF"" f=""simhei-11""></T>","封印抵抗 +8","2","161506","使用方法:打开强化界面进行宝石镶嵌","宝石","2级•神秘石","3","9","","","190","8","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","190","8","","","","","","","","","0","0","0","0","5","1","","","","","","","","","0","","","1","","","1","","","","",""
"35019","3级光芒石","5","1","FF6DDCF6","1","1256","颗","3","10","3018","true","0","0","效果：","气血 +120","35028","100","","stone5","0","1018","false","false","false","0","0","1","1","99999","0","0","5000000","<T t=""镶嵌：30级以上衣甲、腰带"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><B></B><T t=""聚天地精华而成的宝石，通体散发着夺目的光彩，令人不敢直视。"" c=""FFFFF2DF"" f=""simhei-11""></T>","气血 +120","2","161506","使用方法:打开强化界面进行宝石镶嵌","宝石","3级•光芒石","3","9","","","60","120","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","120","","","","","","","","","0","0","0","0","5","1","","","","","","","","","0","","","1","","","1","","","","",""
"35020","3级太阳石","5","2","FF6DDCF6","1","1257","颗","3","10","3019","true","0","0","效果：","物理伤害 +24","35029","100","","stone4","0","1019","false","false","false","0","0","1","1","99999","0","0","5000000","<T t=""镶嵌：30级以上武器、头盔"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><B></B><T t=""从上古时期流传至今的“太阳之石”，附有神力。"" c=""FFFFF2DF"" f=""simhei-11""></T>","物理伤害 +24","2","161506","使用方法:打开强化界面进行宝石镶嵌","宝石","3级•太阳石","3","9","","","130","24","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","130","24","","","","","","","","","0","0","0","0","5","1","","","","","","","","","0","","","1","","","1","","","","",""
"35021","3级月亮石","5","3","FF6DDCF6","1","1258","颗","3","10","3020","true","0","0","效果：","物理防御 +36","35030","100","","stone6","0","1020","false","false","false","0","0","1","1","99999","0","0","5000000","<T t=""镶嵌：30级以上衣甲、头盔"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><B></B><T t=""月宫流落到人间的宝石，吸取了月之精华。"" c=""FFFFF2DF"" f=""simhei-11""></T>","物理防御 +36","2","161506","使用方法:打开强化界面进行宝石镶嵌","宝石","3级•月亮石","3","9","","","140","36","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","140","36","","","","","","","","","0","0","0","0","5","1","","","","","","","","","0","","","1","","","1","","","","",""
"35022","3级舍利子","5","4","FF6DDCF6","1","1259","颗","3","10","3021","true","0","0","效果：","法术伤害 +18","35031","100","","stone7","0","1021","false","false","false","0","0","1","1","99999","0","0","5000000","<T t=""镶嵌：30级以上武器、项链"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><B></B><T t=""佛在修行中凝结而成的宝石，充溢着无穷的灵力。"" c=""FFFFF2DF"" f=""simhei-11""></T>","法术伤害 +18","2","161506","使用方法:打开强化界面进行宝石镶嵌","宝石","3级•舍利子","3","9","","","150","36","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","150","18","","","","","","","","","0","0","0","0","5","1","","","","","","","","","0","","","1","","","1","","","","",""
"35023","3级翡翠石","5","5","FF6DDCF6","1","1260","颗","3","10","3022","true","0","0","效果：","法术防御 +24","35032","100","","stone9","0","1022","false","false","false","0","0","1","1","99999","0","0","5000000","<T t=""镶嵌：30级以上衣甲、项链"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><B></B><T t=""自然孕育出的绿色宝石，布满变幻莫测的纹路。"" c=""FFFFF2DF"" f=""simhei-11""></T>","法术防御 +24","2","161506","使用方法:打开强化界面进行宝石镶嵌","宝石","3级•翡翠石","3","9","","","160","24","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","160","24","","","","","","","","","0","0","0","0","5","1","","","","","","","","","0","","","1","","","1","","","","",""
"35024","3级黑宝石","5","6","FF6DDCF6","1","1261","颗","3","10","3023","true","0","0","效果：","速度 +24","35033","100","","stone8","0","1023","false","false","false","0","0","1","1","99999","0","0","5000000","<T t=""镶嵌：30级以上腰带、鞋子"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><B></B><T t=""坚硬无比的宝石：表面看起来毫不起眼，实际却蕴涵着巨大力量。"" c=""FFFFF2DF"" f=""simhei-11""></T>","速度 +24","2","161506","使用方法:打开强化界面进行宝石镶嵌","宝石","3级•黑宝石","3","9","","","200","24","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","200","24","","","","","","","","","0","0","0","0","5","1","","","","","","","","","0","","","1","","","1","","","","",""
"35025","3级昆仑玉","5","7","FF6DDCF6","1","1262","颗","3","10","3024","true","0","0","效果：","治疗强度 +24","35034","100","","stone3","0","1024","false","false","false","0","0","1","1","99999","0","0","5000000","<T t=""镶嵌：30级以上武器、衣甲"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><B></B><T t=""质地细润，淡雅清爽，产自昆仑山之东，抚之心旷神怡。"" c=""FFFFF2DF"" f=""simhei-11""></T>","治疗强度 +24","2","161506","使用方法:打开强化界面进行宝石镶嵌","宝石","3级•昆仑玉","3","9","","","170","48","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","170","24","","","","","","","","","0","0","0","0","5","1","","","","","","","","","0","","","1","","","1","","","","",""
"35026","3级红纹石","5","8","FF6DDCF6","1","1263","颗","3","10","3025","true","0","0","效果：","封印命中 +18","35035","100","","stone8","0","1025","false","false","false","0","0","1","1","99999","0","0","5000000","<T t=""镶嵌：30级以上武器"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><B></B><T t=""镌刻神秘纹路的火红石头，冷静的头脑才能看出蕴含的魔力。"" c=""FFFFF2DF"" f=""simhei-11""></T>","封印命中 +18","2","161506","使用方法:打开强化界面进行宝石镶嵌","宝石","3级•红纹石","3","9","","","180","36","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","180","18","","","","","","","","","0","0","0","0","5","1","","","","","","","","","0","","","1","","","1","","","","",""
"35027","3级神秘石","5","9","FF6DDCF6","1","1264","颗","3","10","3026","true","0","0","效果：","封印抵抗 +12","35036","100","","stone3","0","1026","false","false","false","0","0","1","1","99999","0","0","5000000","<T t=""镶嵌：30级以上腰带、鞋子"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><B></B><T t=""无人知道来历的宝石，对外界施予的咒术有一股神秘的抗力。"" c=""FFFFF2DF"" f=""simhei-11""></T>","封印抵抗 +12","2","161506","使用方法:打开强化界面进行宝石镶嵌","宝石","3级•神秘石","3","9","","","190","12","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","190","12","","","","","","","","","0","0","0","0","5","1","","","","","","","","","0","","","1","","","1","","","","",""
"35028","4级光芒石","5","1","FF6DDCF6","1","1256","颗","4","10","3027","true","0","0","效果：","气血 +160","35037","100","","stone5","0","0","false","false","false","0","0","1","1","99999","0","0","5000000","<T t=""镶嵌：40级以上衣甲、腰带"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><B></B><T t=""聚天地精华而成的宝石，通体散发着夺目的光彩，令人不敢直视。"" c=""FFFFF2DF"" f=""simhei-11""></T>","气血 +160","2","161506","使用方法:打开强化界面进行宝石镶嵌","宝石","4级•光芒石","3","9","","","60","160","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","160","","","","","","","","","0","0","0","0","5","","","","","","","","","","1","35019","2","1","","","1","","","","",""
"35029","4级太阳石","5","2","FF6DDCF6","1","1257","颗","4","10","3028","true","0","0","效果：","物理伤害 +32","35038","100","","stone4","0","0","false","false","false","0","0","1","1","99999","0","0","5000000","<T t=""镶嵌：40级以上武器、头盔"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><B></B><T t=""从上古时期流传至今的“太阳之石”，附有神力。"" c=""FFFFF2DF"" f=""simhei-11""></T>","物理伤害 +32","2","161506","使用方法:打开强化界面进行宝石镶嵌","宝石","4级•太阳石","3","9","","","130","32","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","130","32","","","","","","","","","0","0","0","0","5","","","","","","","","","","1","35020","2","1","","","1","","","","",""
"35030","4级月亮石","5","3","FF6DDCF6","1","1258","颗","4","10","3029","true","0","0","效果：","物理防御 +48","35039","100","","stone6","0","0","false","false","false","0","0","1","1","99999","0","0","5000000","<T t=""镶嵌：40级以上衣甲、头盔"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><B></B><T t=""月宫流落到人间的宝石，吸取了月之精华。"" c=""FFFFF2DF"" f=""simhei-11""></T>","物理防御 +48","2","161506","使用方法:打开强化界面进行宝石镶嵌","宝石","4级•月亮石","3","9","","","140","48","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","140","48","","","","","","","","","0","0","0","0","5","","","","","","","","","","1","35021","2","1","","","1","","","","",""
"35031","4级舍利子","5","4","FF6DDCF6","1","1259","颗","4","10","3030","true","0","0","效果：","法术伤害 +24","35040","100","","stone7","0","0","false","false","false","0","0","1","1","99999","0","0","5000000","<T t=""镶嵌：40级以上武器、项链"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><B></B><T t=""佛在修行中凝结而成的宝石，充溢着无穷的灵力。"" c=""FFFFF2DF"" f=""simhei-11""></T>","法术伤害 +24","2","161506","使用方法:打开强化界面进行宝石镶嵌","宝石","4级•舍利子","3","9","","","150","42","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","150","24","","","","","","","","","0","0","0","0","5","","","","","","","","","","1","35022","2","1","","","1","","","","",""
"35032","4级翡翠石","5","5","FF6DDCF6","1","1260","颗","4","10","3031","true","0","0","效果：","法术防御 +32","35041","100","","stone9","0","0","false","false","false","0","0","1","1","99999","0","0","5000000","<T t=""镶嵌：40级以上衣甲、项链"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><B></B><T t=""自然孕育出的绿色宝石，布满变幻莫测的纹路。"" c=""FFFFF2DF"" f=""simhei-11""></T>","法术防御 +32","2","161506","使用方法:打开强化界面进行宝石镶嵌","宝石","4级•翡翠石","3","9","","","160","32","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","160","32","","","","","","","","","0","0","0","0","5","","","","","","","","","","1","35023","2","1","","","1","","","","",""
"35033","4级黑宝石","5","6","FF6DDCF6","1","1261","颗","4","10","3032","true","0","0","效果：","速度 +32","35042","100","","stone8","0","0","false","false","false","0","0","1","1","99999","0","0","5000000","<T t=""镶嵌：40级以上腰带、鞋子"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><B></B><T t=""坚硬无比的宝石：表面看起来毫不起眼，实际却蕴涵着巨大力量。"" c=""FFFFF2DF"" f=""simhei-11""></T>","速度 +32","2","161506","使用方法:打开强化界面进行宝石镶嵌","宝石","4级•黑宝石","3","9","","","200","32","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","200","32","","","","","","","","","0","0","0","0","5","","","","","","","","","","1","35024","2","1","","","1","","","","",""
"35034","4级昆仑玉","5","7","FF6DDCF6","1","1262","颗","4","10","3033","true","0","0","效果：","治疗强度 +32","35043","100","","stone3","0","0","false","false","false","0","0","1","1","99999","0","0","5000000","<T t=""镶嵌：40级以上武器、衣甲"" c=""FFFFF2DF"" f=""simhei-11""></T><B></B><B></B><T t=""质地细润，淡雅清爽，产自昆仑山之东，抚之心旷神怡。"" c=""FFFFF2DF"" f=""simhei-11""></T>","治疗强度 +32","2","161506","使用方法:打开强化界面进行宝石镶嵌","宝石","4级•昆仑玉","3","9","","","170","56","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","170","32","","","","","","","","","0","0","0","0","5","","","","","","","","","","1","35025","2","1","","","1","","","","",""
