"编号","类型","显示名","道具名颜色","颜色品质","造型编号","单位","等级","需求等级","排序ID","可否摧毁","可否摆摊上架","点卡服可否摆摊上架","道具生效时间","道具过期时间","使用后持续时间（s）","默认有效时间","可否卖店","是否绑定","是否拾取绑定","是否下线消失","战斗内使用对象","战斗内使用者对象","战斗外使用对象","使用后是否消耗","最大堆叠数量","最大拥有数量","删除后服务器保留天数","珍品找回消耗","描述","功能说明","售卖商店类型","售卖NPCID","道具使用方法","道具类名","道具类名1","使用按钮功能类型","使用按钮功能参数1","使用按钮功能参数2","使用按钮功能参数3","加锁时能否消耗","需求锻造等级","需求裁缝等级","需求炼金等级","临时类型","获取途径1","获取途径2","获取途径3","获取途径4","获取途径5","获取途径6","获取途径7","获取途径8","获取途径9","是否珍品","是否稀有","摆摊冻结时间","寻路特殊处理","特殊用途1","特殊用途2","特殊用途3","特殊用途4","特殊用途5","是否可回收","回收道具ID","回收道具数量","可否分解","分解成道具","分解数量"
"111112","96","下面物品用于打造/修理：编号2","ff6ddcf6","4","1158","个","0","90","5500","true","0","0","0","0","0","0","0","false","false","false","0","0","1","1","999","0","0","5000000","1.战书待修改ID。2.四个强化石礼包目前暂时无用，但不可删除","金钱","","0","使用方法：直接获得金钱","","","0","","","","0","","","","","","","","","","","","","","","1","","","","","","","","0","0","0","0","0","0"
"40007","2470","玄黄无极石","ff6ddcf6","4","1269","块","0","1","5600","true","0","1","0","0","0","0","0","false","false","false","0","0","1","1","99999","0","0","5000000","产自玄黄无极石的奇石，触手温凉，它能让珍兽现身，需要提前准备99个神兜兜！","使用兑换珍兽","4","161506","NPC兑换","玄黄无极石","","","","","","0","","","","","4","5","","","","","","","","","1","","","","","","","","0","0","0","0","0","0"
"40008","2470","青龙石","ff6ddcf6","4","1304","块","0","1","5600","true","0","1","0","0","0","0","0","false","false","false","0","0","1","1","99999","0","0","5000000","带有灵气的石头，是打造武器的必须材料。","装备打造材料","4","161506","使用方法：装备打造中使用","强化石","","3","6","","","0","","","","","4","5","","","","","","","","","1","","","","","","","","0","0","0","0","0","0"
"40009","2470","朱雀石","ff6ddcf6","4","1306","块","0","1","5600","true","0","1","0","0","0","0","0","false","false","false","0","0","1","1","99999","0","0","5000000","带有灵气的石头，是打造头盔的必须材料。","装备打造材料","4","161506","使用方法：装备打造中使用","强化石","","3","6","","","0","","","","","4","5","","","","","","","","","1","","","","","","","","0","0","0","0","0","0"
"40010","2470","白虎石","ff6ddcf6","4","1305","块","0","1","5600","true","0","1","0","0","0","0","0","false","false","false","0","0","1","1","99999","0","0","5000000","带有灵气的石头，是打造衣服的必须材料。","装备打造材料","4","161506","使用方法：装备打造中使用","强化石","","3","6","","","0","","","","","4","5","","","","","","","","","1","","","","","","","","0","0","0","0","0","0"
"40011","2470","玄武石","ff6ddcf6","4","1307","块","0","1","5600","true","0","1","0","0","0","0","0","false","false","false","0","0","1","1","99999","0","0","5000000","带有灵气的石头，是打造项链、腰带、鞋子的必须材料。","装备打造材料","4","161506","使用方法：装备打造中使用","强化石","","3","6","","","0","","","","","4","5","","","","","","","","","1","","","","","","","","0","0","0","0","0","0"
"40012","150","修理符","ff6ddcf6","4","1308","张","0","1","5600","true","0","0","0","0","0","0","0","false","false","false","0","0","1","1","99999","0","0","5000000","修理装备必备材料。","装备修理材料","4","161506","使用方法：装备打造中使用","符箓","","0","","","","0","","","","","4","3","","","","","","","","","1","","","","","","","","0","0","0","0","0","0"
"40013","150","珍珠","ff6ddcf6","4","1276","颗","0","1","5600","true","0","1","0","0","0","0","0","false","false","false","0","0","1","1","999","0","0","5000000","光彩夺目，晶莹圆润，是呈送御前的不二人选。可以为神兵利器补充耐久度。","装备修理材料","4","161506","使用方法：装备打造中使用","珍珠","","3","8","","","0","","","","","4","3","","","","","","","","","1","","","","","","","","0","0","0","0","0","0"
"40014","2470","战书","ff6ddcf6","4","1246","份","0","1","5600","true","1","1","0","0","0","0","0","false","false","false","0","0","1","1","999","0","0","5000000","可对其它玩家进行强行PK","PK道具","4","161506","使用方法：强制PK使用","材料","","","","","","0","","","","","","","","","","","","","","","1","","","","","","","","0","0","0","0","0","0"
"40015","4518","强化石礼包","ff6ddcf6","4","1248","个","0","1","5600","true","0","0","0","0","0","0","0","false","false","false","0","0","1","1","999","0","0","5000000","带有灵气的石头，是强化打造项链、腰带、鞋子的材料。","装备打造材料","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","0","0","0","0","0","0"
"40016","4518","强化石礼包","ff6ddcf6","4","1248","个","0","1","5600","true","0","0","0","0","0","0","0","false","false","false","0","0","1","1","999","0","0","5000000","带有灵气的石头，是强化打造项链、腰带、鞋子的材料。","装备打造材料","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","0","0","0","0","0","0"
"40017","4518","强化石礼包","ff6ddcf6","4","1248","个","0","1","5600","true","0","0","0","0","0","0","0","false","false","false","0","0","1","1","999","0","0","5000000","带有灵气的石头，是强化打造项链、腰带、鞋子的材料。","装备打造材料","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","0","0","0","0","0","0"
"40018","4518","强化石礼包","ff6ddcf6","4","1248","个","0","1","5600","true","0","0","0","0","0","0","0","false","false","false","0","0","1","1","999","0","0","5000000","带有灵气的石头，是强化打造项链、腰带、鞋子的材料。","装备打造材料","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","0","0","0","0","0","0"
"40019","4262","强化石礼包","ff6ddcf6","4","1248","个","0","1","7100","true","0","0","0","0","0","0","0","false","false","false","0","0","1","1","999","0","0","5000000","打开可获得青龙石，朱雀石，白虎石，玄武石各1个。","获得道具","","","","礼包","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","0","0","0","0","0","0"
"40020","4262","强化石礼包•壹","ff6ddcf6","4","1248","个","0","1","7100","true","0","0","0","0","0","0","0","false","false","false","0","0","1","1","999","0","0","5000000","打开可获得青龙石，朱雀石，白虎石，玄武石各2个。","获得道具","","","","礼包","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","0","0","0","0","0","0"
"40021","4262","强化石礼包•贰","ff6ddcf6","4","1248","个","0","1","7100","true","0","0","0","0","0","0","0","false","false","false","0","0","1","1","999","0","0","5000000","打开可获得青龙石，朱雀石，白虎石，玄武石各3个。","获得道具","","","","礼包","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","0","0","0","0","0","0"
"40022","4262","强化石礼包•叁","ff6ddcf6","4","1248","个","0","1","7100","true","0","0","0","0","0","0","0","false","false","false","0","0","1","1","999","0","0","5000000","打开可获得青龙石，朱雀石，白虎石，玄武石各4个。","获得道具","","","","礼包","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","0","0","0","0","0","0"
"40023","4262","强化石礼包•四","ff6ddcf6","4","1248","个","0","1","7100","true","0","0","0","0","0","0","0","false","false","false","0","0","1","1","999","0","0","5000000","打开可获得青龙石，朱雀石，白虎石，玄武石各5个。","获得道具","","","","礼包","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","0","0","0","0","0","0"
"40024","4262","强化石礼包•五","ff6ddcf6","4","1248","个","0","1","7100","true","0","0","0","0","0","0","0","false","false","false","0","0","1","1","999","0","0","5000000","打开可获得青龙石，朱雀石，白虎石，玄武石各10个。","获得道具","","","","礼包","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","0","0","0","0","0","0"
"111113","96","下面物品用于人物属性类：编号3","ff6ddcf6","4","1158","个","0","90","5500","true","0","0","0","0","0","0","0","false","false","false","0","0","1","1","999","0","0","5000000","大量的金钱。","金钱","","0","使用方法：直接获得金钱","","","0","","","","0","","","","","","","","","","","","","","","1","","","","","","","","0","0","0","0","0","0"
"331000","294","人参果•木","ff6ddcf6","4","1199","个","0","1","7012","true","1","1","0","0","0","0","0","false","false","false","0","0","1","1","999","0","0","5000000","听说镇元大仙的后院才有这种水果，只有神仙吃得到，使用者将已分配的2点体质属性还原为潜能点。","重置角色潜能","4","161506","使用方法：点击使用","","","3","48","","","0","","","","","","","","","","","","","","","1","30","","","","","","","0","0","0","0","0","0"
"331001","294","人参果•火","ff6ddcf6","4","1206","个","0","1","7012","true","1","1","0","0","0","0","0","false","false","false","0","0","1","1","999","0","0","5000000","听说镇元大仙的后院才有这种水果，只有神仙吃得到，使用者将已分配的2点魔力属性还原为潜能点。","重置角色潜能","4","161506","使用方法：点击使用","","","3","48","","","0","","","","","","","","","","","","","","","1","30","","","","","","","0","0","0","0","0","0"
"331002","294","人参果•金","ff6ddcf6","4","1201","个","0","1","7012","true","1","1","0","0","0","0","0","false","false","false","0","0","1","1","999","0","0","5000000","听说镇元大仙的后院才有这种水果，只有神仙吃得到，使用者将已分配的2点力量属性还原为潜能点。","重置角色潜能","4","161506","使用方法：点击使用","","","3","48","","","0","","","","","","","","","","","","","","","1","30","","","","","","","0","0","0","0","0","0"
"331003","294","人参果•土","ff6ddcf6","4","1212","个","0","1","7012","true","1","1","0","0","0","0","0","false","false","false","0","0","1","1","999","0","0","5000000","听说镇元大仙的后院才有这种水果，只有神仙吃得到，使用者将已分配的2点耐力属性还原为潜能点。","重置角色潜能","4","161506","使用方法：点击使用","","","3","48","","","0","","","","","","","","","","","","","","","1","30","","","","","","","0","0","0","0","0","0"
"331004","294","人参果•水","ff6ddcf6","4","1205","个","0","1","7012","true","1","1","0","0","0","0","0","false","false","false","0","0","1","1","999","0","0","5000000","听说镇元大仙的后院才有这种水果，只有神仙吃得到，使用者将已分配的2点敏捷属性还原为潜能点。","重置角色潜能","4","161506","使用方法：点击使用","","","3","48","","","0","","","","","","","","","","","","","","","1","30","","","","","","","0","0","0","0","0","0"
"331005","294","千年人参果","ff6ddcf6","4","1196","个","0","1","7011","true","0","0","0","0","0","0","0","false","false","false","0","0","1","1","999","0","0","5000000","听说镇元大仙的后院才有这种水果，只有神仙吃得到，使用者将所有已分配的属性还原为潜能点。","重置角色潜能","4","161506","使用方法：点击使用","","","3","48","","","0","","","","","","","","","","","","","","","1","","","","","","","","0","0","0","0","0","0"
"400158","598","百年蟠桃•木","FF00b1ff","3","2286","个","0","1","7012","TRUE","0","0","0","0","0","0","0","FALSE","FALSE","FALSE","0","0","1","1","9999","0","0","0","百年蟠桃吃完激活潜能，增加1点体质属性点。","增加角色体质","4","161506","使用方法：点击使用","","","0","48","","","0","","","","","4","","","","","","","","","","","","","","","","","","0","0","0","0","0","0"
"400159","598","百年蟠桃•火","FF00b1ff","3","2293","个","0","1","7012","TRUE","0","0","0","0","0","0","0","FALSE","FALSE","FALSE","0","0","1","1","9999","0","0","0","百年蟠桃吃完激活潜能，增加1点智力属性点。","增加角色智力","4","161506","使用方法：点击使用","","","0","48","","","0","","","","","4","","","","","","","","","","","","","","","","","","0","0","0","0","0","0"
"400160","598","百年蟠桃•金","FF00b1ff","3","2285","个","0","1","7012","TRUE","0","0","0","0","0","0","0","FALSE","FALSE","FALSE","0","0","1","1","9999","0","0","0","百年蟠桃吃完激活潜能，增加1点力量属性点。","增加角色力量","4","161506","使用方法：点击使用","","","0","48","","","0","","","","","4","","","","","","","","","","","","","","","","","","0","0","0","0","0","0"
"400161","598","百年蟠桃•土","FF00b1ff","3","2291","个","0","1","7012","TRUE","0","0","0","0","0","0","0","FALSE","FALSE","FALSE","0","0","1","1","9999","0","0","0","百年蟠桃吃完激活潜能，增加1点耐力属性点。","增加角色耐力","4","161506","使用方法：点击使用","","","0","48","","","0","","","","","4","","","","","","","","","","","","","","","","","","0","0","0","0","0","0"
"400162","598","百年蟠桃•水","FF00b1ff","3","2295","个","0","1","7012","TRUE","0","0","0","0","0","0","0","FALSE","FALSE","FALSE","0","0","1","1","9999","0","0","0","百年蟠桃吃完激活潜能，增加1点敏捷属性点。","增加角色敏捷","4","161506","使用方法：点击使用","","","0","48","","","0","","","","","4","","","","","","","","","","","","","","","","","","0","0","0","0","0","0"
"400163","598","千年蟠桃","FFff46f0","4","2400","个","0","1","7011","TRUE","0","0","0","0","0","0","0","FALSE","FALSE","FALSE","0","0","1","1","9999","0","0","0","千年蟠桃吃完激活天能，增加各属性1点。","增加角色全属性","4","161506","使用方法：点击使用","","","0","48","","","0","","","","","4","","","","","","","","","","1","","","","","","","","0","0","0","0","0","0"
"400164","598","万年蟠桃","FFff46f0","4","2398","个","0","1","7011","TRUE","0","0","0","0","0","0","0","FALSE","FALSE","FALSE","0","0","1","1","9999","0","0","0","万年蟠桃吃完激活天能，增加各属性100点。","增加角色全属性","4","161506","使用方法：点击使用","","","0","48","","","0","","","","","4","","","","","","","","","","1","","","","","","","","0","0","0","0","0","0"
"400165","598","蚩尤金丹*金","FF00b1ff","3","3196","个","0","1","7012","TRUE","0","0","0","0","0","0","0","FALSE","FALSE","FALSE","0","0","1","1","9999","0","0","0","蚩尤金丹吃完激活潜能，增加1000点体质属性点。","增加角色体质","4","161506","使用方法：点击使用","","","0","48","","","0","","","","","4","","","","","","","","","","","","","","","","","","0","0","0","0","0","0"
"400166","598","蚩尤金丹*木","FF00b1ff","3","3196","个","0","1","7012","TRUE","0","0","0","0","0","0","0","FALSE","FALSE","FALSE","0","0","1","1","9999","0","0","0","蚩尤金丹吃完激活潜能，增加1000点智力属性点。","增加角色智力","4","161506","使用方法：点击使用","","","0","48","","","0","","","","","4","","","","","","","","","","","","","","","","","","0","0","0","0","0","0"
"400167","598","蚩尤金丹*水","FF00b1ff","3","3196","个","0","1","7012","TRUE","0","0","0","0","0","0","0","FALSE","FALSE","FALSE","0","0","1","1","9999","0","0","0","蚩尤金丹吃完激活潜能，增加1000点力量属性点。","增加角色力量","4","161506","使用方法：点击使用","","","0","48","","","0","","","","","4","","","","","","","","","","","","","","","","","","0","0","0","0","0","0"
"400168","598","蚩尤金丹*火","FF00b1ff","3","3196","个","0","1","7012","TRUE","0","0","0","0","0","0","0","FALSE","FALSE","FALSE","0","0","1","1","9999","0","0","0","蚩尤金丹吃完激活潜能，增加1000点耐力属性点。","增加角色耐力","4","161506","使用方法：点击使用","","","0","48","","","0","","","","","4","","","","","","","","","","","","","","","","","","0","0","0","0","0","0"
"400169","598","蚩尤金丹*土","FF00b1ff","3","3196","个","0","1","7012","TRUE","0","0","0","0","0","0","0","FALSE","FALSE","FALSE","0","0","1","1","9999","0","0","0","蚩尤金丹吃完激活潜能，增加1000点敏捷属性点。","增加角色敏捷","4","161506","使用方法：点击使用","","","0","48","","","0","","","","","4","","","","","","","","","","","","","","","","","","0","0","0","0","0","0"
"400170","598","自在天魔赤丹*金","FF00b1ff","3","3192","个","0","1","7012","TRUE","0","0","0","0","0","0","0","FALSE","FALSE","FALSE","0","0","1","1","9999","0","0","0","自在天魔赤丹吃完激活潜能，增加500点体质属性点。","增加角色体质","4","161506","使用方法：点击使用","","","0","48","","","0","","","","","4","","","","","","","","","","","","","","","","","","0","0","0","0","0","0"
"400171","598","自在天魔赤丹*木","FF00b1ff","3","3192","个","0","1","7012","TRUE","0","0","0","0","0","0","0","FALSE","FALSE","FALSE","0","0","1","1","9999","0","0","0","自在天魔赤丹吃完激活潜能，增加500点智力属性点。","增加角色智力","4","161506","使用方法：点击使用","","","0","48","","","0","","","","","4","","","","","","","","","","","","","","","","","","0","0","0","0","0","0"
"400172","598","自在天魔赤丹*水","FF00b1ff","3","3192","个","0","1","7012","TRUE","0","0","0","0","0","0","0","FALSE","FALSE","FALSE","0","0","1","1","9999","0","0","0","自在天魔赤丹吃完激活潜能，增加500点力量属性点。","增加角色力量","4","161506","使用方法：点击使用","","","0","48","","","0","","","","","4","","","","","","","","","","","","","","","","","","0","0","0","0","0","0"
"400173","598","自在天魔赤丹*火","FF00b1ff","3","3192","个","0","1","7012","TRUE","0","0","0","0","0","0","0","FALSE","FALSE","FALSE","0","0","1","1","9999","0","0","0","自在天魔赤丹吃完激活潜能，增加500点耐力属性点。","增加角色耐力","4","161506","使用方法：点击使用","","","0","48","","","0","","","","","4","","","","","","","","","","","","","","","","","","0","0","0","0","0","0"
"400174","598","自在天魔赤丹*土","FF00b1ff","3","3192","个","0","1","7012","TRUE","0","0","0","0","0","0","0","FALSE","FALSE","FALSE","0","0","1","1","9999","0","0","0","自在天魔赤丹吃完激活潜能，增加500点敏捷属性点。","增加角色敏捷","4","161506","使用方法：点击使用","","","0","48","","","0","","","","","4","","","","","","","","","","","","","","","","","","0","0","0","0","0","0"
"111114","96","下面是临时符：编号4","ff6ddcf6","4","1158","个","0","90","5500","true","0","0","0","0","0","0","0","false","false","false","0","0","1","1","999","0","0","5000000","大量的金钱。","金钱","","0","使用方法：直接获得金钱","","","0","","","","0","","","","","","","","","","","","","","","1","","","","","","","","0","0","0","0","0","0"
"331201","358","临时符","ff6ddcf6","4","1697","张","150","1","7023","true","1","1","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","5000000","神奇的符咒，可以给特定部位的装备附加临时属性，效果持续12小时。","<T t=""给衣服附加临时$parameter1$-$parameter2$气血"" c=""ff00ff00""></T>","3","161506","使用方法：点击使用","","","0","","","","0","","","","1","","","","","","","","","","","1","30","","气血符","","","","","0","0","0","0","0","0"
"331202","358","临时符","ff6ddcf6","4","1693","张","150","1","7023","true","1","1","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","5000000","神奇的符咒，可以给特定部位的装备附加临时属性，效果持续12小时。","<T t=""给武器附加临时$parameter1$-$parameter2$物理伤害"" c=""ff00ff00""></T>","3","161506","使用方法：点击使用","","","0","","","","0","","","","2","","","","","","","","","","","1","30","","物理伤害符","","","","","0","0","0","0","0","0"
"331203","358","临时符","ff6ddcf6","4","1691","张","150","1","7023","true","1","1","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","5000000","神奇的符咒，可以给特定部位的装备附加临时属性，效果持续12小时。","<T t=""给项链附加临时$parameter1$-$parameter2$法术伤害"" c=""ff00ff00""></T>","3","161506","使用方法：点击使用","","","0","","","","0","","","","3","","","","","","","","","","","1","30","","法术伤害符","","","","","0","0","0","0","0","0"
"331204","358","临时符","ff6ddcf6","4","1695","张","150","1","7023","true","1","1","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","5000000","神奇的符咒，可以给特定部位的装备附加临时属性，效果持续12小时。","<T t=""给头盔附加临时$parameter1$-$parameter2$物理防御"" c=""ff00ff00""></T>","3","161506","使用方法：点击使用","","","0","","","","0","","","","4","","","","","","","","","","","1","30","","物理防御符","","","","","0","0","0","0","0","0"
"331205","358","临时符","ff6ddcf6","4","1696","张","150","1","7023","true","1","1","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","5000000","神奇的符咒，可以给特定部位的装备附加临时属性，效果持续12小时。","<T t=""给鞋子附加临时$parameter1$-$parameter2$法术防御"" c=""ff00ff00""></T>","3","161506","使用方法：点击使用","","","0","","","","0","","","","5","","","","","","","","","","","1","30","","法术防御符","","","","","0","0","0","0","0","0"
"331206","358","临时符","ff6ddcf6","4","1690","张","150","1","7023","true","1","1","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","5000000","神奇的符咒，可以给特定部位的装备附加临时属性，效果持续12小时。","<T t=""给腰带附加临时$parameter1$-$parameter2$愤怒"" c=""ff00ff00""></T>","3","161506","使用方法：点击使用","","","0","","","","0","","","","6","","","","","","","","","","","1","30","","愤怒符","","","","","0","0","0","0","0","0"
"331207","358","临时符","ff6ddcf6","4","1694","张","150","1","7023","true","1","1","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","5000000","神奇的符咒，可以给特定部位的装备附加临时属性，效果持续12小时。","<T t=""给武器附加临时$parameter1$-$parameter2$治疗强度"" c=""ff00ff00""></T>","3","161506","使用方法：点击使用","","","0","","","","0","","","","7","","","","","","","","","","","1","30","","治疗强度符","","","","","0","0","0","0","0","0"
