"商品ID","商品分类","排序","累计充值符石","VIP等级要求","道具类型","默认购买数量","商品描述","促销类型"
"4208","3","9","0","0","高级内丹袋","1","","0"
"4209","3","10","0","0","炼妖石","1","","0"
"4210","3","11","0","0","宠物口粮","1","","0"
"4211","3","12","0","0","神兜兜*999","1","","0"
"80031","4","1","0","0","打造符90级","1","","0"
"80032","4","2","0","0","打造符100级","1","","0"
"80033","4","3","0","0","打造符110级","1","","0"
"80034","4","4","0","0","打造符120级","1","","0"
"80035","4","5","0","0","打造符130级","1","","0"
"80036","4","6","0","0","打造符140级","1","","0"
"80037","4","7","0","0","打造符150级","1","","0"
"80038","4","8","0","0","打造符160级","1","","0"
"80039","4","9","0","0","裁缝符90级","1","","0"
"80040","4","10","0","0","裁缝符100级","1","","0"
"80041","4","11","0","0","裁缝符110级","1","","0"
"80042","4","12","0","0","裁缝符120级","1","","0"
"80043","4","13","0","0","裁缝符130级","1","","0"
"80044","4","14","0","0","裁缝符140级","1","","0"
"80045","4","15","0","0","裁缝符150级","1","","0"
"80046","4","16","0","0","裁缝符160级","1","","0"
"80047","4","17","0","0","炼金符90级","1","","0"
"80048","4","18","0","0","炼金符100级","1","","0"
"80049","4","19","0","0","炼金符110级","1","","0"
"80050","4","20","0","0","炼金符120级","1","","0"
"80051","4","21","0","0","炼金符130级","1","","0"
"80052","4","22","0","0","炼金符140级","1","","0"
"80053","4","23","0","0","炼金符150级","1","","0"
"80054","4","24","0","0","炼金符160级","1","","0"
"80055","4","25","0","0","百炼精铁90级","1","","0"
"80056","4","26","0","0","百炼精铁100级","1","","0"
"80057","4","27","0","0","百炼精铁110级","1","","0"
"80058","4","28","0","0","百炼精铁120级","1","","0"
"80059","4","29","0","0","百炼精铁130级","1","","0"
"80060","4","30","0","0","百炼精铁140级","1","","0"
"80061","4","31","0","0","百炼精铁150级","1","","0"
"80062","4","32","0","0","百炼精铁160级","1","","0"
"4600","5","1","0","0","环蛇•印诀书","1","","0"
"4601","5","2","0","0","卧虎•印诀书","1","","0"
"4602","5","3","0","0","斗牛•印诀书","1","","0"
"4603","5","4","0","0","追兔•印诀书","1","","0"
"4604","5","5","0","0","游龙•印诀书","1","","0"
"4605","5","6","0","0","安羊•印诀书","1","","0"
"4606","5","7","0","0","60级•钨金","1","","0"
"4607","5","8","0","0","70级•钨金","1","","0"
"4608","5","9","0","0","80级•钨金","1","","0"
"4609","5","10","0","0","90级•钨金","1","","0"
"4610","5","11","0","0","100级•钨金","1","","0"
"4611","5","12","0","0","110级•钨金","1","","0"
"92001","6","1","0","0","80制造书•剑","1","","0"
"92002","6","2","0","0","80制造书•枪","1","","0"
"92003","6","3","0","0","80制造书•斧钺","1","","0"
"92004","6","4","0","0","80制造书•扇","1","","0"
"92005","6","5","0","0","80制造书•魔棒","1","","0"
"92006","6","6","0","0","80制造书•爪刺","1","","0"
"92007","6","7","0","0","80制造书•锤","1","","0"
"92008","6","8","0","0","80制造书•鞭","1","","0"
"92009","6","9","0","0","80制造书•环圈","1","","0"
"92010","6","10","0","0","80制造书•弓","1","","0"
"92011","6","11","0","0","80制造书•飘带","1","","0"
"92012","6","12","0","0","80制造书•宝珠","1","","0"
"92013","6","13","0","0","80制造书•长刀","1","","0"
"92014","6","14","0","0","80制造书•双短剑","1","","0"
"92015","6","15","0","0","80制造书•降魔杵","1","","0"
"92016","6","16","0","0","80制造书•法杖","1","","0"
"92017","6","17","0","0","80制造书•弯刀","1","","0"
"92018","6","18","0","0","80制造书•男衣","1","","0"
"92019","6","19","0","0","80制造书•女衣","1","","0"
"92020","6","20","0","0","80制造书•头盔","1","","0"
"92021","6","21","0","0","80制造书•发钗","1","","0"
"92022","6","22","0","0","80制造书•项链","1","","0"
"92023","6","23","0","0","80制造书•腰带","1","","0"
"92024","6","24","0","0","80制造书•鞋子","1","","0"
"92025","6","25","0","0","90制造书•剑","1","","0"
"92026","6","26","0","0","90制造书•枪","1","","0"
"92027","6","27","0","0","90制造书•斧钺","1","","0"
"92028","6","28","0","0","90制造书•扇","1","","0"
"92029","6","29","0","0","90制造书•魔棒","1","","0"
"92030","6","30","0","0","90制造书•爪刺","1","","0"
"92031","6","31","0","0","90制造书•锤","1","","0"
"92032","6","32","0","0","90制造书•鞭","1","","0"
"92033","6","33","0","0","90制造书•环圈","1","","0"
"92034","6","34","0","0","90制造书•弓","1","","0"
"92035","6","35","0","0","90制造书•飘带","1","","0"
"92036","6","36","0","0","90制造书•宝珠","1","","0"
"92037","6","37","0","0","90制造书•长刀","1","","0"
"92038","6","38","0","0","90制造书•双短剑","1","","0"
"92039","6","39","0","0","90制造书•降魔杵","1","","0"
"92040","6","40","0","0","90制造书•法杖","1","","0"
"92041","6","41","0","0","90制造书•弯刀","1","","0"
"92042","6","42","0","0","90制造书•男衣","1","","0"
"92043","6","43","0","0","90制造书•女衣","1","","0"
"92044","6","44","0","0","90制造书•头盔","1","","0"
"92045","6","45","0","0","90制造书•发钗","1","","0"
"92046","6","46","0","0","90制造书•项链","1","","0"
"92047","6","47","0","0","90制造书•腰带","1","","0"
"92048","6","48","0","0","90制造书•鞋子","1","","0"
"92049","6","49","0","0","100制造书•剑","1","","0"
"92050","6","50","0","0","100制造书•枪","1","","0"
"92051","6","51","0","0","100制造书•斧钺","1","","0"
"92052","6","52","0","0","100制造书•扇","1","","0"
"92053","6","53","0","0","100制造书•魔棒","1","","0"
"92054","6","54","0","0","100制造书•爪刺","1","","0"
"92055","6","55","0","0","100制造书•锤","1","","0"
"92056","6","56","0","0","100制造书•鞭","1","","0"
"92057","6","57","0","0","100制造书•环圈","1","","0"
"92058","6","58","0","0","100制造书•弓","1","","0"
"92059","6","59","0","0","100制造书•飘带","1","","0"
"92060","6","60","0","0","100制造书•宝珠","1","","0"
"92061","6","61","0","0","100制造书•长刀","1","","0"
"92062","6","62","0","0","100制造书•双短剑","1","","0"
"92063","6","63","0","0","100制造书•降魔杵","1","","0"
"92064","6","64","0","0","100制造书•法杖","1","","0"
"92065","6","65","0","0","100制造书•弯刀","1","","0"
"92066","6","66","0","0","100制造书•男衣","1","","0"
"92067","6","67","0","0","100制造书•女衣","1","","0"
"92068","6","68","0","0","100制造书•头盔","1","","0"
"92069","6","69","0","0","100制造书•发钗","1","","0"
"92070","6","70","0","0","100制造书•项链","1","","0"
"92071","6","71","0","0","100制造书•腰带","1","","0"
"92072","6","72","0","0","100制造书•鞋子","1","","0"
"92073","6","73","0","0","110制造书•剑","1","","0"
"92074","6","74","0","0","110制造书•枪","1","","0"
"92075","6","75","0","0","110制造书•斧钺","1","","0"
"92076","6","76","0","0","110制造书•扇","1","","0"
"92077","6","77","0","0","110制造书•魔棒","1","","0"
"92078","6","78","0","0","110制造书•爪刺","1","","0"
"92079","6","79","0","0","110制造书•锤","1","","0"
"92080","6","80","0","0","110制造书•鞭","1","","0"
"92081","6","81","0","0","110制造书•环圈","1","","0"
"92082","6","82","0","0","110制造书•弓","1","","0"
"92083","6","83","0","0","110制造书•飘带","1","","0"
"92084","6","84","0","0","110制造书•宝珠","1","","0"
"92085","6","85","0","0","110制造书•长刀","1","","0"
"92086","6","86","0","0","110制造书•双短剑","1","","0"
"92087","6","87","0","0","110制造书•降魔杵","1","","0"
"92088","6","88","0","0","110制造书•法杖","1","","0"
"92089","6","89","0","0","110制造书•弯刀","1","","0"
"92090","6","90","0","0","110制造书•男衣","1","","0"
"92091","6","91","0","0","110制造书•女衣","1","","0"
"92092","6","92","0","0","110制造书•头盔","1","","0"
"92093","6","93","0","0","110制造书•发钗","1","","0"
"92094","6","94","0","0","110制造书•项链","1","","0"
"92095","6","95","0","0","110制造书•腰带","1","","0"
"92096","6","96","0","0","110制造书•鞋子","1","","0"
"92097","6","97","0","0","120制造书•剑","1","","0"
"92098","6","98","0","0","120制造书•枪","1","","0"
"92099","6","99","0","0","120制造书•斧钺","1","","0"
"92100","6","100","0","0","120制造书•扇","1","","0"
"92101","6","101","0","0","120制造书•魔棒","1","","0"
"92102","6","102","0","0","120制造书•爪刺","1","","0"
"92103","6","103","0","0","120制造书•锤","1","","0"
"92104","6","104","0","0","120制造书•鞭","1","","0"
"92105","6","105","0","0","120制造书•环圈","1","","0"
"92106","6","106","0","0","120制造书•弓","1","","0"
"92107","6","107","0","0","120制造书•飘带","1","","0"
"92108","6","108","0","0","120制造书•宝珠","1","","0"
"92109","6","109","0","0","120制造书•长刀","1","","0"
"92110","6","110","0","0","120制造书•双短剑","1","","0"
"92111","6","111","0","0","120制造书•降魔杵","1","","0"
"92112","6","112","0","0","120制造书•法杖","1","","0"
"92113","6","113","0","0","120制造书•弯刀","1","","0"
"92114","6","114","0","0","120制造书•男衣","1","","0"
"92115","6","115","0","0","120制造书•女衣","1","","0"
"92116","6","116","0","0","120制造书•头盔","1","","0"
"92117","6","117","0","0","120制造书•发钗","1","","0"
"92118","6","118","0","0","120制造书•项链","1","","0"
"92119","6","119","0","0","120制造书•腰带","1","","0"
"92120","6","120","0","0","120制造书•鞋子","1","","0"
"92121","6","121","0","0","130制造书•剑","1","","0"
"92122","6","122","0","0","130制造书•枪","1","","0"
"92123","6","123","0","0","130制造书•斧钺","1","","0"
"92124","6","124","0","0","130制造书•扇","1","","0"
"92125","6","125","0","0","130制造书•魔棒","1","","0"
"92126","6","126","0","0","130制造书•爪刺","1","","0"
"92127","6","127","0","0","130制造书•锤","1","","0"
"92128","6","128","0","0","130制造书•鞭","1","","0"
"92129","6","129","0","0","130制造书•环圈","1","","0"
"92130","6","130","0","0","130制造书•弓","1","","0"
"92131","6","131","0","0","130制造书•飘带","1","","0"
"92132","6","132","0","0","130制造书•宝珠","1","","0"
"92133","6","133","0","0","130制造书•长刀","1","","0"
"92134","6","134","0","0","130制造书•双短剑","1","","0"
"92135","6","135","0","0","130制造书•降魔杵","1","","0"
"92136","6","136","0","0","130制造书•法杖","1","","0"
"92137","6","137","0","0","130制造书•弯刀","1","","0"
"92138","6","138","0","0","130制造书•男衣","1","","0"
"92139","6","139","0","0","130制造书•女衣","1","","0"
"92140","6","140","0","0","130制造书•头盔","1","","0"
"92141","6","141","0","0","130制造书•发钗","1","","0"
"92142","6","142","0","0","130制造书•项链","1","","0"
"92143","6","143","0","0","130制造书•腰带","1","","0"
"92144","6","144","0","0","130制造书•鞋子","1","","0"
"92145","6","145","0","0","140制造书•剑","1","","0"
"92146","6","146","0","0","140制造书•枪","1","","0"
"92147","6","147","0","0","140制造书•斧钺","1","","0"
"92148","6","148","0","0","140制造书•扇","1","","0"
"92149","6","149","0","0","140制造书•魔棒","1","","0"
"92150","6","150","0","0","140制造书•爪刺","1","","0"
"92151","6","151","0","0","140制造书•锤","1","","0"
"92152","6","152","0","0","140制造书•鞭","1","","0"
"92153","6","153","0","0","140制造书•环圈","1","","0"
"92154","6","154","0","0","140制造书•弓","1","","0"
"92155","6","155","0","0","140制造书•飘带","1","","0"
"92156","6","156","0","0","140制造书•宝珠","1","","0"
"92157","6","157","0","0","140制造书•长刀","1","","0"
"92158","6","158","0","0","140制造书•双短剑","1","","0"
"92159","6","159","0","0","140制造书•降魔杵","1","","0"
"92160","6","160","0","0","140制造书•法杖","1","","0"
"92161","6","161","0","0","140制造书•弯刀","1","","0"
"92162","6","162","0","0","140制造书•男衣","1","","0"
"92163","6","163","0","0","140制造书•女衣","1","","0"
"92164","6","164","0","0","140制造书•头盔","1","","0"
"92165","6","165","0","0","140制造书•发钗","1","","0"
"92166","6","166","0","0","140制造书•项链","1","","0"
"92167","6","167","0","0","140制造书•腰带","1","","0"
"92168","6","168","0","0","140制造书•鞋子","1","","0"
"92169","6","169","0","0","150制造书•剑","1","","0"
"92170","6","170","0","0","150制造书•枪","1","","0"
"92171","6","171","0","0","150制造书•斧钺","1","","0"
"92172","6","172","0","0","150制造书•扇","1","","0"
"92173","6","173","0","0","150制造书•魔棒","1","","0"
"92174","6","174","0","0","150制造书•爪刺","1","","0"
"92175","6","175","0","0","150制造书•锤","1","","0"
"92176","6","176","0","0","150制造书•鞭","1","","0"
"92177","6","177","0","0","150制造书•环圈","1","","0"
"92178","6","178","0","0","150制造书•弓","1","","0"
"92179","6","179","0","0","150制造书•飘带","1","","0"
"92180","6","180","0","0","150制造书•宝珠","1","","0"
"92181","6","181","0","0","150制造书•长刀","1","","0"
"92182","6","182","0","0","150制造书•双短剑","1","","0"
"92183","6","183","0","0","150制造书•降魔杵","1","","0"
"92184","6","184","0","0","150制造书•法杖","1","","0"
"92185","6","185","0","0","150制造书•弯刀","1","","0"
"92186","6","186","0","0","150制造书•男衣","1","","0"
"92187","6","187","0","0","150制造书•女衣","1","","0"
"92188","6","188","0","0","150制造书•头盔","1","","0"
"92189","6","189","0","0","150制造书•发钗","1","","0"
"92190","6","190","0","0","150制造书•项链","1","","0"
"92191","6","191","0","0","150制造书•腰带","1","","0"
"92192","6","192","0","0","150制造书•鞋子","1","","0"
"92193","6","193","0","0","160制造书•剑","1","","0"
"92194","6","194","0","0","160制造书•枪","1","","0"
"92195","6","195","0","0","160制造书•斧钺","1","","0"
"92196","6","196","0","0","160制造书•扇","1","","0"
"92197","6","197","0","0","160制造书•魔棒","1","","0"
"92198","6","198","0","0","160制造书•爪刺","1","","0"
"92199","6","199","0","0","160制造书•锤","1","","0"
"92200","6","200","0","0","160制造书•鞭","1","","0"
"92201","6","201","0","0","160制造书•环圈","1","","0"
"92202","6","202","0","0","160制造书•弓","1","","0"
"92203","6","203","0","0","160制造书•飘带","1","","0"
"92204","6","204","0","0","160制造书•宝珠","1","","0"
"92205","6","205","0","0","160制造书•长刀","1","","0"
"92206","6","206","0","0","160制造书•双短剑","1","","0"
"92207","6","207","0","0","160制造书•降魔杵","1","","0"
"92208","6","208","0","0","160制造书•法杖","1","","0"
"92209","6","209","0","0","160制造书•弯刀","1","","0"
"92210","6","210","0","0","160制造书•男衣","1","","0"
"92211","6","211","0","0","160制造书•女衣","1","","0"
"92212","6","212","0","0","160制造书•头盔","1","","0"
"92213","6","213","0","0","160制造书•发钗","1","","0"
"92214","6","214","0","0","160制造书•项链","1","","0"
"92215","6","215","0","0","160制造书•腰带","1","","0"
"92216","6","216","0","0","160制造书•鞋子","1","","0"
