"序号","物品类型","id","备注名","逻辑类型","珍品","值1","显示1","区间1","区间2","区间3","区间4","区间5","区间6","区间7","区间8","区间9","区间10","区间11","区间12","2级菜单ID","1级菜单ID","默认货币类型","默认价格1","默认价格2","默认价格3","默认价格4","默认价格5","默认价格6","默认价格7","默认价格8","默认价格9","默认价格10","默认价格11","基准成交量","基准挂单量","可见等级","可购买等级下限","可购买等级上限","价格上限","价格下限","浮动价格系数","是否可以摆摊上架",""
"1106","2","520752","幽莹娃娃","0","1","520752","幽莹娃娃","","","","","","","","","","","","","101","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1107","2","520753","鬼将","0","1","520753","鬼将","","","","","","","","","","","","","101","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1108","2","520801","蟠桃童子","0","1","520801","蟠桃童子","","","","","","","","","","","","","101","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1109","2","520802","天兵","0","1","520802","天兵","","","","","","","","","","","","","101","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1110","2","520851","珍露童子","0","1","520851","珍露童子","","","","","","","","","","","","","101","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1111","2","520852","御风童子","0","1","520852","御风童子","","","","","","","","","","","","","101","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1112","2","520853","芙蓉仙子","0","1","520853","芙蓉仙子","","","","","","","","","","","","","101","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1113","2","520855","猴小仙","0","1","520855","猴小仙","","","","","","","","","","","","","101","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1114","2","520901","蛟龙","0","1","520901","蛟龙","","","","","","","","","","","","","101","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1115","2","520902","凤凰仙子","0","1","520902","凤凰仙子","","","","","","","","","","","","","101","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1116","2","520953","布雨神君","0","1","520953","布雨神君","","","","","","","","","","","","","101","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1117","2","520954","武罗仙子","0","1","520954","武罗仙子","","","","","","","","","","","","","101","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1118","2","521051","净瓶女娲","0","1","521051","净瓶女娲","","","","","","","","","","","","","101","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1119","2","521054","羽云仙子","0","1","521054","羽云仙子","","","","","","","","","","","","","101","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1120","2","521101","鬼剑","0","1","521101","鬼剑","","","","","","","","","","","","","101","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1121","2","521103","菱心仙子","0","1","521103","菱心仙子","","","","","","","","","","","","","101","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1300","2","530601","变异千年僵尸","0","1","530601","变异千年僵尸","","","","","","","","","","","","","101","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1301","2","530602","变异孤魂野鬼","0","1","530602","变异孤魂野鬼","","","","","","","","","","","","","101","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1302","2","530651","变异忘川童子","0","1","530651","变异忘川童子","","","","","","","","","","","","","101","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1303","2","530652","变异吸血鬼","0","1","530652","变异吸血鬼","","","","","","","","","","","","","101","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1304","2","530653","变异蜃蛇","0","1","530653","变异蜃蛇","","","","","","","","","","","","","101","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1305","2","530751","变异夜叉","0","1","530751","变异夜叉","","","","","","","","","","","","","101","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1306","2","530752","变异幽莹娃娃","0","1","530752","变异幽莹娃娃","","","","","","","","","","","","","101","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1307","2","530753","变异鬼将","0","1","530753","变异鬼将","","","","","","","","","","","","","101","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1308","2","530801","变异蟠桃童子","0","1","530801","变异蟠桃童子","","","","","","","","","","","","","101","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1309","2","530802","变异天兵","0","1","530802","变异天兵","","","","","","","","","","","","","101","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1310","2","530851","变异珍露童子","0","1","530851","变异珍露童子","","","","","","","","","","","","","101","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1311","2","530852","变异御风童子","0","1","530852","变异御风童子","","","","","","","","","","","","","101","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1312","2","530853","变异芙蓉仙子","0","1","530853","变异芙蓉仙子","","","","","","","","","","","","","101","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1313","2","530855","变异猴小仙","0","1","530855","变异猴小仙","","","","","","","","","","","","","101","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1314","2","530901","变异蛟龙","0","1","530901","变异蛟龙","","","","","","","","","","","","","101","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1315","2","530902","变异凤凰仙子","0","1","530902","变异凤凰仙子","","","","","","","","","","","","","101","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1316","2","530953","变异布雨神君","0","1","530953","变异布雨神君","","","","","","","","","","","","","101","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1317","2","530954","变异武罗仙子","0","1","530954","变异武罗仙子","","","","","","","","","","","","","101","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1318","2","531051","变异净瓶女娲","0","1","531051","变异净瓶女娲","","","","","","","","","","","","","101","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1319","2","531054","变异羽云仙子","0","1","531054","变异羽云仙子","","","","","","","","","","","","","101","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1320","2","531101","变异鬼剑","0","1","531101","变异鬼剑","","","","","","","","","","","","","101","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1321","2","531103","变异菱心仙子","0","1","531103","变异菱心仙子","","","","","","","","","","","","","101","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1500","2","520754","幽冥书生","0","1","520754","幽冥书生","","","","","","","","","","","","","102","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1501","2","520803","巨灵神将","0","1","520803","巨灵神将","","","","","","","","","","","","","102","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1502","2","520854","巡游天神","0","1","520854","巡游天神","","","","","","","","","","","","","102","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1503","2","520951","噬天虎","0","1","520951","噬天虎","","","","","","","","","","","","","102","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1504","2","520952","雾中仙","0","1","520952","雾中仙","","","","","","","","","","","","","102","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1505","2","521052","灵符女娲","0","1","521052","灵符女娲","","","","","","","","","","","","","102","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1506","2","521053","律法女娲","0","1","521053","律法女娲","","","","","","","","","","","","","102","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1507","2","521105","大力金刚","0","1","521105","大力金刚","","","","","","","","","","","","","102","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1508","2","521106","龙龟","0","1","521106","龙龟","","","","","","","","","","","","","102","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1509","2","521102","嘲风","0","1","521102","嘲风","","","","","","","","","","","","","102","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1510","2","521109","铜臂","0","1","521109","铜臂","","","","","","","","","","","","","102","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1511","2","521104","虎力大仙","0","1","521104","虎力大仙","","","","","","","","","","","","","102","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1512","2","521110","启明星","0","1","521110","启明星","","","","","","","","","","","","","102","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1513","2","521111","元宝大王","0","1","521111","元宝大王","","","","","","","","","","","","","102","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1514","2","521107","绘舞天女","0","1","521107","绘舞天女","","","","","","","","","","","","","102","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1515","2","521108","苏摩罗","0","1","521108","苏摩罗","","","","","","","","","","","","","102","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1700","2","530754","变异幽冥书生","0","1","530754","变异幽冥书生","","","","","","","","","","","","","102","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1701","2","530803","变异巨灵神将","0","1","530803","变异巨灵神将","","","","","","","","","","","","","102","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1702","2","530854","变异巡游天神","0","1","530854","变异巡游天神","","","","","","","","","","","","","102","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1703","2","530951","变异噬天虎","0","1","530951","变异噬天虎","","","","","","","","","","","","","102","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1704","2","530952","变异雾中仙","0","1","530952","变异雾中仙","","","","","","","","","","","","","102","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1705","2","531052","变异灵符女娲","0","1","531052","变异灵符女娲","","","","","","","","","","","","","102","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1706","2","531053","变异律法女娲","0","1","531053","变异律法女娲","","","","","","","","","","","","","102","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1707","2","531105","变异大力金刚","0","1","531105","变异大力金刚","","","","","","","","","","","","","102","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1708","2","531106","变异龙龟","0","1","531106","变异龙龟","","","","","","","","","","","","","102","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1709","2","531102","变异嘲风","0","1","531102","变异嘲风","","","","","","","","","","","","","102","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1710","2","531109","变异铜臂","0","1","531109","变异铜臂","","","","","","","","","","","","","102","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1711","2","531104","变异虎力大仙","0","1","531104","变异虎力大仙","","","","","","","","","","","","","102","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1712","2","531110","变异启明星","0","1","531110","变异启明星","","","","","","","","","","","","","102","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1713","2","531111","变异元宝大王","0","1","531111","变异元宝大王","","","","","","","","","","","","","102","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1714","2","531107","变异绘舞天女","0","1","531107","变异绘舞天女","","","","","","","","","","","","","102","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1717","2","531108","变异苏摩罗","0","1","531108","变异苏摩罗","","","","","","","","","","","","","102","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1900","2","900001","超级神羊","0","1","900001","超级神羊","","","","","","","","","","","","","103","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1901","2","900002","超级泡泡","0","1","900002","超级泡泡","","","","","","","","","","","","","103","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1902","2","900003","超级九色鹿","0","1","900003","超级九色鹿","","","","","","","","","","","","","103","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1903","2","900004","超级大熊猫","0","1","900004","超级大熊猫","","","","","","","","","","","","","103","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1904","2","900005","超级神鸡","0","1","900005","超级神鸡","","","","","","","","","","","","","103","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1905","2","900006","超级神猴","0","1","900006","超级神猴","","","","","","","","","","","","","103","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1906","2","900007","超级赤焰兽","0","1","900007","超级赤焰兽","","","","","","","","","","","","","103","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1907","2","900008","超级神龙","0","1","900008","超级神龙","","","","","","","","","","","","","103","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1908","2","900009","超级神鼠","0","1","900009","超级神鼠","","","","","","","","","","","","","103","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1909","2","900010","超级神虎","0","1","900010","超级神虎","","","","","","","","","","","","","103","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1910","2","900011","超级神猪","0","1","900011","超级神猪","","","","","","","","","","","","","103","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"1911","2","900012","超级神牛","0","1","900012","超级神牛","","","","","","","","","","","","","103","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2300","2","900501","火灵兽","0","1","900501","火灵兽","","","","","","","","","","","","","104","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2301","2","900502","雷灵兽","0","1","900502","雷灵兽","","","","","","","","","","","","","104","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2302","2","900503","水灵兽","0","1","900503","水灵兽","","","","","","","","","","","","","104","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2303","2","900504","土灵兽","0","1","900504","土灵兽","","","","","","","","","","","","","104","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2304","2","900505","吉里吉里","0","1","900505","吉里吉里","","","","","","","","","","","","","104","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2305","2","900506","咕噜咕噜","0","1","900506","咕噜咕噜","","","","","","","","","","","","","104","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2306","2","900507","齐天大圣","0","1","900507","齐天大圣","","","","","","","","","","","","","104","2","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2000","3","6100101","100级剑","2","1","6140101","100级","","","","","","","","","","","","","200","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2001","3","6110101","110级剑","2","1","6150101","110级","","","","","","","","","","","","","200","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2002","3","6120101","120级剑","2","1","6160101","120级","","","","","","","","","","","","","200","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2003","3","6130101","130级剑","2","1","6130101","130级","","","","","","","","","","","","","200","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2004","3","6140101","140级剑","2","1","6140101","140级","","","","","","","","","","","","","200","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2005","3","6150101","150级剑","2","1","6150101","150级","","","","","","","","","","","","","200","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2006","3","6160101","160级剑","2","1","6160101","160级","","","","","","","","","","","","","200","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2010","3","6100102","100级枪","2","1","6100102","100级","","","","","","","","","","","","","201","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2011","3","6110102","110级枪","2","1","6110102","110级","","","","","","","","","","","","","201","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2012","3","6120102","120级枪","2","1","6120102","120级","","","","","","","","","","","","","201","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2013","3","6130102","130级枪","2","1","6130102","130级","","","","","","","","","","","","","201","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2014","3","6140102","140级枪","2","1","6140102","140级","","","","","","","","","","","","","201","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2015","3","6150102","150级枪","2","1","6150102","150级","","","","","","","","","","","","","201","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2016","3","6160102","160级枪","2","1","6160102","160级","","","","","","","","","","","","","201","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2020","3","6100103","100级斧钺","2","1","6100103","100级","","","","","","","","","","","","","200","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2021","3","6110103","110级斧钺","2","1","6110103","110级","","","","","","","","","","","","","200","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2022","3","6120103","120级斧钺","2","1","6120103","120级","","","","","","","","","","","","","200","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2023","3","6130103","130级斧钺","2","1","6130103","130级","","","","","","","","","","","","","200","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2024","3","6140103","140级斧钺","2","1","6140103","140级","","","","","","","","","","","","","200","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2025","3","6150103","150级斧钺","2","1","6150103","150级","","","","","","","","","","","","","200","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2026","3","6160103","160级斧钺","2","1","6160103","160级","","","","","","","","","","","","","200","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2030","3","6100104","100级扇子","2","1","6100104","100级","","","","","","","","","","","","","203","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2031","3","6110104","110级扇子","2","1","6110104","110级","","","","","","","","","","","","","203","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2032","3","6120104","120级扇子","2","1","6120104","120级","","","","","","","","","","","","","203","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2033","3","6130104","130级扇子","2","1","6130104","130级","","","","","","","","","","","","","203","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2034","3","6140104","140级扇子","2","1","6140104","140级","","","","","","","","","","","","","203","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2035","3","6150104","150级扇子","2","1","6150104","150级","","","","","","","","","","","","","203","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2036","3","6160104","160级扇子","2","1","6160104","160级","","","","","","","","","","","","","203","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2040","3","6100105","100级魔棒","2","1","6100105","100级","","","","","","","","","","","","","204","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2041","3","6110105","110级魔棒","2","1","6110105","110级","","","","","","","","","","","","","204","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2042","3","6120105","120级魔棒","2","1","6120105","120级","","","","","","","","","","","","","204","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2043","3","6130105","130级魔棒","2","1","6130105","130级","","","","","","","","","","","","","204","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2044","3","6140105","140级魔棒","2","1","6140105","140级","","","","","","","","","","","","","204","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2045","3","6150105","150级魔棒","2","1","6150105","150级","","","","","","","","","","","","","204","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2046","3","6160105","160级魔棒","2","1","6160105","160级","","","","","","","","","","","","","204","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2050","3","6100106","100级爪刺","2","1","6100106","100级","","","","","","","","","","","","","205","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2051","3","6110106","110级爪刺","2","1","6110106","110级","","","","","","","","","","","","","205","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2052","3","6120106","120级爪刺","2","1","6120106","120级","","","","","","","","","","","","","205","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2053","3","6130106","130级爪刺","2","1","6130106","130级","","","","","","","","","","","","","205","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2054","3","6140106","140级爪刺","2","1","6140106","140级","","","","","","","","","","","","","205","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2055","3","6150106","150级爪刺","2","1","6150106","150级","","","","","","","","","","","","","205","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2056","3","6160106","160级爪刺","2","1","6160106","160级","","","","","","","","","","","","","205","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2060","3","6100107","100级锤","2","1","6100107","100级","","","","","","","","","","","","","206","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2061","3","6110107","110级锤","2","1","6110107","110级","","","","","","","","","","","","","206","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2062","3","6120107","120级锤","2","1","6120107","120级","","","","","","","","","","","","","206","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2063","3","6130107","130级锤","2","1","6130107","130级","","","","","","","","","","","","","206","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2064","3","6140107","140级锤","2","1","6140107","140级","","","","","","","","","","","","","206","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2065","3","6150107","150级锤","2","1","6150107","150级","","","","","","","","","","","","","206","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2066","3","6160107","160级锤","2","1","6160107","160级","","","","","","","","","","","","","206","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2070","3","6100108","100级鞭","2","1","6100108","100级","","","","","","","","","","","","","207","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2071","3","6110108","110级鞭","2","1","6110108","110级","","","","","","","","","","","","","207","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2072","3","6120108","120级鞭","2","1","6120108","120级","","","","","","","","","","","","","207","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2073","3","6130108","130级鞭","2","1","6130108","130级","","","","","","","","","","","","","207","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2074","3","6140108","140级鞭","2","1","6140108","140级","","","","","","","","","","","","","207","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2075","3","6150108","150级鞭","2","1","6150108","150级","","","","","","","","","","","","","207","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2076","3","6160108","160级鞭","2","1","6160108","160级","","","","","","","","","","","","","207","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2080","3","6100109","100级环圈","2","1","6100109","100级","","","","","","","","","","","","","208","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2081","3","6110109","110级环圈","2","1","6110109","110级","","","","","","","","","","","","","208","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
"2082","3","6120109","120级环圈","2","1","6120109","120级","","","","","","","","","","","","","208","3","2","","","","","","","","","","","","5","10","1","1","300","2.5","0.6","0.1","1",""
