技能格ID,技能格等级,第一重经验,第二重经验,第三重经验,第四重经验,第五重经验,第六重经验,第七重经验,第一重金钱,第二重金钱,第三重金钱,第四重金钱,第五重金钱,第六重金钱,第七重金钱,第一重气海值,第二重气海值,第三重气海值,第四重气海值,第五重气海值,第六重气海值,第七重气海值,金钱消耗类型1,金钱消耗规则1,经验消耗规则1,金钱消耗类型2,金钱消耗规则2,经验消耗规则2,金钱消耗类型3,金钱消耗规则3,经验消耗规则3
27,27,0,87000,0,0,0,0,0,2450,32600,0,0,0,0,0,0,0,0,0,0,0,0,1,5200,0,1,5200,0,1,,
28,28,0,92500,0,0,0,0,0,2675,34700,0,0,0,0,0,0,0,0,0,0,0,0,1,5600,0,1,5600,0,1,,
29,29,0,98500,0,0,0,0,0,3020,36900,0,0,0,0,0,0,0,0,0,0,0,0,1,6000,0,1,6000,0,1,,
30,30,0,104600,0,0,0,0,0,3580,39300,0,0,0,0,0,0,0,0,0,0,0,0,1,6400,0,1,6400,0,1,,
31,31,0,0,0,0,0,0,0,3800,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7100,0,1,7100,0,1,,
32,32,0,0,0,0,0,0,0,4200,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7800,0,1,7800,0,1,,
33,33,0,0,0,0,0,0,0,4700,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8100,0,1,8100,0,1,,
34,34,0,0,0,0,0,0,0,5300,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8500,0,1,8500,0,1,,
35,35,0,0,0,0,0,0,0,5800,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9000,0,1,9000,0,1,,
36,36,0,0,0,0,0,0,0,6300,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9700,0,1,9700,0,1,,
37,37,0,0,0,0,0,0,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10100,0,1,10100,0,1,,
38,38,0,0,0,0,0,0,0,7600,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10600,0,1,10600,0,1,,
39,39,0,0,0,0,0,0,0,8500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11000,0,1,11000,0,1,,
40,40,0,0,0,0,0,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12200,0,1,12200,0,1,,
41,41,0,0,0,0,0,0,0,10200,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14100,0,1,14100,0,1,,
42,42,0,0,0,0,0,0,0,11100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14700,0,1,14700,0,1,,
43,43,0,0,0,0,0,0,0,11900,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15400,0,1,15400,0,1,,
44,44,0,0,0,0,0,0,0,12800,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16100,0,1,16100,0,1,,
45,45,0,0,0,0,0,0,0,14000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18000,0,1,18000,0,1,,
46,46,0,0,0,0,0,0,0,15100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18800,0,1,18800,0,1,,
47,47,0,0,0,0,0,0,0,16200,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19700,0,1,19700,0,1,,
48,48,0,0,0,0,0,0,0,17500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20500,0,1,20500,0,1,,
49,49,0,0,0,0,0,0,0,18800,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21500,0,1,21500,0,1,,
50,50,0,0,0,0,0,0,0,20300,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24100,0,1,24100,0,1,,
51,51,0,0,0,0,0,0,0,21900,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25100,0,1,25100,0,1,,
52,52,0,0,0,0,0,0,0,23300,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26200,0,1,26200,0,1,,
53,53,0,0,0,0,0,0,0,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27400,0,1,27400,0,1,,
54,54,0,0,0,0,0,0,0,26800,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28500,0,1,28500,0,1,,
55,55,0,0,0,0,0,0,0,28700,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33100,0,1,33100,0,1,,
56,56,0,0,0,0,0,0,0,30600,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34500,0,1,34500,0,1,,
57,57,0,0,0,0,0,0,0,32600,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48400,0,1,48400,0,1,,
58,58,0,0,0,0,0,0,0,34700,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50600,0,1,50600,0,1,,
59,59,0,0,0,0,0,0,0,36900,0,0,0,0,0,0,0,0,0,0,0,0,0,1,66600,0,1,66600,0,1,,
60,60,0,0,0,0,0,0,0,39300,0,0,0,0,0,0,0,0,0,0,0,0,0,1,84100,0,1,84100,0,1,,
61,61,0,0,0,0,0,0,0,41700,0,0,0,0,0,0,0,0,0,0,0,0,0,1,103200,0,1,103200,0,1,,
62,62,0,0,0,0,0,0,0,44200,0,0,0,0,0,0,0,0,0,0,0,0,0,1,123900,0,1,123900,0,1,,
63,63,0,0,0,0,0,0,0,46900,0,0,0,0,0,0,0,0,0,0,0,0,0,1,146300,0,1,146300,0,1,,
64,64,0,0,0,0,0,0,0,49600,0,0,0,0,0,0,0,0,0,0,0,0,0,1,170600,0,1,170600,0,1,,
65,65,0,0,0,0,0,0,0,52700,0,0,0,0,0,0,0,0,0,0,0,0,0,1,196700,0,1,196700,0,1,,
66,66,0,0,0,0,0,0,0,55500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,224700,0,1,224700,0,1,,
67,67,0,0,0,0,0,0,0,58700,0,0,0,0,0,0,0,0,0,0,0,0,0,1,254800,0,1,254800,0,1,,
68,68,0,0,0,0,0,0,0,62200,0,0,0,0,0,0,0,0,0,0,0,0,0,1,308100,0,1,308100,0,1,,
69,69,0,0,0,0,0,0,0,65500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,365500,0,1,365500,0,1,,
70,70,0,0,0,0,0,0,0,69000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,427200,0,1,427200,0,1,,
71,71,0,0,0,0,0,0,0,80000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,445400,0,1,445400,0,1,,
72,72,0,0,0,0,0,0,0,84200,0,0,0,0,0,0,0,0,0,0,0,0,0,1,464100,0,1,464100,0,1,,
73,73,0,0,0,0,0,0,0,88600,0,0,0,0,0,0,0,0,0,0,0,0,0,1,483300,0,1,483300,0,1,,
74,74,0,0,0,0,0,0,0,93200,0,0,0,0,0,0,0,0,0,0,0,0,0,1,503100,0,1,503100,0,1,,
75,75,0,0,0,0,0,0,0,97900,0,0,0,0,0,0,0,0,0,0,0,0,0,1,523400,0,1,523400,0,1,,
76,76,0,0,0,0,0,0,0,102900,0,0,0,0,0,0,0,0,0,0,0,0,0,1,544200,0,1,544200,0,1,,
77,77,0,0,0,0,0,0,0,108000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,565600,0,1,565600,0,1,,
78,78,0,0,0,0,0,0,0,113300,0,0,0,0,0,0,0,0,0,0,0,0,0,1,587600,0,1,587600,0,1,,
79,79,0,0,0,0,0,0,0,118800,0,0,0,0,0,0,0,0,0,0,0,0,0,1,610100,0,1,610100,0,1,,
80,80,0,0,0,0,0,0,0,124300,0,0,0,0,0,0,0,0,0,0,0,0,0,1,633200,0,1,633200,0,1,,
81,81,0,0,0,0,0,0,0,130400,0,0,0,0,0,0,0,0,0,0,0,0,0,1,656900,0,1,656900,0,1,,
82,82,0,0,0,0,0,0,0,136300,0,0,0,0,0,0,0,0,0,0,0,0,0,1,681200,0,1,681200,0,1,,
83,83,0,0,0,0,0,0,0,142700,0,0,0,0,0,0,0,0,0,0,0,0,0,1,706100,0,1,706100,0,1,,
84,84,0,0,0,0,0,0,0,149300,0,0,0,0,0,0,0,0,0,0,0,0,0,1,731600,0,1,731600,0,1,,
85,85,0,0,0,0,0,0,0,155800,0,0,0,0,0,0,0,0,0,0,0,0,0,1,757700,0,1,757700,0,1,,
86,86,0,0,0,0,0,0,0,162800,0,0,0,0,0,0,0,0,0,0,0,0,0,1,784400,0,1,784400,0,1,,
87,87,0,0,0,0,0,0,0,170200,0,0,0,0,0,0,0,0,0,0,0,0,0,1,811700,0,1,811700,0,1,,
88,88,0,0,0,0,0,0,0,177500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,839700,0,1,839700,0,1,,
89,89,0,0,0,0,0,0,0,185200,0,0,0,0,0,0,0,0,0,0,0,0,0,1,868400,0,1,868400,0,1,,
90,90,0,0,0,0,0,0,0,193100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,897600,0,1,897600,0,1,,
91,91,0,0,0,0,0,0,0,201200,0,0,0,0,0,0,0,0,0,0,0,0,0,1,927600,0,1,927600,0,1,,
92,92,0,0,0,0,0,0,0,209600,0,0,0,0,0,0,0,0,0,0,0,0,0,1,958200,0,1,958200,0,1,,
93,93,0,0,0,0,0,0,0,218300,0,0,0,0,0,0,0,0,0,0,0,0,0,1,989500,0,1,989500,0,1,,
94,94,0,0,0,0,0,0,0,227100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1021400,0,1,1021400,0,1,,
95,95,0,0,0,0,0,0,0,236400,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1054100,0,1,1054100,0,1,,
96,96,0,0,0,0,0,0,0,245900,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1087400,0,1,1087400,0,1,,
97,97,0,0,0,0,0,0,0,255700,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1121500,0,1,1121500,0,1,,
98,98,0,0,0,0,0,0,0,265700,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1156200,0,1,1156200,0,1,,
99,99,0,0,0,0,0,0,0,276100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1191700,0,1,1191700,0,1,,
100,100,0,0,0,0,0,0,0,286700,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1227900,0,1,1227900,0,1,,
101,101,0,0,0,0,0,0,0,297500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1264800,0,1,1264800,0,1,,
102,102,0,0,0,0,0,0,0,308700,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1302500,0,1,1302500,0,1,,
103,103,0,0,0,0,0,0,0,320600,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1340900,0,1,1340900,0,1,,
104,104,0,0,0,0,0,0,0,332300,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1380100,0,1,1380100,0,1,,
105,105,0,0,0,0,0,0,0,344400,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1420000,0,1,1420000,0,1,,
106,106,0,0,0,0,0,0,0,356900,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1460700,0,1,1460700,0,1,,
107,107,0,0,0,0,0,0,0,370000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1502200,0,1,1502200,0,1,,
108,108,0,0,0,0,0,0,0,383200,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1544500,0,1,1544500,0,1,,
109,109,0,0,0,0,0,0,0,396800,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1587500,0,1,1587500,0,1,,
110,110,0,0,0,0,0,0,0,410700,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1631400,0,1,1631400,0,1,,
111,111,0,0,0,0,0,0,0,425000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1676000,0,1,1676000,0,1,,
112,112,0,0,0,0,0,0,0,439500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1721500,0,1,1721500,0,1,,
113,113,0,0,0,0,0,0,0,454600,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1767800,0,1,1767800,0,1,,
114,114,0,0,0,0,0,0,0,470200,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1814900,0,1,1814900,0,1,,
115,115,0,0,0,0,0,0,0,486000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1862900,0,1,1862900,0,1,,
116,116,0,0,0,0,0,0,0,502100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1911700,0,1,1911700,0,1,,
117,117,0,0,0,0,0,0,0,518800,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1961300,0,1,1961300,0,1,,
118,118,0,0,0,0,0,0,0,535800,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2011800,0,1,2011800,0,1,,
119,119,0,0,0,0,0,0,0,553300,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2063200,0,1,2063200,0,1,,
120,120,0,0,0,0,0,0,0,571000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2115400,0,1,2115400,0,1,,
121,121,0,0,0,0,0,0,0,589300,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2168600,0,1,2168600,0,1,,
122,122,0,0,0,0,0,0,0,608100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2222600,0,1,2222600,0,1,,
123,123,0,0,0,0,0,0,0,627300,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2277500,0,1,2277500,0,1,,
124,124,0,0,0,0,0,0,0,646700,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2333300,0,1,2333300,0,1,,
125,125,0,0,0,0,0,0,0,667000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2390000,0,1,2390000,0,1,,
126,126,0,0,0,0,0,0,0,687300,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2447600,0,1,2447600,0,1,,
127,127,0,0,0,0,0,0,0,708400,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2506200,0,1,2506200,0,1,,
128,128,0,0,0,0,0,0,0,730000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2565700,0,1,2565700,0,1,,
129,129,0,0,0,0,0,0,0,751700,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2626100,0,1,2626100,0,1,,
130,130,0,0,0,0,0,0,0,774200,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2687500,0,1,2687500,0,1,,
131,131,0,0,0,0,0,0,0,797000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2749800,0,1,2749800,0,1,,
132,132,0,0,0,0,0,0,0,820600,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2813100,0,1,2813100,0,1,,
133,133,0,0,0,0,0,0,0,844700,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2877400,0,1,2877400,0,1,,
134,134,0,0,0,0,0,0,0,869000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2942600,0,1,2942600,0,1,,
135,135,0,0,0,0,0,0,0,894100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3008800,0,1,3008800,0,1,,
136,136,0,0,0,0,0,0,0,919500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3076100,0,1,3076100,0,1,,
137,137,0,0,0,0,0,0,0,945700,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3144300,0,1,3144300,0,1,,
138,138,0,0,0,0,0,0,0,972200,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3213500,0,1,3213500,0,1,,
139,139,0,0,0,0,0,0,0,999400,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3283700,0,1,3283700,0,1,,
140,140,0,0,0,0,0,0,0,1027200,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3355000,0,1,3355000,0,1,,
141,141,0,0,0,0,0,0,0,1055400,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3427200,0,1,3427200,0,1,,
142,142,0,0,0,0,0,0,0,1084400,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3500500,0,1,3500500,0,1,,
143,143,0,0,0,0,0,0,0,1113900,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3574900,0,1,3574900,0,1,,
144,144,0,0,0,0,0,0,0,1144000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3650300,0,1,3650300,0,1,,
145,145,0,0,0,0,0,0,0,1174700,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3726800,0,1,3726800,0,1,,
146,146,0,0,0,0,0,0,0,1205900,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3804300,0,1,3804300,0,1,,
147,147,0,0,0,0,0,0,0,1237900,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3882900,0,1,3882900,0,1,,
148,148,0,0,0,0,0,0,0,1270500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3962600,0,1,3962600,0,1,,
149,149,0,0,0,0,0,0,0,1303600,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4043300,0,1,4043300,0,1,,
150,150,0,0,0,0,0,0,0,1337500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4125200,0,1,4125200,0,1,,
151,151,0,0,0,0,0,0,0,2744000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4208200,0,1,4208200,0,1,,
152,152,0,0,0,0,0,0,0,2814400,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
153,153,0,0,0,0,0,0,0,2885900,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
154,154,0,0,0,0,0,0,0,2959000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
155,155,0,0,0,0,0,0,0,3033300,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
156,156,0,0,0,0,0,0,0,4663700,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
157,157,0,0,0,0,0,0,0,4779300,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
158,158,0,0,0,0,0,0,0,4897200,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
159,159,0,0,0,0,0,0,0,5017300,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
160,160,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
161,161,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
162,162,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
163,163,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
164,164,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
165,165,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
166,166,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
167,167,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
168,168,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
169,169,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
170,170,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
171,171,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
172,172,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
173,173,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
174,174,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
175,175,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
176,176,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
177,177,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
178,178,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
179,179,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
180,180,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
181,181,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
182,182,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
183,183,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
184,184,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
185,185,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
186,186,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
187,187,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
188,188,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
189,189,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
190,190,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
191,191,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
192,192,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
193,193,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
194,194,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
195,195,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
196,196,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
197,197,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
198,198,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
199,199,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
