"序号","物品类型","id","备注名","逻辑类型","珍品","值1","显示1","区间1","区间2","区间3","区间4","区间5","区间6","区间7","区间8","区间9","区间10","区间11","区间12","2级菜单ID","1级菜单ID","默认货币类型","默认价格1","默认价格2","默认价格3","默认价格4","默认价格5","默认价格6","默认价格7","默认价格8","默认价格9","默认价格10","默认价格11","基准成交量","基准挂单量","可见等级","可购买等级下限","可购买等级上限","价格上限","价格下限","浮动价格系数","是否可以摆摊上架"
"1032","2","500256","矮人军官宝宝","0","1","","","","","","","","","","","","","","","107","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1033","2","500257","裁决者宝宝","0","1","","","","","","","","","","","","","","","108","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1034","2","500258","食尸鬼宝宝","0","1","","","","","","","","","","","","","","","108","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1035","2","500259","女妖宝宝","0","1","","","","","","","","","","","","","","","108","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1036","2","500260","恐惧恶魔宝宝","0","1","","","","","","","","","","","","","","","108","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1100","2","500265","变异食人工头","0","1","","","","","","","","","","","","","","","100","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1101","2","500266","变异地精工匠","0","1","","","","","","","","","","","","","","","100","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1102","2","500267","变异剪刀手","0","1","","","","","","","","","","","","","","","100","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1103","2","500268","变异鱼人","0","1","","","","","","","","","","","","","","","100","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1104","2","500269","变异死神","0","1","","","","","","","","","","","","","","","101","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1105","2","500270","变异狼人","0","1","","","","","","","","","","","","","","","101","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1106","2","500271","变异死灵哨兵","0","1","","","","","","","","","","","","","","","101","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1107","2","500272","变异血月教徒","0","1","","","","","","","","","","","","","","","101","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1108","2","500273","变异野猪人","0","1","","","","","","","","","","","","","","","102","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1109","2","500274","变异绿龙护卫","0","1","","","","","","","","","","","","","","","102","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1110","2","500275","变异野猪战士","0","1","","","","","","","","","","","","","","","102","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1111","2","500276","变异巫妖","0","1","","","","","","","","","","","","","","","102","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1112","2","500277","变异血色猎犬","0","1","","","","","","","","","","","","","","","103","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1113","2","500278","变异幽灵","0","1","","","","","","","","","","","","","","","103","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1114","2","500279","变异死亡骑士","0","1","","","","","","","","","","","","","","","103","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1115","2","500280","变异血色骑士","0","1","","","","","","","","","","","","","","","103","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1116","2","500281","变异血色牧师","0","1","","","","","","","","","","","","","","","103","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1117","2","500282","变异土元素","0","1","","","","","","","","","","","","","","","104","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1118","2","500283","变异半人马","0","1","","","","","","","","","","","","","","","104","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1119","2","500284","变异逐日卫士","0","1","","","","","","","","","","","","","","","104","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1120","2","500285","变异腐女","0","1","","","","","","","","","","","","","","","104","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1121","2","500286","变异摧毁者","0","1","","","","","","","","","","","","","","","105","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1122","2","500287","变异虚空恐魔","0","1","","","","","","","","","","","","","","","105","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1123","2","500288","变异食人魔","0","1","","","","","","","","","","","","","","","105","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1124","2","500289","变异变形者","0","1","","","","","","","","","","","","","","","105","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1125","2","500290","变异蓝龙","0","1","","","","","","","","","","","","","","","106","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1126","2","500291","变异预言者","0","1","","","","","","","","","","","","","","","106","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1127","2","500292","变异黑龙","0","1","","","","","","","","","","","","","","","106","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1128","2","500293","变异绿龙","0","1","","","","","","","","","","","","","","","106","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1129","2","500294","变异红龙","0","1","","","","","","","","","","","","","","","107","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1130","2","500295","变异黑铁矮人","0","1","","","","","","","","","","","","","","","107","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1131","2","500296","变异铁炉牧师","0","1","","","","","","","","","","","","","","","107","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1132","2","500297","变异矮人军官","0","1","","","","","","","","","","","","","","","107","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1133","2","500298","变异裁决者","0","1","","","","","","","","","","","","","","","108","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1134","2","500299","变异食尸鬼","0","1","","","","","","","","","","","","","","","108","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1135","2","500300","变异女妖","0","1","","","","","","","","","","","","","","","108","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1136","2","500301","变异恐惧恶魔","0","1","","","","","","","","","","","","","","","108","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1137","2","900001","熊猫酒仙","0","1","","","","","","","","","","","","","","","109","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1138","2","900002","美杜莎","0","1","","","","","","","","","","","","","","","109","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1139","2","506012","地精工匠宝宝（系统赠送）","0","1","","","","","","","","","","","","","","","100","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1140","2","506013","剪刀手宝宝（系统赠送）","0","1","","","","","","","","","","","","","","","100","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2002","3","6050101","蓝剑","2","0","6050101","兄弟大剑","","","","","","","","","","","","","900","10","2","800","","","","","","","","","","","","","1","35","155","","","","1"
"2003","3","6060101","蓝剑","2","0","6060101","欺诈者之剑","","","","","","","","","","","","","901","10","2","1200","","","","","","","","","","","","","1","35","155","","","","1"
"2010","3","6050102","蓝锤子","2","0","6050102","白银的意志","","","","","","","","","","","","","900","10","2","800","","","","","","","","","","","","","1","35","155","","","","1"
"2011","3","6060102","蓝锤子","2","0","6060102","诅咒者之锤","","","","","","","","","","","","","901","10","2","1200","","","","","","","","","","","","","1","35","155","","","","1"
"2018","3","6050103","蓝匕首","2","0","6050103","暗黑背叛者","","","","","","","","","","","","","900","10","2","800","","","","","","","","","","","","","1","35","155","","","","1"
"2019","3","6060103","蓝匕首","2","0","6060103","污染者之怒","","","","","","","","","","","","","901","10","2","1200","","","","","","","","","","","","","1","35","155","","","","1"
"2026","3","6050104","蓝爪","2","0","6050104","狂风战斧","","","","","","","","","","","","","900","10","2","800","","","","","","","","","","","","","1","35","155","","","","1"
"2027","3","6060104","蓝爪","2","0","6060104","奥金巨斧","","","","","","","","","","","","","901","10","2","1200","","","","","","","","","","","","","1","35","155","","","","1"
"2034","3","6050105","蓝魔棒","2","0","6050105","荧光法杖","","","","","","","","","","","","","900","10","2","800","","","","","","","","","","","","","1","35","155","","","","1"
"2035","3","6060105","蓝魔棒","2","0","6060105","荣耀角斗士","","","","","","","","","","","","","901","10","2","1200","","","","","","","","","","","","","1","35","155","","","","1"
"2050","3","6050207","蓝男衣","2","0","6050207","士官长胸甲","","","","","","","","","","","","","900","10","2","800","","","","","","","","","","","","","1","35","155","","","","1"
"2051","3","6060207","蓝男衣","2","0","6060207","污染者胸甲","","","","","","","","","","","","","901","10","2","1200","","","","","","","","","","","","","1","35","155","","","","1"
"2058","3","6050208","蓝女衣","2","0","6050208","士官长外套","","","","","","","","","","","","","900","10","2","800","","","","","","","","","","","","","1","35","155","","","","1"
"2059","3","6060208","蓝女衣","2","0","6060208","污染者外套","","","","","","","","","","","","","901","10","2","1200","","","","","","","","","","","","","1","35","155","","","","1"
"2066","3","6050309","蓝男头","2","0","6050309","士官长头盔","","","","","","","","","","","","","900","10","2","800","","","","","","","","","","","","","1","35","155","","","","1"
"2067","3","6060309","蓝男头","2","0","6060309","污染者头盔","","","","","","","","","","","","","901","10","2","1200","","","","","","","","","","","","","1","35","155","","","","1"
"2074","3","6050310","蓝女头","2","0","6050310","士官长头饰","","","","","","","","","","","","","900","10","2","800","","","","","","","","","","","","","1","35","155","","","","1"
"2075","3","6060310","蓝女头","2","0","6060310","污染者头饰","","","","","","","","","","","","","901","10","2","1200","","","","","","","","","","","","","1","35","155","","","","1"
"2082","3","6050411","蓝项链","2","0","6050411","士官长项链","","","","","","","","","","","","","900","10","2","800","","","","","","","","","","","","","1","35","155","","","","1"
"2083","3","6060411","蓝项链","2","0","6060411","污染者项链","","","","","","","","","","","","","901","10","2","1200","","","","","","","","","","","","","1","35","155","","","","1"
"2090","3","6050512","蓝腰带","2","0","6050512","士官长腰带","","","","","","","","","","","","","900","10","2","800","","","","","","","","","","","","","1","35","155","","","","1"
"2091","3","6060512","蓝腰带","2","0","6060512","污染者腰带","","","","","","","","","","","","","901","10","2","1200","","","","","","","","","","","","","1","35","155","","","","1"
"2098","3","6050613","蓝鞋","2","0","6050613","士官长长靴","","","","","","","","","","","","","900","10","2","800","","","","","","","","","","","","","1","35","155","","","","1"
"2099","3","6060613","蓝鞋","2","0","6060613","污染者长靴","","","","","","","","","","","","","901","10","2","1200","","","","","","","","","","","","","1","35","155","","","","1"
"2104","3","7030101","紫剑","1","1","30","30级","","","","","","","","","","","","","200","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2105","3","7040101","紫剑","1","1","40","40级","","","","","","","","","","","","","200","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2106","3","7050101","紫剑","1","1","50","50级","","","","","","","","","","","","","200","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2107","3","7060101","紫剑","1","1","60","60级","","","","","","","","","","","","","200","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2108","3","7070101","紫剑","1","1","70","70级","","","","","","","","","","","","","200","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2109","3","7080101","紫剑","1","1","80","80级","","","","","","","","","","","","","200","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2110","3","7090101","紫剑","1","1","90","90级","","","","","","","","","","","","","200","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2111","3","7100101","紫剑","1","1","100","100级","","","","","","","","","","","","","200","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2112","3","7030102","紫锤子","1","1","30","30级","","","","","","","","","","","","","201","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2113","3","7040102","紫锤子","1","1","40","40级","","","","","","","","","","","","","201","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2114","3","7050102","紫锤子","1","1","50","50级","","","","","","","","","","","","","201","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2115","3","7060102","紫锤子","1","1","60","60级","","","","","","","","","","","","","201","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2116","3","7070102","紫锤子","1","1","70","70级","","","","","","","","","","","","","201","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2117","3","7080102","紫锤子","1","1","80","80级","","","","","","","","","","","","","201","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2118","3","7090102","紫锤子","1","1","90","90级","","","","","","","","","","","","","201","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2119","3","7100102","紫锤子","1","1","100","100级","","","","","","","","","","","","","201","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2120","3","7030103","紫匕首","1","1","30","30级","","","","","","","","","","","","","202","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2121","3","7040103","紫匕首","1","1","40","40级","","","","","","","","","","","","","202","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2122","3","7050103","紫匕首","1","1","50","50级","","","","","","","","","","","","","202","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2123","3","7060103","紫匕首","1","1","60","60级","","","","","","","","","","","","","202","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2124","3","7070103","紫匕首","1","1","70","70级","","","","","","","","","","","","","202","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2125","3","7080103","紫匕首","1","1","80","80级","","","","","","","","","","","","","202","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2126","3","7090103","紫匕首","1","1","90","90级","","","","","","","","","","","","","202","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2127","3","7100103","紫匕首","1","1","100","100级","","","","","","","","","","","","","202","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2128","3","7030104","紫爪","1","1","30","30级","","","","","","","","","","","","","203","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2129","3","7040104","紫爪","1","1","40","40级","","","","","","","","","","","","","203","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2130","3","7050104","紫爪","1","1","50","50级","","","","","","","","","","","","","203","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2131","3","7060104","紫爪","1","1","60","60级","","","","","","","","","","","","","203","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2132","3","7070104","紫爪","1","1","70","70级","","","","","","","","","","","","","203","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2133","3","7080104","紫爪","1","1","80","80级","","","","","","","","","","","","","203","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2134","3","7090104","紫爪","1","1","90","90级","","","","","","","","","","","","","203","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2135","3","7100104","紫爪","1","1","100","100级","","","","","","","","","","","","","203","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2136","3","7030105","紫魔棒","1","1","30","30级","","","","","","","","","","","","","204","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2137","3","7040105","紫魔棒","1","1","40","40级","","","","","","","","","","","","","204","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2138","3","7050105","紫魔棒","1","1","50","50级","","","","","","","","","","","","","204","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2139","3","7060105","紫魔棒","1","1","60","60级","","","","","","","","","","","","","204","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2140","3","7070105","紫魔棒","1","1","70","70级","","","","","","","","","","","","","204","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2141","3","7080105","紫魔棒","1","1","80","80级","","","","","","","","","","","","","204","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2142","3","7090105","紫魔棒","1","1","90","90级","","","","","","","","","","","","","204","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2143","3","7100105","紫魔棒","1","1","100","100级","","","","","","","","","","","","","204","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2152","3","7030207","紫男衣","1","1","30","30级","","","","","","","","","","","","","206","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2153","3","7040207","紫男衣","1","1","40","40级","","","","","","","","","","","","","206","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2154","3","7050207","紫男衣","1","1","50","50级","","","","","","","","","","","","","206","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2155","3","7060207","紫男衣","1","1","60","60级","","","","","","","","","","","","","206","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2156","3","7070207","紫男衣","1","1","70","70级","","","","","","","","","","","","","206","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2157","3","7080207","紫男衣","1","1","80","80级","","","","","","","","","","","","","206","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2158","3","7090207","紫男衣","1","1","90","90级","","","","","","","","","","","","","206","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2159","3","7100207","紫男衣","1","1","100","100级","","","","","","","","","","","","","206","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2160","3","7030208","紫女衣","1","1","30","30级","","","","","","","","","","","","","207","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2161","3","7040208","紫女衣","1","1","40","40级","","","","","","","","","","","","","207","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2162","3","7050208","紫女衣","1","1","50","50级","","","","","","","","","","","","","207","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2163","3","7060208","紫女衣","1","1","60","60级","","","","","","","","","","","","","207","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2164","3","7070208","紫女衣","1","1","70","70级","","","","","","","","","","","","","207","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2165","3","7080208","紫女衣","1","1","80","80级","","","","","","","","","","","","","207","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2166","3","7090208","紫女衣","1","1","90","90级","","","","","","","","","","","","","207","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2167","3","7100208","紫女衣","1","1","100","100级","","","","","","","","","","","","","207","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2168","3","7030309","紫男头","1","1","30","30级","","","","","","","","","","","","","208","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2169","3","7040309","紫男头","1","1","40","40级","","","","","","","","","","","","","208","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2170","3","7050309","紫男头","1","1","50","50级","","","","","","","","","","","","","208","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2171","3","7060309","紫男头","1","1","60","60级","","","","","","","","","","","","","208","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2172","3","7070309","紫男头","1","1","70","70级","","","","","","","","","","","","","208","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2173","3","7080309","紫男头","1","1","80","80级","","","","","","","","","","","","","208","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2174","3","7090309","紫男头","1","1","90","90级","","","","","","","","","","","","","208","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2175","3","7100309","紫男头","1","1","100","100级","","","","","","","","","","","","","208","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2176","3","7030310","紫女头","1","1","30","30级","","","","","","","","","","","","","209","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2177","3","7040310","紫女头","1","1","40","40级","","","","","","","","","","","","","209","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2178","3","7050310","紫女头","1","1","50","50级","","","","","","","","","","","","","209","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2179","3","7060310","紫女头","1","1","60","60级","","","","","","","","","","","","","209","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2180","3","7070310","紫女头","1","1","70","70级","","","","","","","","","","","","","209","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2181","3","7080310","紫女头","1","1","80","80级","","","","","","","","","","","","","209","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2182","3","7090310","紫女头","1","1","90","90级","","","","","","","","","","","","","209","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2183","3","7100310","紫女头","1","1","100","100级","","","","","","","","","","","","","209","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2184","3","7030411","紫项链","1","1","30","30级","","","","","","","","","","","","","210","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2185","3","7040411","紫项链","1","1","40","40级","","","","","","","","","","","","","210","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2186","3","7050411","紫项链","1","1","50","50级","","","","","","","","","","","","","210","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2187","3","7060411","紫项链","1","1","60","60级","","","","","","","","","","","","","210","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2188","3","7070411","紫项链","1","1","70","70级","","","","","","","","","","","","","210","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2189","3","7080411","紫项链","1","1","80","80级","","","","","","","","","","","","","210","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2190","3","7090411","紫项链","1","1","90","90级","","","","","","","","","","","","","210","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2191","3","7100411","紫项链","1","1","100","100级","","","","","","","","","","","","","210","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2192","3","7030512","紫腰带","1","1","30","30级","","","","","","","","","","","","","211","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2193","3","7040512","紫腰带","1","1","40","40级","","","","","","","","","","","","","211","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2194","3","7050512","紫腰带","1","1","50","50级","","","","","","","","","","","","","211","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2195","3","7060512","紫腰带","1","1","60","60级","","","","","","","","","","","","","211","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2196","3","7070512","紫腰带","1","1","70","70级","","","","","","","","","","","","","211","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2197","3","7080512","紫腰带","1","1","80","80级","","","","","","","","","","","","","211","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2198","3","7090512","紫腰带","1","1","90","90级","","","","","","","","","","","","","211","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2199","3","7100512","紫腰带","1","1","100","100级","","","","","","","","","","","","","211","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2200","3","7030613","紫鞋","1","1","30","30级","","","","","","","","","","","","","212","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2201","3","7040613","紫鞋","1","1","40","40级","","","","","","","","","","","","","212","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2202","3","7050613","紫鞋","1","1","50","50级","","","","","","","","","","","","","212","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2203","3","7060613","紫鞋","1","1","60","60级","","","","","","","","","","","","","212","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"2204","3","7070613","紫鞋","1","1","70","70级","","","","","","","","","","","","","212","3","2","0","","","","","","","","","","","","","1","35","155","","","","1"
