"id","单位关系","单位阵营方","战斗单位类型","怪物类型","特殊类型","是否包含死亡","是否包含隐身","本回合累积结果","最小hp百分比","最大hp百分比","最小mp百分比","最大mp百分比","最大连击点","最小连击点","属性排序","buff","性别","职业","等级下限","等级上限","怪物ID","战斗ID","策划备注","关系"
"94021","","3","","","","","1","","","","","","","","","_502003_||_506002_","","","0","301","","","自身中了定身符",""
"94022","","3","","","","","1","","","","","","","","","_505005_||_504011_","","","0","301","","","自身中了冰冻",""
"94023","","2","5","4","","","1","","","","","","","","","!_501010_&&!_13_","","","0","301","","","没中嘲讽的敌方boss",""
"94024","","2","5","4","","","1","","","","","","","","","!_501004_","","","0","301","","","没中破甲的敌方boss",""
"94025","","3","","","","","1","","0.5","","","","","","","","","","0","301","","","血大于等于50%的自己",""
"94026","","3","","","","","1","","","0.5","","","","","","","","","0","301","","","血小于50%的自己",""
"94027","","2","","","","","1","","","","","","","","","_509082_||_509083_||_506201_","","","0","301","","","敌方隐身单位",""
"94028","","1","","","","","1","","","0.6","","","","","curhp_percent@0","","","","0","301","","","我方血小于等于60%单位",""
"94029","","2","5","4","","","1","","","","","","","","","","","","0","301","","","敌方boss",""
"94030","","2","","","","","1","","","","","","","","","","","","0","301","","","敌方数量",""
"94031","","1","","","","","1","","","","","0.1","","","curmp_percent@0","","","","0","301","","","己方魔法值低于10%的主角",""
"94032","","1","","","","1","1","","","","","","","","","_506002_","","","0","301","","","我方有黄昏花蕾buff的单位（包含死亡）",""
"94033","","1","1;3","","","","1","","","0.8","","","","","curhp_percent@0","","","","0","301","","","我方血量少于80%的主角",""
"94034","","2","","","","1","1","","","","","","","","","_501402_","","","0","301","","","敌方中神谕责难的单位（包含死亡）",""
"94035","","2","5;6","2","","","1","","","","","","","","","!_13_&&!_501008_","","","0","301","","","敌方没被控制的精英怪",""
"94036","","1","","","","","1","","","","","","","","","_120_","","","0","301","","","我方中毒单位",""
"94037","","2","","","","","1","","","0.3","","","","","curhp_percent@0","","","","0","301","","","对方血小于等于30%的单位",""
"94038","","1","","","","","1","","","0.9","","","","","curhp_percent@0","","","","0","301","","","我方血小于等于80%单位",""
"94039","","1","","","","1","1","","","","","","","","","_500033_","","","0","301","","","我方死亡单位",""
"94040","","1","","","","1","1","","","","","","","","","_506003_","","","0","301","","","我方身上有心灵之火buff的单位（包含死亡）",""
"94041","","1","","","","","1","","","","","","","","","_110_||_120_||_13_","","","0","301","","","我方中debuff单位",""
"94042","","2","","","","1","1","","","","","","","","","_506306_","","","0","301","","","敌方有身上有虚弱诅咒buff的单位（包含死亡）",""
"94043","","3","","","","","1","","","0.3","","","","","","","","","0","301","","","血量小于等于30%的自己",""
"94044","","2","","","","","1","","","","","","","","","!_13_&&!_501008_","","","0","301","","","敌方没被控制的单位",""
"94045","","1","2","","","","1","","","","","","","","","","","","0","301","","","己方宠物",""
"94046","","1","2","","","","1","","","","","","","","","_503002_","","","0","301","","","我方有野性召唤buff的宠物单位",""
"94047","","3","","","","","1","","","","","","0","","","","","","0","301","","","连击点大于等于0的自己",""
"94048","","3","","","","","1","","","","","","1","","","","","","0","301","","","连击点大于等于1的自己",""
"94049","","3","","","","","1","","","","","","2","","","","","","0","301","","","连击点大于等于2的自己",""
"94050","","3","","","","","1","","","","","","3","","","","","","0","301","","","连击点大于等于3的自己",""
"94051","","3","","","","","1","","","","","","4","","","","","","0","301","","","连击点大于等于4的自己",""
"94052","","3","","","","","1","","","","","","5","","","","","","0","301","","","连击点大于等于5的自己",""
"94053","","1","","","","1","1","","","","","","","","","_504003_","","","0","150","","","我方身上有自然之眼buff的单位（包含死亡）",""
"94054","","3","","","","","1","","","","","","","","","!_506109_","","","0","301","","","身上没有先祖之魂buff的自己",""
"94055","","3","","","","","1","","","","","","","","","!_506109_","","","0","301","28123","","身上没有先祖之魂buff的自己且是娘子ID28123",""
"94056","","1","","","","","1","","","","","","","","","_13_","","","0","301","","","我方被控制的单位",""
"94057","","3","","","","","1","","","","","","","","","_504013_","","","0","301","","","身上有缠绕根须虚弱buff的自己",""
"94058","","1","","","","","1","","","","","","","","","","","","0","300","","","己方数量",""
"95001","","2","2","","","","1","","","","","","","","","","","","0","301","","","敌方宠物",""
"95002","","1","","","","","1","","","","","","","","","","","","0","301","","1","玩家自己",""
"95003","","1","","","","","1","","","","","","","","","","","","0","301","","","己方单位",""
"95004","","2","1","","","","1","","","","","","","","","","","","0","301","","","敌方主角",""
"95005","","","","","","","1","","","","","","","","","","","","0","301","29530","","剧情战斗8505，目标哀木涕",""
"95006","","","","","","","1","","","","","","","","","","","","0","301","29531","","剧情战斗8505，目标沐丝",""
"95007","","","","","","","1","","","","","","","","","","","","0","301","29401","","普通攻击萨尔",""
"95008","","","","","","","1","","","","","","","","","","","","0","301","29405","","普通攻击安度因",""
"95009","","1","1","","","","1","","","","","","","","","","","","0","301","","","己方主角",""
"95010","","","","","","","1","","","","","","","","","","","","0","301","29560;29561;29562;29563","","除主角所有敌人",""
"95011","","","","","","","1","","","","","","","","","","","","0","301","29400","","普通攻击战士首席",""
"95012","","","","","","","1","","","","","","","","","","","","0","301","29404","","普通攻击法师首席",""
"95013","","1","1","","","1","1","","","","","","","","","","","","0","301","","","己方死亡主角",""
"95014","","1","","","","","1","","","","","","","","","","","","0","301","29507","","剧情战斗8502，目标侏儒战士",""
"95015","","1","","","","","1","","","","","","","","","","","","0","301","29523","","剧情战斗8504，目标暗夜男",""
"95016","","4","","","","","1","","","","","","","","","","","","0","301","29523","","剧情战斗8504，目标暗夜男(敌方)",""
"95017","","1","","","","1","1","","","","","","","","","_500033_","","","0","301","29860","","剧情战斗8545，目标雷诺（己方）",""
"95018","","1","","","","","1","","","","","","","","","","","","0","301","","","己方存活单位",""
"95019","","4","","","","","1","","","","","","","","","","","","0","301","","","敌我双方所有人",""
"95020","","2","","","","1","1","","","","","","","","","_500033_","","","0","301","29002","","红尘8600，修玛死亡",""
"95021","","1","","","","1","1","","","0.2","","","","","","","","","0","301","29020","","红尘8602，冬血量小于20%",""
"95022","","2","","","","","1","","","","","","","","","","","","0","301","29002","","红尘8600，修玛",""
"95023","","2","","","","","1","","","","","","","","","","","","0","301","29050","","红尘8605，大囧龟",""
"95024","","2","","","","","1","","","","","","","","","","","","0","301","","","红尘8603，敌方怪",""
"95025","","1","1","","","","1","","","0.8","","","","","","","","","0","301","","","我方主角血小于等于50%的单位",""
"95026","","1","1","","","1","1","","","0","","","","","","","","","0","301","","","己方死亡主角",""
"95027","","2","","","","","1","","","","","","","","","","","","0","301","29423","","敌方冰龙",""
"95028","","2","","","","","1","","","","","","","","","","","","0","301","","","敌方怪物",""
"95029","","2","5","4","","","1","","","","","","","","","!_501010_","","","0","301","","","新手战斗BOSS",""
"95030","","2","5;6","2","","","1","","","","","","","","","!_13_","","","0","301","","","新手战斗冰龙",""
"95031","","","","","","","1","","","","","","","","","","","","0","301","29400","","新手战斗，单秒战士29400",""
"95032","","","","","","","1","","","","","","","","","","","","0","301","29401","","新手战斗，单秒小德29401",""
"95033","","","","","","","1","","","","","","","","","","","","0","301","29402","","新手战斗，单秒法师29402",""
"95034","","","","","","","1","","","","","","","","","","","","0","301","29403","","新手战斗，单秒牧师29403",""
"95035","","1","","","","1","1","","","","","","","","","_500033_","","","0","301","","","我方死亡单位",""
"95036","","1","","","","","1","","","0.5","","","","","curhp_percent@0","","","","0","301","","","我方血小于等于50%单位",""
"95037","","1","","","","","1","","","0.8","","","","","curhp_percent@0","","","","0","301","","","我方血小于等于80%单位",""
"95038","","1","","","","1","1","","","","","","","","","_500033_","","","0","301","","","我方死亡单位",""
"95039","","1","","","","1","1","","","","","","","","","_506003_","","","0","301","","","我方身上有心灵之火buff的单位（包含死亡）",""
"95040","","1","","","","","1","","","0.6","","","","","","","","","0","301","","","我方血小于等于60%单位",""
"95041","","2","","","","","1","","","","","","","","","!_13_","","","0","301","","","8551敌方没被控制的单位",""
"95042","","2","","","","","1","","","","","","","","","_509082_||_509083_||_506201_","","","0","301","","","8551敌方隐身单位",""
"95043","","1","","","","","1","","","0.8","","","","","curhp_percent@0","","","","0","301","","","8551我方血小于等于80%单位",""
"95044","","1","","","","","1","","","0.3","","","","","curhp_percent@0","","","","0","301","","","8551我方血小于等于30%单位",""
"95045","","1","","","","1","1","","","","","","","","","_500033_","","","0","301","","","8551我方死亡单位",""
"95046","","2","","","","","1","","","","","","","","","","","","0","301","","","8551敌方数量",""
"95047","","2","","","","","1","","","0.4","","","","","curhp_percent@0","","","","0","301","","","8552对方血小于等于40%的单位",""
"95048","","1","","","","1","1","","","","","","","","","_500033_","","","0","301","","","8552我方死亡单位",""
"95049","","1","","","","","1","","","0.8","","","","","curhp_percent@0","","","","0","301","","","8554我方血量少于80%的主角",""
"95050","","2","","","","1","1","","","","","","","","","_504002_","","","0","301","","","8554敌方中绿之潮的单位（包含死亡）",""
"95051","","2","","","","","1","","","","","","","","","!_13_","","","0","301","","","8555敌方没被控制的单位",""
"95052","","1","","","","","1","","","0.5","","","","","curhp_percent@0","","","","0","301","","","8555己方血量小于50%",""
"95053","","3","","","","","1","","","0.5","","","","","curhp_percent@0","","","","0","301","","","8557自己血量小于50%",""
"95054","","1","","","","1","1","","","","","","","","","_506002_","","","0","301","","","我方有黄昏花蕾buff的单位（包含死亡）",""
"95055","","1","","","","1","1","","","","","","","","","_506003_","","","0","301","","","8560我方身上有心灵之火buff的单位（包含死亡）",""
"95056","","2","","","","","1","","","0.1","","","","","curhp_percent@0","","","","0","301","","","8561血量少于10%的敌人",""
"95057","","1","","","","1","1","","","","","","","","","_506109_","","","0","301","","","8561我方有先祖之魂buff单位",""
"95058","","2","","","","1","1","","","","","","","","","_506306_","","","0","301","","","敌方有身上有虚弱诅咒buff的单位（包含死亡）",""
"95059","","2","","","","","1","","","","","","","","","_509082_||_509083_||_506201_","","","0","301","","","敌方隐身单位",""
"95060","","3","","","","","1","","0.55","","","","","","curhp_percent@0","","","","0","301","","","自己血量大于55%",""
"95061","","1","","","","","1","","","","","","","","","","","","0","301","40090","","8569伊利丹头颅",""
"95062","","4","","","","","1","","","0.5","","","","","curhp_percent@0","","","","0","301","40130","","8573阿克蒙德血量50%",""
"95063","","1","","","","1","1","","","0.5","","","","","curhp_percent@0","!_506101_","","","0","301","","","我方血量少于50%并且没有治疗图腾buff",""
"95064","","1","","","","1","1","","","","","","","","","!_510139_","","","0","301","","","我方没有狂热图腾buff",""
"95065","","2","","","","","1","","","","","","","","","!_506306_","","","0","301","","","敌方没中沉默诅咒buff",""
"95070","","4","","","","1","1","","","","","","","","","","","","0","301","29424","","新手战斗炎魔",""
"95071","","4","","","","1","1","","","","","","","","","","","","0","301","29425","","新手战斗大奶铜须",""
"95072","","4","","","","1","1","","","","","","","","","","","","0","301","29428","","新手战斗火元素",""
"95073","","4","","","","1","1","","","","","","","","","","","","0","301","29421","","新手德鲁伊",""
"95074","","3","","","","1","1","","","0.1","","","","","curhp_percent@0","","","","0","301","","","己方血量不足10%",""
"95075","","3","","","","","1","","","","","","2","","","","","","0","301","","","连击点大于等于2的自己",""
"95076","","3","","","","","1","","","","","","","","","!_506201_","","","0","301","","","己方没有隐身buff",""
"95077","","2","","","","1","1","","","0.1","","","","","curhp_percent@0","","","","0","301","","","敌方血量不足10%单位",""
"95078","","2","","","","1","1","","","","","","","","","_501010_","","","0","301","","","敌方中嘲讽buff单位",""
"95079","","2","","","","1","1","","","","","","","","","_501004_","","","0","301","","","敌方中破甲buff单位",""
"95080","","1","","","","","1","","0.6","","","","","","curhp_percent@0","","","","0","301","","","自己血量大于60%",""
"95081","","2","","","","1","1","","","","","","","","","!_501010_","","","0","301","","","敌方没中复仇之盾buff单位",""
"95082","","1","","","","","1","","","0.5","","","","","curhp_percent@0","","","","0","301","","","己方血量不足50%单位",""
"95083","","1","","","","1","1","","","0.3","","","","","curhp_percent@0","","","","0","301","","","己方血量不足30%",""
"95084","","2","","","","1","1","","","","","","","","","!_504002_","","","0","301","","","敌方没中绿之潮buff单位",""
"95085","","1","","","","1","1","","","0.5","","","","","curhp_percent@0","","","","0","301","","","己方血量不足50单位",""
"95086","","2","","","","","1","","","","","","","","","_509082_||_509083_||_506201_||_509068_||_509031_","","","0","301","","","敌方有隐身buff单位",""
"95087","","1","","","","","1","","","","","","","","","_504003_","","","0","301","","","己方有自然之眼buff单位",""
"95088","","1","","","","1","1","","","","","","","","","_506003_","","","0","301","","","己方有心灵之火buff单位",""
"95089","","1","","","","1","1","","","","","","","","","_506002_","","","0","301","","","己方有黄昏花蕾buff单位",""
"96001","","2","1","","","1","1","","","","","","","","","","","_12_||_14_||_16_||_19_","0","301","","","对方主角非输出职业",""
"96002","","2","1","","","1","1","","","","","","","","","","","","0","301","","","对方没有中三控的单位",""
"96003","","2","","","","","1","","","","","","","","","!_502002_","","","0","301","","","",""
"96004","","2","1","","","1","1","","","","","","","","","","","_11_||_13_||_15_||_17_||_18_","0","301","","","输出职业",""
"96011","","2","5","4","","","1","","","0.1","","","","","","","","","0","301","","","公会副本BOSS血量小于等于百分之十",""
"96012","","2","5","","","","1","","","","","","","","","","","","0","301","","","怪物数量",""
"96013","","3","5","","","","1","","","0.1","","","","","","","","","0","301","","","公会副本血量小于10%",""
"96014","","2","1","","","1","1","","","","","","","","","","","_11_","0","301","","","对方战士职业",""
"96015","","3","","","","","1","","","","","","","","","_13_","","","0","301","","","公会副本怪自己中了控制",""
"96016","","2","1","","","1","1","","","","","","","","","","","_12_||_16_","0","301","","","公会副本敌方有治疗职业逃跑",""
"96017","","","","","","1","1","","","","","","","","","","","","0","301","24154;24174;24175;24176;24177;24178;24179;24180;24181","","敌方所有敌人",""
"96018","","2","","","","1","1","","","","","","","","","","","","0","301","24000","","公会副本敌方有治疗单位逃跑图腾怪物",""
"96100","","2","1","","","1","1","","","","","","","","","","","_11_","0","301","","","（尖牙溶洞）对方战士职业",""
"96101","","2","5","","","","1","","","","","","","","","","","","0","301","","","（尖牙溶洞）怪物数量",""
"96102","","3","5","4","","","1","","","0.5","","","","","","","","","0","301","","","（尖牙溶洞）血小于等于50%",""
"96103","","2","1","","","1","1","","","","","","","","","","","_11_","0","301","","","有大唐官府逃跑",""
"96104","","2","1","","","1","1","","","","","","","","","","","_12_","0","301","","","有方寸山逃跑",""
"96105","","2","1","","","1","1","","","","","","","","","","","_13_","0","301","","","有狮驼岭逃跑",""
"96106","","2","1","","","1","1","","","","","","","","","","","_14_","0","301","","","有阴曹地府逃跑",""
"96107","","2","1","","","1","1","","","","","","","","","","","_15_","0","301","","","有龙宫逃跑",""
"96108","","2","1","","","1","1","","","","","","","","","","","_16_","0","301","","","有普陀山逃跑",""
"96109","","2","1","","","1","1","","","","","","","","","","","_17_","0","301","","","有魔王寨逃跑",""
"96110","","2","1","","","1","1","","","","","","","","","","","_18_","0","301","","","有月宫逃跑",""
"96111","","2","1","","","1","1","","","","","","","","","","","_19_","0","301","","","有化生寺逃跑",""
"96112","","2","5","","","","","","","","","","","","","","","","0","301","","","敌方阵营",""
"96113","","3","","","","1","1","","","","","","","","","_506003_","","","0","301","","","我方身上有心灵之火buff的单位（包含死亡）",""
"96120","","1","","","","","1","","","0.8","","","","","","","","","0","301","","","我方血小于等于80%单位",""
"96121","","1","","","","","1","","","0.8","","","","","","","","","0","301","","","我方血小于等于80%单位",""
"96122","","3","","","","1","1","","","","","","","","","_506003_","","","0","301","","","我方身上有心灵之火buff的单位（包含死亡）",""
"96123","","1","","","","1","1","","","","","","","","","_500033_","","","0","301","","","我方死亡单位",""
"96124","","3","5","","","1","","","","0.01","","","","","","","","","0","301","","","自己血量小于百分之0.01",""
"96125","","2","1","","","1","1","","","","","","","","","","","","0","301","","","死亡主角刷新宠物复活玩家驱散状态",""
"96126","","3","5","","","1","","","","0.7","","","","","","","","","0","301","","","BOSS血量小于百分之70释放驱散无敌技能",""
"96127","","1","5","","","1","","","","","","","","","","","","","0","301","","","己方怪物",""
"96200","","2","","","","","1","","","","","","","","","!_501010_","","","0","301","","","中嘲讽的敌方单位",""
"96201","","2","","","","","1","","","","","","","","","!_501004_","","","0","301","","","中破甲的敌方单位",""
"96202","","2","","","","","1","","","","","","","","","","","","0","301","","","敌方单位",""
"96203","","2","","","","","1","","","","","","","","","!_501010_","","","0","301","","","中嘲讽的敌方单位",""
"96204","","2","","","","","1","","","","","","","","","_509082_||_509083_||_506201_","","","0","301","","","敌方隐身单位",""
"96205","","1","","","","","1","","","0.6","","","","","curhp_percent@0","","","","0","301","","","我方血小于等于60%单位",""
"96206","","2","","","","","1","","","","","","","","","","","","0","301","","","敌方单位",""
"96207","","2","","","","","1","","","","","","","","","","","","0","301","","","敌方单位",""
"96208","","2","","","","1","1","","","","","","","","","_504002_","","","0","301","","","敌方中绿之潮的单位（包含死亡）",""
"96209","","1","","","","","1","","","0.8","","","","","","","","","0","301","","","我方血小于等于80%单位",""
"96210","","1","","","","1","1","","","","","","","","","_506003_","","","0","301","","","我方身上有心灵之火buff的单位（包含死亡）",""
"96211","","1","","","","1","1","","","","","","","","","_500033_","","","0","301","","","我方死亡单位",""
"96212","","1","","","","","1","","","0.8","","","","","curhp_percent@0","","","","0","301","","","我方血小于等于80%单位",""
"96213","","1","","","","","1","","","","","","","","","_110_||_120_","","","0","301","","","我方中debuff单位",""
"96214","","1","","","","1","1","","","","","","","","","_500033_","","","0","301","","","我方死亡单位",""
"96215","","2","","","","","1","","","","","","","","","","","","0","301","","","敌方单位",""
"96216","","2","","","","","1","","","","","","","","","!_13_","","","0","301","","","敌方没被控制的单位",""
"96217","","2","","","","1","1","","","","","","","","","_501402_","","","0","301","","","敌方有身上有虚弱诅咒buff的单位（包含死亡）",""
"96218","","3","","","","","1","","","0.5","","","","","","","","","0","301","","","血小于50%的自己",""
"96219","","2","","","","","1","","","","","","","","","","","","0","301","","","敌方单位",""
"96220","","2","","","","","1","","","","","","","","","","","","0","301","","","敌方单位",""
"96221","","2","","","","","1","","","","","","","","","","","","0","301","","","敌方单位",""
"96222","","2","","","","","1","","","","","","","","","","","","0","301","","","敌方单位",""
"96223","","2","","","","","1","","","","","","","","","","","","0","301","","","敌方单位",""
"96224","","2","","","","","1","","","","","","","","","","","","0","301","","","敌方单位",""
"96225","","2","5","4","","","1","","","","","","","","","","","","0","301","","","boss死亡召唤怪物",""
"96230","","3","","","","","1","","","0.9","","","","","","","","","0","301","","","血小于90%的自己",""
"96231","","3","","","","","1","","","0.7","","","","","","","","","0","301","","","血小于70%的自己",""
"96232","","3","","","","","1","","","0.5","","","","","","","","","0","301","","","血小于50%的自己",""
"96233","","3","","","","","1","","","0.3","","","","","","","","","0","301","","","血小于30%的自己",""
"96234","","3","","","","","1","","","0.1","","","","","","","","","0","301","","","血小于10%的自己",""
"96235","","3","","","","","1","","","0.15","","","","","","","","","0","301","","","血小于15%的自己",""
"96236","","3","","","","","1","","","0.13","","","","","","","","","0","301","","","血小于13%的自己",""
"96237","","3","","","","","1","","","0.11","","","","","","","","","0","301","","","血小于11%的自己",""
"96301","","3","5","","","","1","","0.5","","","","","","","","","","0","301","","","自己的血量高于50%召唤怪物",""
"96302","","3","5","","","","1","","","0.5","","","","","","","","","0","301","","","自己的血量小于50%释放驱散无敌技能",""
"96303","","1","5","","","","1","","","","","","","","","","","","0","301","","","自己方的怪物单位",""
"96304","","1","5","","","","1","","","","","","","","","_509201_","","","0","301","","","己方阵营有无敌BUFF",""
"96305","","2","1","","","","1","","","","","","","","","","","","0","301","","","敌方单位",""
"96306","","1","5","","","","1","","","","","","","","","","","","0","301","","","己方单位",""
"96307","","1","5","","","","1","","","","","","","","","","","","0","301","","20","公会副本每回合补小怪位置的单位",""
"96308","","1","5","","","","1","","","","","","","","","","","","0","301","","21","公会副本每回合补小怪位置的单位",""
"96309","","1","5","","","","1","","","","","","","","","","","","0","301","","22","公会副本每回合补小怪位置的单位",""
"96310","","1","5","","","","1","","","","","","","","","","","","0","301","","23","公会副本每回合补小怪位置的单位",""
"96311","","1","5","","","","1","","","","","","","","","","","","0","301","","24","公会副本每回合补小怪位置的单位",""
"96312","","2","1","","","","1","","","","","","","","","","","_16_","0","301","","","敌方阵营有牧师",""
"96313","","2","1","","","","1","","","","","","","","","","","_12_","0","301","","","敌方阵营有骑士",""
"96351","","3","5","","","","1","","0.5","","","","","","","","","","0","301","","","自己的血量高于50%召唤怪物",""
"96352","","3","5","","","","1","","","0.5","","","","","","","","","0","301","","","自己的血量小于50%释放驱散无敌技能",""
"96353","","1","5","","","","1","","","","","","","","","","","","0","301","","","自己方的怪物单位",""
"96354","","1","5","","","","1","","","","","","","","","_509201_","","","0","301","","","己方阵营有无敌BUFF",""
"96355","","2","1","","","","1","","","","","","","","","","","","0","301","","","敌方单位",""
"96356","","1","5","","","","1","","","","","","","","","","","","0","301","","","己方单位",""
"96357","","1","5","","","","1","","","","","","","","","","","","0","301","","20","公会副本每回合补小怪位置的单位",""
"96358","","1","5","","","","1","","","","","","","","","","","","0","301","","21","公会副本每回合补小怪位置的单位",""
"96359","","1","5","","","","1","","","","","","","","","","","","0","301","","22","公会副本每回合补小怪位置的单位",""
"96360","","1","5","","","","1","","","","","","","","","","","","0","301","","23","公会副本每回合补小怪位置的单位",""
"96361","","1","5","","","","1","","","","","","","","","","","","0","301","","24","公会副本每回合补小怪位置的单位",""
"96362","","1","5","","","","1","","","","","","","","","","","","0","301","","15","公会副本每回合补小怪位置的单位",""
"96363","","1","5","","","","1","","","","","","","","","","","","0","301","","16","公会副本每回合补小怪位置的单位",""
"96364","","1","5","","","","1","","","","","","","","","","","","0","301","","17","公会副本每回合补小怪位置的单位",""
"96365","","1","5","","","","1","","","","","","","","","","","","0","301","","18","公会副本每回合补小怪位置的单位",""
"96366","","1","5","","","","1","","","","","","","","","","","","0","301","","19","公会副本每回合补小怪位置的单位",""
"96401","","3","","","","","1","","","","","","","","","_13_","","","0","301","","","日常副本怪自己中了封印",""
"96402","","2","1","","","1","1","","","","","","","","","","","_12_||_16_","0","301","","","（公会副本）对方主角为治疗职业",""
"96403","","2","","","","1","1","","","","","","","","","","","","0","301","24000","","公会副本敌方有治疗单位逃跑图腾怪物",""
"96451","","3","5","","","","1","","0.5","","","","","","","","","","0","301","","","自己的血量高于50%召唤怪物",""
"96452","","3","5","","","","1","","","0.5","","","","","","","","","0","301","","","自己的血量小于50%释放驱散无敌技能",""
"96453","","1","5","","","","1","","","","","","","","","","","","0","301","","","自己方的怪物单位",""
"96454","","1","5","","","","1","","","","","","","","","_509201_","","","0","301","","","己方阵营有无敌BUFF",""
"96455","","2","1","","","","1","","","","","","","","","","","","0","301","","","敌方单位",""
"96456","","1","5","","","","1","","","","","","","","","","","","0","301","","","己方单位",""
"96457","","1","5","","","","1","","","","","","","","","","","","0","301","","20","公会副本每回合补小怪位置的单位",""
"96458","","1","5","","","","1","","","","","","","","","","","","0","301","","21","公会副本每回合补小怪位置的单位",""
"96459","","1","5","","","","1","","","","","","","","","","","","0","301","","22","公会副本每回合补小怪位置的单位",""
"96460","","1","5","","","","1","","","","","","","","","","","","0","301","","23","公会副本每回合补小怪位置的单位",""
"96461","","1","5","","","","1","","","","","","","","","","","","0","301","","24","公会副本每回合补小怪位置的单位",""
"96462","","1","5","","","","1","","","","","","","","","","","","0","301","","15","公会副本每回合补小怪位置的单位",""
"96463","","1","5","","","","1","","","","","","","","","","","","0","301","","16","公会副本每回合补小怪位置的单位",""
"96464","","1","5","","","","1","","","","","","","","","","","","0","301","","17","公会副本每回合补小怪位置的单位",""
"96465","","1","5","","","","1","","","","","","","","","","","","0","301","","18","公会副本每回合补小怪位置的单位",""
"96466","","1","5","","","","1","","","","","","","","","","","","0","301","","19","公会副本每回合补小怪位置的单位",""
"96501","","3","5","","","","1","","0.5","","","","","","","","","","0","301","","","自己的血量高于50%召唤怪物",""
"96502","","3","5","","","","1","","","0.5","","","","","","","","","0","301","","","自己的血量小于50%释放驱散无敌技能",""
"96503","","1","5","","","","1","","","","","","","","","","","","0","301","","","自己方的怪物单位",""
"96504","","1","5","","","","1","","","","","","","","","_509201_","","","0","301","","","己方阵营有无敌BUFF",""
"96505","","2","1","","","","1","","","","","","","","","","","","0","301","","","敌方单位",""
"96506","","1","5","","","","1","","","","","","","","","","","","0","301","","","己方单位",""
"96507","","1","5","","","","1","","","","","","","","","","","","0","301","","20","公会副本每回合补小怪位置的单位",""
"96508","","1","5","","","","1","","","","","","","","","","","","0","301","","21","公会副本每回合补小怪位置的单位",""
"96509","","1","5","","","","1","","","","","","","","","","","","0","301","","22","公会副本每回合补小怪位置的单位",""
"96510","","1","5","","","","1","","","","","","","","","","","","0","301","","23","公会副本每回合补小怪位置的单位",""
"96511","","1","5","","","","1","","","","","","","","","","","","0","301","","24","公会副本每回合补小怪位置的单位",""
"96512","","1","5","","","","1","","","","","","","","","","","","0","301","","15","公会副本每回合补小怪位置的单位",""
"96513","","1","5","","","","1","","","","","","","","","","","","0","301","","16","公会副本每回合补小怪位置的单位",""
"96514","","1","5","","","","1","","","","","","","","","","","","0","301","","17","公会副本每回合补小怪位置的单位",""
"96515","","1","5","","","","1","","","","","","","","","","","","0","301","","18","公会副本每回合补小怪位置的单位",""
"96516","","1","5","","","","1","","","","","","","","","","","","0","301","","19","公会副本每回合补小怪位置的单位",""
"97001","","2","1","","","1","1","","","","","","","","","","","_12_||_14_||_16_||_19_","0","301","","","对方主角非输出职业",""
"97002","","2","1","","","1","1","","","","","","","","","","","","0","301","","","对方没有中三控的单位",""
