ID,备注,等级要求,需求道具1,需求道具1数量,需求道具2,需求道具2数量,需求道具3,需求道具3数量,需求道具4,需求道具4数量,需求道具5,需求道具5数量,合成产物,合成消耗银币,材料不足提示,物品合成成功,合成产物1,合成产物1权重,合成产物2,合成产物2权重,合成产物3,合成产物3权重,合成产物4,合成产物4权重,合成产物5,合成产物5权重,合成产物6,合成产物6权重,合成产物7,合成产物7权重,合成产物8,合成产物8权重,合成产物9,合成产物9权重,合成产物10,合成产物10权重,合成产物11,合成产物11权重,合成产物12,合成产物12权重,合成产物13,合成产物13权重,合成产物14,合成产物14权重,合成产物15,合成产物15权重,合成产物16,合成产物16权重,合成产物17,合成产物17权重,合成产物18,合成产物18权重,合成产物19,合成产物19权重,合成产物20,合成产物20权重,合成产物21,合成产物21权重,合成产物22,合成产物22权重,合成产物23,合成产物23权重,合成产物24,合成产物24权重,合成产物25,合成产物25权重,合成产物26,合成产物26权重,合成产物27,合成产物27权重,合成产物28,合成产物28权重,合成产物29,合成产物29权重,合成产物30,合成产物30权重
10,神龙兑换券,1,680708,1,680700,50,,,,,,,680728,0,193112,193113,680728,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,神兽兑换预留1,1,680708,1,680700,50,,,,,,,680728,0,193112,193113,680728,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,神兽兑换预留2,1,680708,1,680700,50,,,,,,,680728,0,193112,193113,680728,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,神兽兑换预留3,1,680708,1,680700,50,,,,,,,680728,0,193112,193113,680728,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,神兽兑换预留4,1,680708,1,680700,50,,,,,,,680728,0,193112,193113,680728,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,神兽兑换预留5,1,680708,1,680700,50,,,,,,,680728,0,193112,193113,680728,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,神兽兑换预留6,1,680708,1,680700,50,,,,,,,680728,0,193112,193113,680728,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,神兽兑换预留7,1,680708,1,680700,50,,,,,,,680728,0,193112,193113,680728,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,神兽兑换预留8,1,680708,1,680700,50,,,,,,,680728,0,193112,193113,680728,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,兑换神兽（随机）,1,680700,99,,,,,,,,,,0,193114,193113,680721,100,680722,100,680723,100,680724,100,680725,100,680726,100,680727,100,680728,100,680729,100,680730,100,680731,100,680732,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,兑换珍兽（随机）,1,680700,99,40007,1,,,,,,,,0,193114,193113,690001,100,690002,100,690003,100,690004,100,690005,100,690006,100,690007,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,70级•钨金,1,680001,2,,,,,,,,,680002,0,193115,193116,680002,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,80级•钨金,1,680002,2,,,,,,,,,680003,0,193115,193116,680003,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,90级•钨金,1,680003,2,,,,,,,,,680004,0,193115,193116,680004,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,100级•钨金,1,680004,2,,,,,,,,,680005,0,193115,193116,680005,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,点星锤合成,1,258104,10,,,,,,,,,258103,0,193438,193439,258103,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,65级护腕,1,257002,1,257005,1,,,,,,,,0,193426,193427,219001,100,219002,100,219003,100,219004,100,219005,100,219006,100,219007,100,219008,100,219009,100,219010,100,219011,100,219012,100,219013,100,219014,100,219015,100,219016,100,219017,100,219018,100,219019,100,219020,100,219021,100,219022,100,219023,100,219024,100,219025,100,219026,100,219027,100,219028,100,219029,100,219030,100
71,65级环,1,257002,1,257006,1,,,,,,,,0,193426,193428,219031,100,219032,100,219033,100,219034,100,219035,100,219036,100,219037,100,219038,100,219039,100,219040,100,219041,100,219042,100,219043,100,219044,100,219045,100,219046,100,219047,100,219048,100,219049,100,219050,100,219051,100,219052,100,219053,100,219054,100,219055,100,219056,100,219057,100,219058,100,219059,100,219060,100
72,65级衣甲,1,257002,1,257007,1,,,,,,,,0,193426,193429,219061,100,219062,100,219063,100,219064,100,219065,100,219066,100,219067,100,219068,100,219069,100,219070,100,219071,100,219072,100,219073,100,219074,100,219075,100,219076,100,219077,100,219078,100,219079,100,219080,100,219081,100,219082,100,219083,100,219084,100,219085,100,219086,100,219087,100,219088,100,219089,100,219090,100
73,85级护腕,1,257003,1,257008,1,,,,,,,,0,193426,193430,219091,100,219092,100,219093,100,219094,100,219095,100,219096,100,219097,100,219098,100,219099,100,219100,100,219101,100,219102,100,219103,100,219104,100,219105,100,219106,100,219107,100,219108,100,219109,100,219110,100,219111,100,219112,100,219113,100,219114,100,219115,100,219116,100,219117,100,219118,100,219119,100,219120,100
74,85级环,1,257003,1,257009,1,,,,,,,,0,193426,193431,219121,100,219122,100,219123,100,219124,100,219125,100,219126,100,219127,100,219128,100,219129,100,219130,100,219131,100,219132,100,219133,100,219134,100,219135,100,219136,100,219137,100,219138,100,219139,100,219140,100,219141,100,219142,100,219143,100,219144,100,219145,100,219146,100,219147,100,219148,100,219149,100,219150,100
75,85级衣甲,1,257003,1,257010,1,,,,,,,,0,193426,193432,219151,100,219152,100,219153,100,219154,100,219155,100,219156,100,219157,100,219158,100,219159,100,219160,100,219161,100,219162,100,219163,100,219164,100,219165,100,219166,100,219167,100,219168,100,219169,100,219170,100,219171,100,219172,100,219173,100,219174,100,219175,100,219176,100,219177,100,219178,100,219179,100,219180,100
76,105级护腕,1,257004,1,257011,1,,,,,,,,0,193426,193433,219181,100,219182,100,219183,100,219184,100,219185,100,219186,100,219187,100,219188,100,219189,100,219190,100,219191,100,219192,100,219193,100,219194,100,219195,100,219196,100,219197,100,219198,100,219199,100,219200,100,219201,100,219202,100,219203,100,219204,100,219205,100,219206,100,219207,100,219208,100,219209,100,219210,100
77,105级环,1,257004,1,257012,1,,,,,,,,0,193426,193434,219211,100,219212,100,219213,100,219214,100,219215,100,219216,100,219217,100,219218,100,219219,100,219220,100,219221,100,219222,100,219223,100,219224,100,219225,100,219226,100,219227,100,219228,100,219229,100,219230,100,219231,100,219232,100,219233,100,219234,100,219235,100,219236,100,219237,100,219238,100,219239,100,219240,100
78,105级衣甲,1,257004,1,257013,1,,,,,,,,0,193426,193435,219241,100,219242,100,219243,100,219244,100,219245,100,219246,100,219247,100,219248,100,219249,100,219250,100,219251,100,219252,100,219253,100,219254,100,219255,100,219256,100,219257,100,219258,100,219259,100,219260,100,219261,100,219262,100,219263,100,219264,100,219265,100,219266,100,219267,100,219268,100,219269,100,219270,100
80,低概率炼妖石合成,1,257001,3,,,,,,,,,,0,193436,193437,257002,70,257003,25,257004,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,中概率炼妖石合成,1,257001,5,,,,,,,,,,0,193436,193437,257002,65,257003,25,257004,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,高概率炼妖石合成,1,257001,9,,,,,,,,,,0,193436,193437,257002,40,257003,40,257004,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,周卡库-签到,1,339009,1,,,,,,,,,,0,193541,193542,259002,100,259003,100,259004,100,259005,100,337943,100,680700,100,259304,100,254141,100,600040,100,600041,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,2级•迅敏,1,312000,2,,,,,,,,,312001,0,193301,193401,312001,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,3级•迅敏,1,312001,2,,,,,,,,,312002,0,193301,193401,312002,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,4级•迅敏,1,312002,2,,,,,,,,,312003,0,193301,193401,312003,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,5级•迅敏,1,312003,2,,,,,,,,,312004,0,193301,193401,312004,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,2级•狂怒,1,312005,2,,,,,,,,,312006,0,193302,193402,312006,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,3级•狂怒,1,312006,2,,,,,,,,,312007,0,193302,193402,312007,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,4级•狂怒,1,312007,2,,,,,,,,,312008,0,193302,193402,312008,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,5级•狂怒,1,312008,2,,,,,,,,,312009,0,193302,193402,312009,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,2级•阴伤,1,312010,2,,,,,,,,,312011,0,193303,193403,312011,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,3级•阴伤,1,312011,2,,,,,,,,,312012,0,193303,193403,312012,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,4级•阴伤,1,312012,2,,,,,,,,,312013,0,193303,193403,312013,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,5级•阴伤,1,312013,2,,,,,,,,,312014,0,193303,193403,312014,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,2级•连环,1,312015,2,,,,,,,,,312016,0,193304,193404,312016,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,3级•连环,1,312016,2,,,,,,,,,312017,0,193304,193404,312017,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,4级•连环,1,312017,2,,,,,,,,,312018,0,193304,193404,312018,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,5级•连环,1,312018,2,,,,,,,,,312019,0,193304,193404,312019,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,2级•奇袭,1,312020,2,,,,,,,,,312021,0,193305,193405,312021,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,3级•奇袭,1,312021,2,,,,,,,,,312022,0,193305,193405,312022,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,4级•奇袭,1,312022,2,,,,,,,,,312023,0,193305,193405,312023,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,5级•奇袭,1,312023,2,,,,,,,,,312024,0,193305,193405,312024,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,2级•静岳,1,312025,2,,,,,,,,,312026,0,193306,193406,312026,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,3级•静岳,1,312026,2,,,,,,,,,312027,0,193306,193406,312027,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,4级•静岳,1,312027,2,,,,,,,,,312028,0,193306,193406,312028,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,5级•静岳,1,312028,2,,,,,,,,,312029,0,193306,193406,312029,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,2级•灵光,1,312030,2,,,,,,,,,312031,0,193307,193407,312031,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,3级•灵光,1,312031,2,,,,,,,,,312032,0,193307,193407,312032,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,4级•灵光,1,312032,2,,,,,,,,,312033,0,193307,193407,312033,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,5级•灵光,1,312033,2,,,,,,,,,312034,0,193307,193407,312034,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,2级•灵身,1,312035,2,,,,,,,,,312036,0,193308,193408,312036,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,3级•灵身,1,312036,2,,,,,,,,,312037,0,193308,193408,312037,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,4级•灵身,1,312037,2,,,,,,,,,312038,0,193308,193408,312038,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,5级•灵身,1,312038,2,,,,,,,,,312039,0,193308,193408,312039,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,2级•狙刺,1,312040,2,,,,,,,,,312041,0,193309,193409,312041,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,3级•狙刺,1,312041,2,,,,,,,,,312042,0,193309,193409,312042,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,4级•狙刺,1,312042,2,,,,,,,,,312043,0,193309,193409,312043,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,5级•狙刺,1,312043,2,,,,,,,,,312044,0,193309,193409,312044,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,2级•擅咒,1,312045,2,,,,,,,,,312046,0,193310,193410,312046,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,3级•擅咒,1,312046,2,,,,,,,,,312047,0,193310,193410,312047,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,4级•擅咒,1,312047,2,,,,,,,,,312048,0,193310,193410,312048,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,5级•擅咒,1,312048,2,,,,,,,,,312049,0,193310,193410,312049,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,2级•矫健,1,312050,2,,,,,,,,,312051,0,193311,193411,312051,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,3级•矫健,1,312051,2,,,,,,,,,312052,0,193311,193411,312052,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,4级•矫健,1,312052,2,,,,,,,,,312053,0,193311,193411,312053,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,5级•矫健,1,312053,2,,,,,,,,,312054,0,193311,193411,312054,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,2级•御法,1,312055,2,,,,,,,,,312056,0,193312,193412,312056,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,3级•御法,1,312056,2,,,,,,,,,312057,0,193312,193412,312057,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,4级•御法,1,312057,2,,,,,,,,,312058,0,193312,193412,312058,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,5级•御法,1,312058,2,,,,,,,,,312059,0,193312,193412,312059,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,2级•坚甲,1,312060,2,,,,,,,,,312061,0,193313,193413,312061,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,3级•坚甲,1,312061,2,,,,,,,,,312062,0,193313,193413,312062,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,4级•坚甲,1,312062,2,,,,,,,,,312063,0,193313,193413,312063,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,5级•坚甲,1,312063,2,,,,,,,,,312064,0,193313,193413,312064,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,2级•慧心,1,312065,2,,,,,,,,,312066,0,193314,193414,312066,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,3级•慧心,1,312066,2,,,,,,,,,312067,0,193314,193414,312067,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,4级•慧心,1,312067,2,,,,,,,,,312068,0,193314,193414,312068,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,5级•慧心,1,312068,2,,,,,,,,,312069,0,193314,193414,312069,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,2级•自然,1,312070,2,,,,,,,,,312071,0,193315,193415,312071,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,3级•自然,1,312071,2,,,,,,,,,312072,0,193315,193415,312072,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,4级•自然,1,312072,2,,,,,,,,,312073,0,193315,193415,312073,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,5级•自然,1,312073,2,,,,,,,,,312074,0,193315,193415,312074,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,2级•舍身击,1,312075,2,,,,,,,,,312076,0,193316,193416,312076,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,3级•舍身击,1,312076,2,,,,,,,,,312077,0,193316,193416,312077,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,4级•舍身击,1,312077,2,,,,,,,,,312078,0,193316,193416,312078,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,5级•舍身击,1,312078,2,,,,,,,,,312079,0,193316,193416,312079,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,2级•生死决,1,312080,2,,,,,,,,,312081,0,193317,193417,312081,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,3级•生死决,1,312081,2,,,,,,,,,312082,0,193317,193417,312082,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,4级•生死决,1,312082,2,,,,,,,,,312083,0,193317,193417,312083,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,5级•生死决,1,312083,2,,,,,,,,,312084,0,193317,193417,312084,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,2级•碎甲刃,1,312085,2,,,,,,,,,312086,0,193318,193418,312086,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,3级•碎甲刃,1,312086,2,,,,,,,,,312087,0,193318,193418,312087,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,4级•碎甲刃,1,312087,2,,,,,,,,,312088,0,193318,193418,312088,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,5级•碎甲刃,1,312088,2,,,,,,,,,312089,0,193318,193418,312089,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,2级•摧心浪,1,312090,2,,,,,,,,,312091,0,193319,193419,312091,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,3级•摧心浪,1,312091,2,,,,,,,,,312092,0,193319,193419,312092,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,4级•摧心浪,1,312092,2,,,,,,,,,312093,0,193319,193419,312093,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,5级•摧心浪,1,312093,2,,,,,,,,,312094,0,193319,193419,312094,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,2级•双星爆,1,312095,2,,,,,,,,,312096,0,193320,193420,312096,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,3级•双星爆,1,312096,2,,,,,,,,,312097,0,193320,193420,312097,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,4级•双星爆,1,312097,2,,,,,,,,,312098,0,193320,193420,312098,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,5级•双星爆,1,312098,2,,,,,,,,,312099,0,193320,193420,312099,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,2级•通灵法,1,312100,2,,,,,,,,,312101,0,193321,193421,312101,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,3级•通灵法,1,312101,2,,,,,,,,,312102,0,193321,193421,312102,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
