编号,名称,策划备注（战斗ID用途）,称谓,造型id,随机造型id,显示血量,显示大血条,显示等级,战斗单位类型,怪物类型,特殊类型,职业,类型,大小比例,area1colour,area2colour,是否倒地,对应宠物,颜色几率id,是否绑定,等级模式,NPC等级,怪物匹配最小等级,怪物匹配最大等级,能否捕捉,能否捕捉2,捕捉几率,逃跑几率,免疫状态id,控制几率修正,被控制几率修正,最大生命队伍中最大攻击力系数,进战斗默认连击点,怒气上限,进战斗默认怒气,命中系数,命中常数,最大生命系数,最大魔法系数,物攻系数,物防系数,法攻系数,法防系数,速度系数,治疗强度系数,控制命中系数,控制抗性系数,最大生命常数,最大魔法常数,物攻常数,物防常数,法攻常数,法防常数,速度常数,治疗强度常数,控制命中常数,控制抗性常数,物理暴击系数,物理抗暴系数,物理暴伤系数,法术暴击系数,法术抗暴系数,法术暴伤系数,治疗暴击系数,治疗暴击量系数,物理穿透系数,物理抵抗系数,法术穿透系数,法术抵抗系数,治疗加深系数,被治疗加深系数,控制加成系数,控制免疫系数,物理暴击常数,物理抗暴常数,物理暴伤常数,法术暴击常数,法术抗暴常数,法术暴伤常数,治疗暴击常数,治疗暴击量常数,物理穿透常数,物理抵抗常数,法术穿透常数,法术抵抗常数,治疗加深常数,被治疗加深常数,控制加成常数,控制免疫常数,额外属性1ID,额外属性1数值,额外属性2ID,额外属性2数值,额外属性3ID,额外属性3数值,额外属性4ID,额外属性4数值,额外属性5ID,额外属性5数值,额外属性6ID,额外属性6数值,额外属性7ID,额外属性7数值,额外属性8ID,额外属性8数值,额外属性9ID,额外属性9数值,额外属性10ID,额外属性10数值,反击几率,反击伤害系数,AI编号,技能1编号,技能1出现几率,技能1施放几率,技能1系数,技能1常数,技能2编号,技能2出现几率,技能2施放几率,技能2系数,技能2常数,技能3编号,技能3出现几率,技能3施放几率,技能3系数,技能3常数,技能4编号,技能4出现几率,技能4施放几率,技能4系数,技能4常数,技能5编号,技能5出现几率,技能5施放几率,技能5系数,技能5常数,技能6编号,技能6出现几率,技能6施放几率,技能6系数,技能6常数,技能7编号,技能7出现几率,技能7施放几率,技能7系数,技能7常数,是否远程,种族,当前生命队伍中最大攻击力系数,当前生命系数,当前生命常数,当前魔法系数,当前魔法常数
29410,艾尔索斯,牧师新手战斗,,1011101,,1,,0,5,4,,,4,1.1,0,0,1,0,1,0,4,1,0,150,0,false,0,0,0,0,0,0.0,1,150,150,100.0,100.0,0,0,0,0,0,0,0,0,0,0,7260,240,110,50,88,40,239,27,10,10,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0.6,0.6,0,0,-1000,0,0,-1000,0,0,0,0,0,0,0,0,0,9999,810,0,820,0,,,,,,,,,,,,,,,,,0,0,20063,110001,1000,1000,1,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,,,,,,,0,0,0,0,0,0
29411,艾尔索斯,盗贼新手战斗,,1011101,,1,,0,5,4,,,4,1.1,0,0,1,0,1,0,4,1,0,150,0,false,0,0,0,0,0,0.0,1,150,150,100.0,100.0,0,0,0,0,0,0,0,0,0,0,10260,240,110,50,88,40,239,27,10,10,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0.6,0.6,0,0,-1000,0,0,-1000,0,0,0,0,0,0,0,0,0,9999,810,0,820,0,,,,,,,,,,,,,,,,,0,0,20063,110001,1000,1000,1,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,,,,,,,0,0,0,0,0,0
29412,艾尔索斯,萨满新手战斗,,1011101,,1,,0,5,4,,,4,1.1,0,0,1,0,1,0,4,1,0,150,0,false,0,0,0,0,0,0.0,1,150,150,100.0,100.0,0,0,0,0,0,0,0,0,0,0,8260,240,110,50,88,40,239,27,10,10,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0.6,0.6,0,0,-1000,0,0,-1000,0,0,0,0,0,0,0,0,0,9999,810,0,820,0,,,,,,,,,,,,,,,,,0,0,20063,110001,1000,1000,1,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,,,,,,,0,0,0,0,0,0
29413,艾尔索斯,术士新手战斗,,1011101,,1,,0,5,4,,,4,1.1,0,0,1,0,1,0,4,1,0,150,0,false,0,0,0,0,0,0.0,1,150,150,100.0,100.0,0,0,0,0,0,0,0,0,0,0,7260,240,110,50,88,40,239,27,10,10,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0.6,0.6,0,0,-1000,0,0,-1000,0,0,0,0,0,0,0,0,0,9999,810,0,820,0,,,,,,,,,,,,,,,,,0,0,20063,110001,1000,1000,1,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,,,,,,,0,0,0,0,0,0
29414,九头虫,新手战斗,,1011101,,1,,0,5,2,,,4,1.25,0,0,1,0,1,0,4,1,0,150,0,false,0,0,0,0,0,0.0,1,150,150,100.0,100.0,0,0,0,0,0,0,0,0,0,0,757,240,611,50,291,40,184,26,10,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0.6,0.6,0,0,-1000,0,0,-1000,0,0,0,0,0,0,0,0,0,0,810,0,820,-10,,,,,,,,,,,,,,,,,0,0,16171,180025,1000,1000,1,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,,,,,,,0,0,0,0,0,0
29415,喽啰,新手战斗,,1011101,,1,,0,5,1,,,4,1,0,0,0,0,1,0,4,1,0,150,0,false,0,0,0,0,0,0.0,1,150,150,100.0,100.0,0,0,0,0,0,0,0,0,0,0,1760,240,110,50,88,40,4,27,10,10,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,810,0,820,0,,,,,,,,,,,,,,,,,0,0,16167,150002,1000,1000,1,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,,,,,,,0,0,0,0,0,0
29416,喽啰,新手战斗,,1011101,,1,,0,5,1,,,4,1,0,0,0,0,1,0,4,1,0,150,0,false,0,0,0,0,0,0.0,1,150,150,100.0,100.0,0,0,0,0,0,0,0,0,0,0,1760,240,110,50,88,40,84,27,10,10,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,810,0,820,0,,,,,,,,,,,,,,,,,0,0,16168,150002,1000,1000,1,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,,,,,,,0,0,0,0,0,0
29417,喽啰,新手战斗,,1011101,,1,,0,5,1,,,4,1,0,0,0,0,1,0,4,1,0,150,0,false,0,0,0,0,0,0.0,1,150,150,100.0,100.0,0,0,0,0,0,0,0,0,0,0,1760,240,110,50,88,40,4,27,10,10,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,810,0,820,0,,,,,,,,,,,,,,,,,0,0,16169,150002,1000,1000,1,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,,,,,,,0,0,0,0,0,0
29418,喽啰,新手战斗,,1011101,,1,,0,5,1,,,4,1,0,0,0,0,1,0,4,1,0,150,0,false,0,0,0,0,0,0.0,1,150,150,100.0,100.0,0,0,0,0,0,0,0,0,0,0,1760,240,110,50,88,40,84,27,10,10,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,810,0,820,0,,,,,,,,,,,,,,,,,0,0,16170,150002,1000,1000,1,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,,,,,,,0,0,0,0,0,0
29420,大唐首席弟子,新手战斗大唐官府,,1011101,,1,,0,5,1,,11,4,1,0,0,1,0,1,0,4,1,0,150,0,false,0,0,0,0,0,0.0,1,150,150,100.0,100.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,810,0,820,0,,,,,,,,,,,,,,,,,0,0,20100,110001,1000,1000,1,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,,,,,,,0,0,0,0,0,0
29421,地府首席弟子,新手战斗地府,,1011115,,1,,0,5,1,,14,4,1,0,0,1,0,1,0,4,1,0,150,0,false,0,0,0,0,0,0.0,1,150,150,100.0,100.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,810,0,820,0,,,,,,,,,,,,,,,,,0,0,20101,140001,1000,1000,1,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,,,,,,,0,0,0,0,0,0
29422,龙宫首席弟子,新手战斗龙宫,,1011107,,1,,0,5,1,,15,4,1,0,0,1,0,1,0,4,1,0,150,0,false,0,0,0,0,0,0.0,1,150,150,100.0,100.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,810,0,820,0,,,,,,,,,,,,,,,,,0,0,16545,150001,1000,1000,1,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,,,,,,,0,0,0,0,0,0
29423,普陀首席弟子,新手战斗普陀山,,1011107,,1,,0,5,1,,16,4,1,0,0,1,0,1,0,4,1,0,150,0,false,0,0,0,0,0,0.1,1,150,150,100.0,100.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,810,0,820,0,,,,,,,,,,,,,,,,,0,0,20102,160001,1000,1000,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,,,,,,,0,0,0,0,0,0
29424,魔尊大帝,新手战斗,,1300010,,1,,0,5,4,,,4,1,0,0,1,0,1,0,4,1,0,150,0,false,0,0,0,0,0,0.0,1,150,150,100.0,100.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,810,0,820,0,,,,,,,,,,,,,,,,,0,0,20103,206054,1000,0,1,0.0,183002,1000,1000,1,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,,,,,,,0,0,0,0,0,0
29425,远古战神·上古,新手战斗,,1300010,,1,,0,5,2,,,4,1,0,0,1,0,1,0,4,1,0,150,0,false,0,0,0,0,0,0.0,1,150,150,100.0,100.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,810,0,820,-10,,,,,,,,,,,,,,,,,0,0,16550,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,,,,,,,0,0,0,0,0,0
29426,超级大熊猫,新手战斗,,1200004,,1,,0,5,1,,,4,1,0,0,0,0,1,0,4,1,0,150,0,false,0,0,0,0,0,0.0,1,150,150,100.0,100.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,810,0,820,-10,,,,,,,,,,,,,,,,,0,0,,120001,1000,1000,1,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,,,,,,,0,0,0,0,0,0
29427,超级神鸡,新手战斗,,1200005,,1,,0,5,1,,,4,1,5,0,0,0,1,0,4,1,0,150,0,false,0,0,0,0,0,0.0,1,150,150,100.0,100.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,810,0,820,0,,,,,,,,,,,,,,,,,0,0,,150002,1000,1000,1,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,,,,,,,0,0,0,0,0,0
29428,超级神猴,新手战斗,,1200006,,1,,0,5,1,,,4,0.6,5,0,0,0,1,0,4,1,0,150,0,false,0,0,0,0,0,0.0,1,150,150,100.0,100.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,810,0,820,0,,,,,,,,,,,,,,,,,0,0,,150002,1000,1000,1,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,,,,,,,0,0,0,0,0,0
29429,超级赤焰兽,新手战斗,,1200007,,1,,0,5,1,,,4,0.6,5,0,0,0,1,0,4,1,0,150,0,false,0,0,0,0,0,0.0,1,150,150,100.0,100.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,810,0,820,0,,,,,,,,,,,,,,,,,0,0,,150002,1000,1000,1,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,,,,,,,0,0,0,0,0,0
29430,超级神龙,新手战斗,,1200008,,1,,0,5,1,,,4,1,0,0,0,0,1,0,4,1,0,150,0,false,0,0,0,0,0,0.0,1,150,150,100.0,100.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,810,0,820,0,,,,,,,,,,,,,,,,,0,0,16551,150002,1000,1000,1,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,,,,,,,0,0,0,0,0,0
29431,超级神鼠,新手战斗,,1200009,,1,,0,5,1,,,4,1,0,0,0,0,1,0,4,1,0,150,0,false,0,0,0,0,0,0.0,1,150,150,100.0,100.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,810,0,820,0,,,,,,,,,,,,,,,,,0,0,16551,150002,1000,1000,1,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,,,,,,,0,0,0,0,0,0
29432,超级神虎,新手战斗,,1200010,,1,,0,5,1,,,4,1,0,0,0,0,1,0,4,1,0,150,0,false,0,0,0,0,0,0.0,1,150,150,100.0,100.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,810,0,820,0,,,,,,,,,,,,,,,,,0,0,16551,150002,1000,1000,1,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,,,,,,,0,0,0,0,0,0
29433,超级神猪,新手战斗,,1200011,,1,,0,5,1,,,4,1,0,0,0,0,1,0,4,1,0,150,0,false,0,0,0,0,0,0.0,1,150,150,100.0,100.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,810,0,820,0,,,,,,,,,,,,,,,,,0,0,16551,150002,1000,1000,1,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,,,,,,,0,0,0,0,0,0
29434,超级神牛,新手战斗,,1200012,,1,,0,5,1,,,4,1,0,0,0,0,1,0,4,1,0,150,0,false,0,0,0,0,0,0.0,1,150,150,100.0,100.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,810,0,820,0,,,,,,,,,,,,,,,,,0,0,16551,150002,1000,1000,1,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,,,,,,,0,0,0,0,0,0
