技能id,技能名称,产出级别,产出级别2,装备打造,练功区,降服灵兽,魔法入口,图标编号,主动被动,消耗显示,消耗数量,消耗属性编号,技能描述,目标类型,是否付魔大法显示,附魔大法需求道具id,附魔大法需求道具数量,经脉值
420018,魔兽之印,0,150,0,0,0,0,217,2,消耗：$parameter1$愤怒,120,120,"<T t=""提高己方全体8%物理攻击，持续到战斗结束，同类状态不叠加。""></T>",4127,1,340160,10,
420019,放下屠刀,0,150,0,0,0,0,222,2,消耗：$parameter1$愤怒,30,120,"<T t=""降低敌方单体10%物理攻击，持续到战斗结束，同类状态不叠加。""></T>",480,1,340160,10,
420020,河东狮吼,0,150,0,0,0,0,223,2,消耗：$parameter1$愤怒,120,120,"<T t=""降低敌方全体8%物理攻击，持续到战斗结束，同类状态不叠加。""></T>",480,1,340160,10,
420021,光辉之甲,0,150,0,0,0,0,218,2,消耗：$parameter1$愤怒,40,120,"<T t=""提高己方单体10%物理防御，持续到战斗结束，同类状态不叠加。""></T>",4127,1,340160,10,
420022,圣灵之甲,0,150,0,0,0,0,219,2,消耗：$parameter1$愤怒,80,120,"<T t=""提高己方全体6%物理防御，持续到战斗结束，同类状态不叠加。""></T>",4127,1,340160,10,
420023,破甲术,0,150,0,0,0,0,224,2,消耗：$parameter1$愤怒,35,120,"<T t=""降低敌方单体10%物理防御，持续到战斗结束，同类状态不叠加。""></T>",480,1,340160,10,
420024,碎甲术,0,150,0,0,0,0,225,2,消耗：$parameter1$愤怒,80,120,"<T t=""降低敌方全体6%物理防御，持续到战斗结束，同类状态不叠加。""></T>",480,1,340160,10,
420025,流云诀,0,150,0,0,0,0,228,2,消耗：$parameter1$愤怒,40,120,"<T t=""提高己方单体10%速度，次回合生效，持续到战斗结束，同类状态不叠加。""></T>",4127,1,340160,10,
420026,啸风诀,0,150,0,0,0,0,229,2,消耗：$parameter1$愤怒,80,120,"<T t=""提高己方全体6%速度，次回合生效，持续到战斗结束，同类状态不叠加。""></T>",4127,1,340160,10,
420027,凝滞术,0,150,0,0,0,0,226,2,消耗：$parameter1$愤怒,40,120,"<T t=""降低对方单体10%速度，次回合生效，持续到战斗结束，同类状态不叠加。""></T>",480,1,340160,10,
420028,停陷术,0,150,0,0,0,0,227,2,消耗：$parameter1$愤怒,80,120,"<T t=""降低对方全体6%速度，次回合生效，持续到战斗结束，同类状态不叠加。""></T>",480,1,340160,10,
420029,太极护法,0,150,0,0,0,0,220,2,消耗：$parameter1$愤怒,60,120,"<T t=""使己方单体受到的法术伤害减少50%,持续3回合，同类状态不叠加。""></T>",4127,1,340160,10,
420030,罗汉金钟,0,150,0,0,0,0,221,2,消耗：$parameter1$愤怒,150,120,"<T t=""使己方全体受到的法术伤害减少50%，持续3回合，同类状态不叠加。""></T>",4127,1,340160,10,
420031,破血狂攻,0,150,0,0,0,0,230,2,消耗：$parameter1$愤怒,80,120,"<T t=""对敌方单体连续发动两次强力物理攻击，不可被防御。""></T>",480,1,340160,10,
420032,弱点击破,0,150,0,0,0,0,231,2,消耗：$parameter1$愤怒,50,120,"<T t=""临时提高伤害力绕到敌方身后攻击对手，适用于对付高防御者。""></T>",480,1,340160,10,
420033,破碎无双,0,150,0,0,0,0,232,2,消耗：$parameter1$愤怒,80,120,"<T t=""物理攻击敌方单体，同时减少敌方魔法值。""></T>",480,1,340160,10,
420034,盘古之力,0,150,0,0,0,0,216,2,消耗：$parameter1$愤怒,100,120,"<T t=""提高己方单体25%物理攻击，持续到5回合，同类状态不叠加。""></T>",4127,1,340160,10,
420035,女娲玄力,0,150,0,0,0,0,217,2,消耗：$parameter1$愤怒,100,120,"<T t=""提高己方全体100%法术攻击，持续5回合，同类状态不叠加。""></T>",4127,1,340160,10,
420036,盘古意志,0,150,0,0,0,0,216,2,消耗：$parameter1$愤怒,150,120,"<T t=""提高己方单体50%物理暴击，持续7回合，同类状态不叠加。""></T>",4127,1,340160,10,
420037,女娲神识,0,150,0,0,0,0,217,2,消耗：$parameter1$愤怒,150,120,"<T t=""提高己方全体80%法术攻击，持续7回合，同类状态不叠加。""></T>",4127,1,340160,10,
430001,物理暴击+1%,0,150,0,0,0,0,342,1,,,-1,"<T t=""提升人物物理暴击1%（面板体现+10）""></T>",1,1,340160,10,
430002,物理抗暴+1%,0,150,0,0,0,0,342,1,,,-1,"<T t=""提升人物物理暴抗1%（面板体现+10）""></T>",1,1,340160,10,
430003,法术暴击+1%,0,150,0,0,0,0,342,1,,,-1,"<T t=""提升人物法术暴击1%（面板体现+10）""></T>",1,1,340160,10,
430004,法术抗暴+1%,0,150,0,0,0,0,342,1,,,-1,"<T t=""提升人物法术暴抗1%（面板体现+10）""></T>",1,1,340160,10,
430005,封印命中+1%,0,150,0,0,0,0,342,1,,,-1,"<T t=""提升人物封印命中1%""></T>",1,1,340160,10,
430006,封印抵抗+1%,0,150,0,0,0,0,342,1,,,-1,"<T t=""提升人物封印抵抗1%""></T>",1,1,340160,10,
430007,忽视物防+1%,0,150,0,0,0,0,342,1,,,-1,"<T t=""忽视敌方物理防御1%""></T>",1,1,340160,10,
430008,忽视法防+1%,0,150,0,0,0,0,342,1,,,-1,"<T t=""忽视敌方法术防御1%""></T>",1,1,340160,10,
430009,法术连击+1%,0,150,0,0,0,0,342,1,,,-1,"<T t=""增加人物法术连击概率1%""></T>",1,1,340160,10,
430010,治疗暴击+1%,0,150,0,0,0,0,342,1,,,-1,"<T t=""增加人物治疗暴击1%""></T>",1,1,340160,10,
430011,物理暴击+2%,0,150,0,0,0,0,342,1,,,-1,"<T t=""提升人物物理暴击2%（面板体现+20）""></T>",1,1,340160,10,
430012,物理抗暴+2%,0,150,0,0,0,0,342,1,,,-1,"<T t=""提升人物物理暴抗2%（面板体现+20）""></T>",1,1,340160,10,
430013,法术暴击+2%,0,150,0,0,0,0,342,1,,,-1,"<T t=""提升人物法术暴击2%（面板体现+20）""></T>",1,1,340160,10,
430014,法术抗暴+2%,0,150,0,0,0,0,342,1,,,-1,"<T t=""提升人物法术暴抗2%（面板体现+20）""></T>",1,1,340160,10,
430015,封印命中+2%,0,150,0,0,0,0,342,1,,,-1,"<T t=""提升人物封印命中2%""></T>",1,1,340160,10,
430016,封印抵抗+2%,0,150,0,0,0,0,342,1,,,-1,"<T t=""提升人物封印抵抗2%""></T>",1,1,340160,10,
430017,忽视物防+2%,0,150,0,0,0,0,342,1,,,-1,"<T t=""忽视敌方物理防御2%""></T>",1,1,340160,10,
430018,忽视法防+2%,0,150,0,0,0,0,342,1,,,-1,"<T t=""忽视敌方法术防御2%""></T>",1,1,340160,10,
430019,法术连击+2%,0,150,0,0,0,0,342,1,,,-1,"<T t=""增加人物法术连击概率2%""></T>",1,1,340160,10,
430020,治疗暴击+2%,0,150,0,0,0,0,342,1,,,-1,"<T t=""增加人物治疗暴击2%""></T>",1,1,340160,10,
430025,愤怒,0,150,0,0,0,0,342,1,,,-1,"<T t=""战斗中消耗的愤怒下降20%。""></T>",1,1,340160,10,
430026,暴怒,0,150,0,0,0,0,343,1,,,-1,"<T t=""战斗中受到伤害转化的怒气值增加20%。""></T>",1,1,340160,10,
430027,神佑,0,150,0,0,0,0,344,1,,,-1,"<T t=""战斗中死亡时有3%概率触发涅槃效果，自动复活并回复一定生命。""></T>",1,1,340160,10,
430028,神农,0,150,0,0,0,0,345,1,,,-1,"<T t=""战斗中使用物品效果增加20%。""></T>",1,1,340160,10,
430029,再生,0,150,0,0,0,0,346,1,,,-1,"<T t=""每回合结束时回复少量生命。""></T>",1,1,340160,10,
430030,专注,0,150,0,0,0,0,347,1,,,-1,"<T t=""施法时有15%概率不消耗魔法。""></T>",1,1,340160,10,
430031,斩杀,0,150,0,0,0,0,348,1,,,-1,"<T t=""PVE战斗攻击濒死（30%以下生命）的怪物时，暴击率临时提升25%。""></T>",1,1,340160,10,
430032,迷踪,0,150,0,0,0,0,346,1,,,-1,"<T t=""逃跑几率提升到100%。""></T>",1,1,340160,10,
430033,狩猎,0,150,0,0,0,0,377,1,,,-1,"<T t=""捕捉宝宝时成功率提升20%。""></T>",1,1,340160,10,
430034,简易,0,150,0,0,0,0,346,1,,,-1,"<T t=""玩家等级低于该装备等级5级以内，也可以穿戴此装备。""></T>",1,1,340160,10,
430035,无级别限,0,150,0,0,0,0,347,1,,,-1,"<T t=""该装备穿戴时没有角色等级要求。""></T>",1,1,340160,10,
430036,感知,0,150,0,0,0,0,380,1,,,-1,"<T t=""能探知隐身单位并直接对其发起攻击。""></T>",1,1,340160,10,
430158,反震,0,150,0,0,0,0,128,1,,,-1,"<T t=""受到物理攻击时有33%概率进行反弹，反弹伤害结果等于自己受到伤害的25%。""></T>",1,1,340160,10,
430159,偷袭,0,150,0,0,0,0,128,1,,,-1,"<T t=""物理攻击不会受到反击和反弹，并提高6%的物理伤害结果。""></T>",1,1,340160,10,
430163,反击,0,150,0,0,0,0,128,1,,,-1,"<T t=""受到普通物理攻击时有10%概率自动反击，反击的伤害是正常伤害的75%。""></T>",1,1,340160,10,
430164,驱鬼,0,150,0,0,0,0,128,1,,,-1,"<T t=""对敌方拥有鬼魂术单位的物理、法术伤害效果增加50%，并能将其打飞出场外。""></T>",1,1,340160,10,
430165,天神下凡,0,150,0,0,0,0,832,1,,,-1,"<T t=""战斗中死亡时有25%概率复活并回复一定生命。""></T>",1,1,340160,10,
430166,钢铁之躯,0,150,0,0,0,0,832,1,,,-1,"<T t=""物理防御+5%""></T>",1,1,340160,10,
430167,血海无量,0,150,0,0,0,0,832,1,,,-1,"<T t=""生命+10%""></T>",1,1,340160,10,
430168,兔子快跑,0,150,0,0,0,0,832,1,,,-1,"<T t=""速度+5%""></T>",1,1,340160,10,
430169,法力无边,0,150,0,0,0,0,832,1,,,-1,"<T t=""法术防御+5%""></T>",1,1,340160,10,
532001,临兵,0,150,0,0,0,0,2760,1,,,-1,增加自身物理伤害,1,1,340160,10,0.000000
532002,行神,0,150,0,0,0,0,2761,1,,,-1,增加自身法术防御,1,1,340160,10,0.000000
532003,将魂,0,150,0,0,0,0,2762,1,,,-1,如果队伍中只有一个大唐时，横扫千军增加物理伤害,1,1,340160,10,0.000000
532004,行气,0,150,0,0,0,0,2763,1,,,-1,自身气血越低，物理攻击附加的伤害越高,1,1,340160,10,0.000000
532005,朔风,0,150,0,0,0,0,2764,1,,,-1,增加自身体质属性,1,1,340160,10,0.000000
532006,追云,0,150,0,0,0,0,2767,1,,,-1,增加自身敏捷属性点,1,1,340160,10,0.000000
532007,惊鸿,0,150,0,0,0,0,2769,1,,,-1,通过物理技能每击败一个单位增加一层惊鸿增益状态，每层增加物理暴击，死亡则层数清空，每回合最多增加1层,1,1,340160,10,0.000000
532008,凌尘,0,150,0,0,0,0,2770,1,,,-1,横扫千军击败召唤灵时，降低其神佑复生概率。,1,1,340160,10,0.000000
532009,破势,0,150,0,0,0,0,2768,1,,,-1,破釜沉舟的伤害结果衰减降低,1,1,340160,10,0.000000
532010,杀伐,0,150,0,0,0,0,2775,1,,,-1,使用单刀直入时，临时提升物理伤害,1,1,340160,10,0.000000
532011,重挫,0,150,0,0,0,0,2776,1,,,-1,单刀直入造成的重伤的每回合额外增加扣除目标气血,1,1,340160,10,0.000000
532012,意冲九霄,0,150,0,0,0,0,2779,1,,,-1,物理攻击+5%,1,1,340160,10,0.000000
532101,临兵,0,150,0,0,0,0,2760,1,,,-1,增加自身物理伤害,1,1,340160,10,0.000000
532102,行神,0,150,0,0,0,0,2761,1,,,-1,增加自身法术防御,1,1,340160,10,0.000000
532103,将魂,0,150,0,0,0,0,2762,1,,,-1,如果队伍中只有一个大唐时，横扫千军增加物理伤害,1,1,340160,10,0.000000
532104,行气,0,150,0,0,0,0,2763,1,,,-1,自身气血越低，物理攻击附加的伤害越高,1,1,340160,10,0.000000
532105,朔风,0,150,0,0,0,0,2764,1,,,-1,增加自身体质属性,1,1,340160,10,0.000000
532106,追云,0,150,0,0,0,0,2767,1,,,-1,增加自身敏捷属性点,1,1,340160,10,0.000000
532107,破势,0,150,0,0,0,0,2768,1,,,-1,破釜沉舟的伤害结果衰减降低,1,1,340160,10,0.000000
532108,战意,0,150,0,0,0,0,2771,1,,,-1,过物理技能每击败一个单位增加一层战意增益状态，每层忽视目标物理防御，死亡则层数清空，每回合最多增加1层,1,1,340160,10,0.000000
532109,弑神,0,150,0,0,0,0,2772,1,,,-1,处于杀气诀状态，额外忽视目标一定比例的物理防御,1,1,340160,10,0.000000
532110,杀伐,0,150,0,0,0,0,2775,1,,,-1,使用单刀直入时，临时提升物理伤害,1,1,340160,10,0.000000
532111,重挫,0,150,0,0,0,0,2776,1,,,-1,单刀直入造成的重伤的每回合额外增加扣除目标气血,1,1,340160,10,0.000000
532112,意冲九霄,0,150,0,0,0,0,2779,1,,,-1,物理攻击+5%,1,1,340160,10,0.000000
532201,临兵,0,150,0,0,0,0,2760,1,,,-1,增加自身物理伤害,1,1,340160,10,0.000000
532202,行神,0,150,0,0,0,0,2761,1,,,-1,增加自身法术防御,1,1,340160,10,0.000000
532203,将魂,0,150,0,0,0,0,2762,1,,,-1,如果队伍中只有一个大唐时，横扫千军增加物理伤害,1,1,340160,10,0.000000
532204,行气,0,150,0,0,0,0,2763,1,,,-1,自身气血越低，物理攻击附加的伤害越高,1,1,340160,10,0.000000
532205,朔风,0,150,0,0,0,0,2764,1,,,-1,增加自身体质属性,1,1,340160,10,0.000000
532206,无锋,0,150,0,0,0,0,2765,1,,,-1,增加自身耐力属性点,1,1,340160,10,0.000000
532207,翩鸿,0,150,0,0,0,0,2766,1,,,-1,翩鸿一击持续回合增加1,1,1,340160,10,0.000000
532208,狂戈,0,150,0,0,0,0,2773,1,,,-1,通过物理技能每击败一个单位增加一层狂戈增益状态，每层增加物理伤害结果，死亡则层数清空，每回合最多增加1层,1,1,340160,10,0.000000
532209,蓄势,0,150,0,0,0,0,2774,1,,,-1,后发制人状态下如果有护盾存在且血量低于50%时，可以破除护盾发动横扫千军,1,1,340160,10,0.000000
532210,越阵,0,150,0,0,0,0,2777,1,,,-1,使用特技、万剑归一忽视目标一定物理防御,1,1,340160,10,0.000000
532211,冲冠,0,150,0,0,0,0,2778,1,,,-1,使用特技、万剑归一击败目标，获得一定愤怒值,1,1,340160,10,0.000000
532212,气吞山河,0,150,0,0,0,0,2780,1,,,-1,物理防御+5%,1,1,340160,10,0.000000
532301,临兵,0,150,0,0,0,0,2760,1,,,-1,增加自身物理伤害,1,1,340160,10,0.000000
532302,行神,0,150,0,0,0,0,2761,1,,,-1,增加自身法术防御,1,1,340160,10,0.000000
532303,将魂,0,150,0,0,0,0,2762,1,,,-1,如果队伍中只有一个大唐时，横扫千军增加物理伤害,1,1,340160,10,0.000000
532304,行气,0,150,0,0,0,0,2763,1,,,-1,自身气血越低，物理攻击附加的伤害越高,1,1,340160,10,0.000000
532305,朔风,0,150,0,0,0,0,2764,1,,,-1,增加自身体质属性,1,1,340160,10,0.000000
532306,追云,0,150,0,0,0,0,2767,1,,,-1,增加自身敏捷属性点,1,1,340160,10,0.000000
532307,破势,0,150,0,0,0,0,2768,1,,,-1,破釜沉舟的伤害结果衰减降低,1,1,340160,10,0.000000
532308,战意,0,150,0,0,0,0,2771,1,,,-1,过物理技能每击败一个单位增加一层战意增益状态，每层忽视目标物理防御，死亡则层数清空，每回合最多增加1层,1,1,340160,10,0.000000
532309,弑神,0,150,0,0,0,0,2772,1,,,-1,处于杀气诀状态，额外忽视目标一定比例的物理防御,1,1,340160,10,0.000000
532310,越阵,0,150,0,0,0,0,2777,1,,,-1,使用特技、万剑归一忽视目标一定物理防御,1,1,340160,10,0.000000
532311,冲冠,0,150,0,0,0,0,2778,1,,,-1,使用特技、万剑归一击败目标，获得一定愤怒值,1,1,340160,10,0.000000
532312,气吞山河,0,150,0,0,0,0,2780,1,,,-1,物理防御+5%,1,1,340160,10,0.000000
532400,韬略,0,150,0,0,0,0,2781,1,,,-1,增加自身法术防御。,1,1,340160,10,0.000000
532401,行一,0,150,0,0,0,0,2783,1,,,-1,增加自身物理伤害。,1,1,340160,10,0.000000
532402,必退,0,150,0,0,0,0,2785,1,,,-1,自身受到召唤灵的物理伤害结果降低。,1,1,340160,10,0.000000
532403,兵者勇,0,150,0,0,0,0,2787,1,,,-1,全属性+3%,1,1,340160,10,0.000000
532404,藏兵,0,150,0,0,0,0,2782,1,,,-1,增加自身物理防御。,1,1,340160,10,0.000000
532405,伐崇,0,150,0,0,0,0,2784,1,,,-1,增加自身速度。,1,1,340160,10,0.000000
532406,祈胜,0,150,0,0,0,0,2786,1,,,-1,自身受到召唤灵的法术伤害结果降低。,1,1,340160,10,0.000000
532407,武者圣,0,150,0,0,0,0,2788,1,,,-1,全属性+3%,1,1,340160,10,0.000000
533001,灵山,0,150,0,0,0,0,2789,1,,,-1,自身气血高于50%时，减免受到的物理伤害结果,1,1,340160,10,0.000000
533002,朝晖,0,150,0,0,0,0,2790,1,,,-1,增加自身法术防御,1,1,340160,10,0.000000
533003,鼎峰,0,150,0,0,0,0,2791,1,,,-1,如果队伍中只有一个方寸时，失心符命中率提升,1,1,340160,10,0.000000
533004,顽石,0,150,0,0,0,0,2792,1,,,-1,自身处于被封印状态时，临时额外物理防御,1,1,340160,10,0.000000
533005,辟邪,0,150,0,0,0,0,2793,1,,,-1,增加当前穿戴武器法术伤害相关的封印命中,1,1,340160,10,0.000000
533006,飞鸟,0,150,0,0,0,0,2796,1,,,-1,增加自身敏捷属性点,1,1,340160,10,0.000000
533007,风翼,0,150,0,0,0,0,2797,1,,,-1,增加自身体质属性点,1,1,340160,10,0.000000
533008,幻月,0,150,0,0,0,0,2800,1,,,-1,增加自身物理防御,1,1,340160,10,0.000000
533009,寒蝉,0,150,0,0,0,0,2801,1,,,-1,处于失忆符封印状态的目标额外降低抵抗封印,1,1,340160,10,0.000000
533010,回生,0,150,0,0,0,0,2804,1,,,-1,自身死亡倒地后，有概率在回合结束后复活并获得部分最大气血，每场战斗限触发1次,1,1,340160,10,0.000000
533011,追思,0,150,0,0,0,0,2805,1,,,-1,使用基础愤怒消耗&gt;=135的特技后，获得愤怒值,1,1,340160,10,0.000000
533012,光风霁月,0,150,0,0,0,0,2808,1,,,-1,封印命中+5%,1,1,340160,10,0.000000
533101,灵山,0,150,0,0,0,0,2789,1,,,-1,自身气血高于50%时，减免受到的物理伤害结果,1,1,340160,10,0.000000
533102,朝晖,0,150,0,0,0,0,2790,1,,,-1,增加自身法术防御,1,1,340160,10,0.000000
533103,鼎峰,0,150,0,0,0,0,2791,1,,,-1,如果队伍中只有一个方寸时，失心符命中率提升,1,1,340160,10,0.000000
533104,顽石,0,150,0,0,0,0,2792,1,,,-1,自身处于被封印状态时，临时额外物理防御,1,1,340160,10,0.000000
533105,辟邪,0,150,0,0,0,0,2793,1,,,-1,增加当前穿戴武器法术伤害相关的封印命中,1,1,340160,10,0.000000
533106,飞鸟,0,150,0,0,0,0,2796,1,,,-1,增加自身敏捷属性点,1,1,340160,10,0.000000
533107,风翼,0,150,0,0,0,0,2797,1,,,-1,增加自身体质属性点,1,1,340160,10,0.000000
533108,轻影,0,150,0,0,0,0,2802,1,,,-1,增加自身物理防御,1,1,340160,10,0.000000
533109,虚幻,0,150,0,0,0,0,2803,1,,,-1,虚幻咒状态持续期间，减免受到的法术伤害结果,1,1,340160,10,0.000000
533110,回生,0,150,0,0,0,0,2804,1,,,-1,自身死亡倒地后，有概率在回合结束后复活并获得部分最大气血，每场战斗限触发1次,1,1,340160,10,0.000000
533111,追思,0,150,0,0,0,0,2805,1,,,-1,使用基础愤怒消耗&gt;=135的特技后，获得愤怒值,1,1,340160,10,0.000000
533112,光风霁月,0,150,0,0,0,0,2808,1,,,-1,封印命中+5%,1,1,340160,10,0.000000
533201,灵山,0,150,0,0,0,0,2789,1,,,-1,自身气血高于50%时，减免受到的物理伤害结果,1,1,340160,10,0.000000
533202,朝晖,0,150,0,0,0,0,2790,1,,,-1,增加自身法术防御,1,1,340160,10,0.000000
533203,鼎峰,0,150,0,0,0,0,2791,1,,,-1,如果队伍中只有一个方寸时，失心符命中率提升,1,1,340160,10,0.000000
533204,顽石,0,150,0,0,0,0,2792,1,,,-1,自身处于被封印状态时，临时额外物理防御,1,1,340160,10,0.000000
533205,辟邪,0,150,0,0,0,0,2793,1,,,-1,增加当前穿戴武器法术伤害相关的封印命中,1,1,340160,10,0.000000
533206,暝石,0,150,0,0,0,0,2794,1,,,-1,增加自身魔力属性点,1,1,340160,10,0.000000
533207,灵慧,0,150,0,0,0,0,2795,1,,,-1,佩戴附灵玉时，战斗中两仪属性效果临时增加,1,1,340160,10,0.000000
533208,雷行,0,150,0,0,0,0,2798,1,,,-1,增加自身法术伤害,1,1,340160,10,0.000000
533209,雷厉,0,150,0,0,0,0,2799,1,,,-1,五雷咒造成封印，则有概率追加一次五雷咒，优先选择尚未被封印单位，伤害结果、触发概率依次减半,1,1,340160,10,0.000000
533210,雷霆,0,150,0,0,0,0,2806,1,,,-1,使用单体封印技能后，临时增加法术伤害，持续3回合,1,1,340160,10,0.000000
533211,惊雷,0,150,0,0,0,0,2807,1,,,-1,五雷咒目标上限限定为3个，释放五雷咒时额外提升法术伤害结果,1,1,340160,10,0.000000
533212,运转乾坤,0,150,0,0,0,0,2809,1,,,-1,速度+5%,1,1,340160,10,0.000000
533301,灵山,0,150,0,0,0,0,2789,1,,,-1,自身气血高于50%时，减免受到的物理伤害结果,1,1,340160,10,0.000000
533302,朝晖,0,150,0,0,0,0,2790,1,,,-1,增加自身法术防御,1,1,340160,10,0.000000
533303,鼎峰,0,150,0,0,0,0,2791,1,,,-1,如果队伍中只有一个方寸时，失心符命中率提升,1,1,340160,10,0.000000
533304,顽石,0,150,0,0,0,0,2792,1,,,-1,自身处于被封印状态时，临时额外物理防御,1,1,340160,10,0.000000
533305,辟邪,0,150,0,0,0,0,2793,1,,,-1,增加当前穿戴武器法术伤害相关的封印命中,1,1,340160,10,0.000000
533306,飞鸟,0,150,0,0,0,0,2796,1,,,-1,增加自身敏捷属性点,1,1,340160,10,0.000000
533307,风翼,0,150,0,0,0,0,2797,1,,,-1,增加自身气血属性点,1,1,340160,10,0.000000
533308,幻月,0,150,0,0,0,0,2800,1,,,-1,增加自身物理防御,1,1,340160,10,0.000000
533309,寒蝉,0,150,0,0,0,0,2801,1,,,-1,处于失忆符封印状态的目标额外降低抵抗封印,1,1,340160,10,0.000000
533310,雷霆,0,150,0,0,0,0,2806,1,,,-1,使用单体封印技能后，临时增加法术伤害，持续3回合,1,1,340160,10,0.000000
533311,惊雷,0,150,0,0,0,0,2807,1,,,-1,五雷咒目标上限限定为3个，释放五雷咒时额外提升法术伤害结果,1,1,340160,10,0.000000
533312,运转乾坤,0,150,0,0,0,0,2809,1,,,-1,速度+5%,1,1,340160,10,0.000000
533400,法生,0,150,0,0,0,0,2810,1,,,-1,增加自身法术防御。,1,1,340160,10,0.000000
533401,翩然,0,150,0,0,0,0,2812,1,,,-1,增加自身物理伤害。,1,1,340160,10,0.000000
533402,不工,0,150,0,0,0,0,2814,1,,,-1,自身受到召唤灵的物理伤害结果降低。,1,1,340160,10,0.000000
533403,聚万灵,0,150,0,0,0,0,2816,1,,,-1,全属性+3%,1,1,340160,10,0.000000
533404,济柔,0,150,0,0,0,0,2811,1,,,-1,增加自身物理防御。,1,1,340160,10,0.000000
533405,逍遥,0,150,0,0,0,0,2813,1,,,-1,增加自身速度。,1,1,340160,10,0.000000
533406,藏锋,0,150,0,0,0,0,2815,1,,,-1,自身受到召唤灵的法术伤害结果降低。,1,1,340160,10,0.000000
533407,慑四方,0,150,0,0,0,0,2817,1,,,-1,全属性+3%,1,1,340160,10,0.000000
534001,狮心,0,150,0,0,0,0,2818,1,,,-1,变身状态下，额外忽视目标物理防御,1,1,340160,10,0.000000
534002,腾云,0,150,0,0,0,0,2819,1,,,-1,增加自身法术防御,1,1,340160,10,0.000000
534003,兽王,0,150,0,0,0,0,2820,1,,,-1,如果队伍中只有一个狮驼时，鹰击额外增加物理伤害,1,1,340160,10,0.000000
534004,捕风,0,150,0,0,0,0,2821,1,,,-1,增加自身物理防御,1,1,340160,10,0.000000
534005,狮魂,0,150,0,0,0,0,2822,1,,,-1,鹰击出手时，如果目标不足6个，则额外增加伤害结果，队伍中每多一个狮驼岭则减弱部分该加成,1,1,340160,10,0.000000
534006,劈山,0,150,0,0,0,0,2825,1,,,-1,增加自身力量属性点,1,1,340160,10,0.000000
534007,嗜血,0,150,0,0,0,0,2826,1,,,-1,有概率吸取造成物理伤害结果的3%作为自身气血回复,1,1,340160,10,0.000000
