"道具id","消耗货币类型","消耗货币数量","可转换道具1id","可转换道具2id","可转换道具3id","可转换道具4id","可转换道具5id","可转换道具6id","可转换道具7id","可转换道具8id","可转换道具9id","可转换道具10id","可转换道具11id","可转换道具12id","可转换道具13id","可转换道具14id","可转换道具15id","可转换道具16id","可转换道具17id",""
"6070102","2","50000","6070101","6070102","6070103","6070104","6070105","6070106","6070107","6070108","6070109","6070110","6070111","6070112","6070113","6070114","6070115","6070116","6070117",""
"6070103","2","50000","6070101","6070102","6070103","6070104","6070105","6070106","6070107","6070108","6070109","6070110","6070111","6070112","6070113","6070114","6070115","6070116","6070117",""
"6070104","2","50000","6070101","6070102","6070103","6070104","6070105","6070106","6070107","6070108","6070109","6070110","6070111","6070112","6070113","6070114","6070115","6070116","6070117",""
"6070105","2","50000","6070101","6070102","6070103","6070104","6070105","6070106","6070107","6070108","6070109","6070110","6070111","6070112","6070113","6070114","6070115","6070116","6070117",""
"6070106","2","50000","6070101","6070102","6070103","6070104","6070105","6070106","6070107","6070108","6070109","6070110","6070111","6070112","6070113","6070114","6070115","6070116","6070117",""
"6070107","2","50000","6070101","6070102","6070103","6070104","6070105","6070106","6070107","6070108","6070109","6070110","6070111","6070112","6070113","6070114","6070115","6070116","6070117",""
"6070108","2","50000","6070101","6070102","6070103","6070104","6070105","6070106","6070107","6070108","6070109","6070110","6070111","6070112","6070113","6070114","6070115","6070116","6070117",""
"6070109","2","50000","6070101","6070102","6070103","6070104","6070105","6070106","6070107","6070108","6070109","6070110","6070111","6070112","6070113","6070114","6070115","6070116","6070117",""
"6070110","2","50000","6070101","6070102","6070103","6070104","6070105","6070106","6070107","6070108","6070109","6070110","6070111","6070112","6070113","6070114","6070115","6070116","6070117",""
"6070111","2","50000","6070101","6070102","6070103","6070104","6070105","6070106","6070107","6070108","6070109","6070110","6070111","6070112","6070113","6070114","6070115","6070116","6070117",""
"6070112","2","50000","6070101","6070102","6070103","6070104","6070105","6070106","6070107","6070108","6070109","6070110","6070111","6070112","6070113","6070114","6070115","6070116","6070117",""
"6070113","2","50000","6070101","6070102","6070103","6070104","6070105","6070106","6070107","6070108","6070109","6070110","6070111","6070112","6070113","6070114","6070115","6070116","6070117",""
"6070114","2","50000","6070101","6070102","6070103","6070104","6070105","6070106","6070107","6070108","6070109","6070110","6070111","6070112","6070113","6070114","6070115","6070116","6070117",""
"6070115","2","50000","6070101","6070102","6070103","6070104","6070105","6070106","6070107","6070108","6070109","6070110","6070111","6070112","6070113","6070114","6070115","6070116","6070117",""
"6070116","2","50000","6070101","6070102","6070103","6070104","6070105","6070106","6070107","6070108","6070109","6070110","6070111","6070112","6070113","6070114","6070115","6070116","6070117",""
"6070117","2","50000","6070101","6070102","6070103","6070104","6070105","6070106","6070107","6070108","6070109","6070110","6070111","6070112","6070113","6070114","6070115","6070116","6070117",""
"6080101","2","99999","6080101","6080102","6080103","6080104","6080105","6080106","6080107","6080108","6080109","6080110","6080111","6080112","6080113","6080114","6080115","6080116","6080117",""
"6080102","2","99999","6080101","6080102","6080103","6080104","6080105","6080106","6080107","6080108","6080109","6080110","6080111","6080112","6080113","6080114","6080115","6080116","6080117",""
"6080103","2","99999","6080101","6080102","6080103","6080104","6080105","6080106","6080107","6080108","6080109","6080110","6080111","6080112","6080113","6080114","6080115","6080116","6080117",""
"6080104","2","99999","6080101","6080102","6080103","6080104","6080105","6080106","6080107","6080108","6080109","6080110","6080111","6080112","6080113","6080114","6080115","6080116","6080117",""
"6080105","2","99999","6080101","6080102","6080103","6080104","6080105","6080106","6080107","6080108","6080109","6080110","6080111","6080112","6080113","6080114","6080115","6080116","6080117",""
"6080106","2","99999","6080101","6080102","6080103","6080104","6080105","6080106","6080107","6080108","6080109","6080110","6080111","6080112","6080113","6080114","6080115","6080116","6080117",""
"6080107","2","99999","6080101","6080102","6080103","6080104","6080105","6080106","6080107","6080108","6080109","6080110","6080111","6080112","6080113","6080114","6080115","6080116","6080117",""
"6080108","2","99999","6080101","6080102","6080103","6080104","6080105","6080106","6080107","6080108","6080109","6080110","6080111","6080112","6080113","6080114","6080115","6080116","6080117",""
"6080109","2","99999","6080101","6080102","6080103","6080104","6080105","6080106","6080107","6080108","6080109","6080110","6080111","6080112","6080113","6080114","6080115","6080116","6080117",""
"6080110","2","99999","6080101","6080102","6080103","6080104","6080105","6080106","6080107","6080108","6080109","6080110","6080111","6080112","6080113","6080114","6080115","6080116","6080117",""
"6080111","2","99999","6080101","6080102","6080103","6080104","6080105","6080106","6080107","6080108","6080109","6080110","6080111","6080112","6080113","6080114","6080115","6080116","6080117",""
"6080112","2","99999","6080101","6080102","6080103","6080104","6080105","6080106","6080107","6080108","6080109","6080110","6080111","6080112","6080113","6080114","6080115","6080116","6080117",""
"6080113","2","99999","6080101","6080102","6080103","6080104","6080105","6080106","6080107","6080108","6080109","6080110","6080111","6080112","6080113","6080114","6080115","6080116","6080117",""
"6080114","2","99999","6080101","6080102","6080103","6080104","6080105","6080106","6080107","6080108","6080109","6080110","6080111","6080112","6080113","6080114","6080115","6080116","6080117",""
"6080115","2","99999","6080101","6080102","6080103","6080104","6080105","6080106","6080107","6080108","6080109","6080110","6080111","6080112","6080113","6080114","6080115","6080116","6080117",""
"6080116","2","99999","6080101","6080102","6080103","6080104","6080105","6080106","6080107","6080108","6080109","6080110","6080111","6080112","6080113","6080114","6080115","6080116","6080117",""
"6080117","2","99999","6080101","6080102","6080103","6080104","6080105","6080106","6080107","6080108","6080109","6080110","6080111","6080112","6080113","6080114","6080115","6080116","6080117",""
"6090101","2","155555","6090101","6090102","6090103","6090104","6090105","6090106","6090107","6090108","6090109","6090110","6090111","6090112","6090113","6090114","6090115","6090116","6090117",""
"6090102","2","155555","6090101","6090102","6090103","6090104","6090105","6090106","6090107","6090108","6090109","6090110","6090111","6090112","6090113","6090114","6090115","6090116","6090117",""
"6090103","2","155555","6090101","6090102","6090103","6090104","6090105","6090106","6090107","6090108","6090109","6090110","6090111","6090112","6090113","6090114","6090115","6090116","6090117",""
"6090104","2","155555","6090101","6090102","6090103","6090104","6090105","6090106","6090107","6090108","6090109","6090110","6090111","6090112","6090113","6090114","6090115","6090116","6090117",""
"6090105","2","155555","6090101","6090102","6090103","6090104","6090105","6090106","6090107","6090108","6090109","6090110","6090111","6090112","6090113","6090114","6090115","6090116","6090117",""
"6090106","2","155555","6090101","6090102","6090103","6090104","6090105","6090106","6090107","6090108","6090109","6090110","6090111","6090112","6090113","6090114","6090115","6090116","6090117",""
"6090107","2","155555","6090101","6090102","6090103","6090104","6090105","6090106","6090107","6090108","6090109","6090110","6090111","6090112","6090113","6090114","6090115","6090116","6090117",""
"6090108","2","155555","6090101","6090102","6090103","6090104","6090105","6090106","6090107","6090108","6090109","6090110","6090111","6090112","6090113","6090114","6090115","6090116","6090117",""
"6090109","2","155555","6090101","6090102","6090103","6090104","6090105","6090106","6090107","6090108","6090109","6090110","6090111","6090112","6090113","6090114","6090115","6090116","6090117",""
"6090110","2","155555","6090101","6090102","6090103","6090104","6090105","6090106","6090107","6090108","6090109","6090110","6090111","6090112","6090113","6090114","6090115","6090116","6090117",""
"6090111","2","155555","6090101","6090102","6090103","6090104","6090105","6090106","6090107","6090108","6090109","6090110","6090111","6090112","6090113","6090114","6090115","6090116","6090117",""
"6090112","2","155555","6090101","6090102","6090103","6090104","6090105","6090106","6090107","6090108","6090109","6090110","6090111","6090112","6090113","6090114","6090115","6090116","6090117",""
"6090113","2","155555","6090101","6090102","6090103","6090104","6090105","6090106","6090107","6090108","6090109","6090110","6090111","6090112","6090113","6090114","6090115","6090116","6090117",""
"6090114","2","155555","6090101","6090102","6090103","6090104","6090105","6090106","6090107","6090108","6090109","6090110","6090111","6090112","6090113","6090114","6090115","6090116","6090117",""
"6090115","2","155555","6090101","6090102","6090103","6090104","6090105","6090106","6090107","6090108","6090109","6090110","6090111","6090112","6090113","6090114","6090115","6090116","6090117",""
"6090116","2","155555","6090101","6090102","6090103","6090104","6090105","6090106","6090107","6090108","6090109","6090110","6090111","6090112","6090113","6090114","6090115","6090116","6090117",""
"6090117","2","155555","6090101","6090102","6090103","6090104","6090105","6090106","6090107","6090108","6090109","6090110","6090111","6090112","6090113","6090114","6090115","6090116","6090117",""
"6100101","2","222222","6100101","6100102","6100103","6100104","6100105","6100106","6100107","6100108","6100109","6100110","6100111","6100112","6100113","6100114","6100115","6100116","6100117",""
"6100102","2","222222","6100101","6100102","6100103","6100104","6100105","6100106","6100107","6100108","6100109","6100110","6100111","6100112","6100113","6100114","6100115","6100116","6100117",""
"6100103","2","222222","6100101","6100102","6100103","6100104","6100105","6100106","6100107","6100108","6100109","6100110","6100111","6100112","6100113","6100114","6100115","6100116","6100117",""
"6100104","2","222222","6100101","6100102","6100103","6100104","6100105","6100106","6100107","6100108","6100109","6100110","6100111","6100112","6100113","6100114","6100115","6100116","6100117",""
"6100105","2","222222","6100101","6100102","6100103","6100104","6100105","6100106","6100107","6100108","6100109","6100110","6100111","6100112","6100113","6100114","6100115","6100116","6100117",""
"6100106","2","222222","6100101","6100102","6100103","6100104","6100105","6100106","6100107","6100108","6100109","6100110","6100111","6100112","6100113","6100114","6100115","6100116","6100117",""
"6100107","2","222222","6100101","6100102","6100103","6100104","6100105","6100106","6100107","6100108","6100109","6100110","6100111","6100112","6100113","6100114","6100115","6100116","6100117",""
"6100108","2","222222","6100101","6100102","6100103","6100104","6100105","6100106","6100107","6100108","6100109","6100110","6100111","6100112","6100113","6100114","6100115","6100116","6100117",""
"6100109","2","222222","6100101","6100102","6100103","6100104","6100105","6100106","6100107","6100108","6100109","6100110","6100111","6100112","6100113","6100114","6100115","6100116","6100117",""
"6100110","2","222222","6100101","6100102","6100103","6100104","6100105","6100106","6100107","6100108","6100109","6100110","6100111","6100112","6100113","6100114","6100115","6100116","6100117",""
"6100111","2","222222","6100101","6100102","6100103","6100104","6100105","6100106","6100107","6100108","6100109","6100110","6100111","6100112","6100113","6100114","6100115","6100116","6100117",""
"6100112","2","222222","6100101","6100102","6100103","6100104","6100105","6100106","6100107","6100108","6100109","6100110","6100111","6100112","6100113","6100114","6100115","6100116","6100117",""
"6100113","2","222222","6100101","6100102","6100103","6100104","6100105","6100106","6100107","6100108","6100109","6100110","6100111","6100112","6100113","6100114","6100115","6100116","6100117",""
"6100114","2","222222","6100101","6100102","6100103","6100104","6100105","6100106","6100107","6100108","6100109","6100110","6100111","6100112","6100113","6100114","6100115","6100116","6100117",""
"6100115","2","222222","6100101","6100102","6100103","6100104","6100105","6100106","6100107","6100108","6100109","6100110","6100111","6100112","6100113","6100114","6100115","6100116","6100117",""
"6100116","2","222222","6100101","6100102","6100103","6100104","6100105","6100106","6100107","6100108","6100109","6100110","6100111","6100112","6100113","6100114","6100115","6100116","6100117",""
"6100117","2","222222","6100101","6100102","6100103","6100104","6100105","6100106","6100107","6100108","6100109","6100110","6100111","6100112","6100113","6100114","6100115","6100116","6100117",""
"6110101","2","333333","6110101","6110102","6110103","6110104","6110105","6110106","6110107","6110108","6110109","6110110","6110111","6110112","6110113","6110114","6110115","6110116","6110117",""
"6110102","2","333333","6110101","6110102","6110103","6110104","6110105","6110106","6110107","6110108","6110109","6110110","6110111","6110112","6110113","6110114","6110115","6110116","6110117",""
"6110103","2","333333","6110101","6110102","6110103","6110104","6110105","6110106","6110107","6110108","6110109","6110110","6110111","6110112","6110113","6110114","6110115","6110116","6110117",""
"6110104","2","333333","6110101","6110102","6110103","6110104","6110105","6110106","6110107","6110108","6110109","6110110","6110111","6110112","6110113","6110114","6110115","6110116","6110117",""
"6110105","2","333333","6110101","6110102","6110103","6110104","6110105","6110106","6110107","6110108","6110109","6110110","6110111","6110112","6110113","6110114","6110115","6110116","6110117",""
"6110106","2","333333","6110101","6110102","6110103","6110104","6110105","6110106","6110107","6110108","6110109","6110110","6110111","6110112","6110113","6110114","6110115","6110116","6110117",""
"6110107","2","333333","6110101","6110102","6110103","6110104","6110105","6110106","6110107","6110108","6110109","6110110","6110111","6110112","6110113","6110114","6110115","6110116","6110117",""
"6110108","2","333333","6110101","6110102","6110103","6110104","6110105","6110106","6110107","6110108","6110109","6110110","6110111","6110112","6110113","6110114","6110115","6110116","6110117",""
"6110109","2","333333","6110101","6110102","6110103","6110104","6110105","6110106","6110107","6110108","6110109","6110110","6110111","6110112","6110113","6110114","6110115","6110116","6110117",""
"6110110","2","333333","6110101","6110102","6110103","6110104","6110105","6110106","6110107","6110108","6110109","6110110","6110111","6110112","6110113","6110114","6110115","6110116","6110117",""
"6110111","2","333333","6110101","6110102","6110103","6110104","6110105","6110106","6110107","6110108","6110109","6110110","6110111","6110112","6110113","6110114","6110115","6110116","6110117",""
"6110112","2","333333","6110101","6110102","6110103","6110104","6110105","6110106","6110107","6110108","6110109","6110110","6110111","6110112","6110113","6110114","6110115","6110116","6110117",""
"6110113","2","333333","6110101","6110102","6110103","6110104","6110105","6110106","6110107","6110108","6110109","6110110","6110111","6110112","6110113","6110114","6110115","6110116","6110117",""
"6110114","2","333333","6110101","6110102","6110103","6110104","6110105","6110106","6110107","6110108","6110109","6110110","6110111","6110112","6110113","6110114","6110115","6110116","6110117",""
"6110115","2","333333","6110101","6110102","6110103","6110104","6110105","6110106","6110107","6110108","6110109","6110110","6110111","6110112","6110113","6110114","6110115","6110116","6110117",""
"6110116","2","333333","6110101","6110102","6110103","6110104","6110105","6110106","6110107","6110108","6110109","6110110","6110111","6110112","6110113","6110114","6110115","6110116","6110117",""
"6110117","2","333333","6110101","6110102","6110103","6110104","6110105","6110106","6110107","6110108","6110109","6110110","6110111","6110112","6110113","6110114","6110115","6110116","6110117",""
"6120101","2","555555","6120101","6120102","6120103","6120104","6120105","6120106","6120107","6120108","6120109","6120110","6120111","6120112","6120113","6120114","6120115","6120116","6120117",""
"6120102","2","555555","6120101","6120102","6120103","6120104","6120105","6120106","6120107","6120108","6120109","6120110","6120111","6120112","6120113","6120114","6120115","6120116","6120117",""
"6120103","2","555555","6120101","6120102","6120103","6120104","6120105","6120106","6120107","6120108","6120109","6120110","6120111","6120112","6120113","6120114","6120115","6120116","6120117",""
"6120104","2","555555","6120101","6120102","6120103","6120104","6120105","6120106","6120107","6120108","6120109","6120110","6120111","6120112","6120113","6120114","6120115","6120116","6120117",""
"6120105","2","555555","6120101","6120102","6120103","6120104","6120105","6120106","6120107","6120108","6120109","6120110","6120111","6120112","6120113","6120114","6120115","6120116","6120117",""
"6120106","2","555555","6120101","6120102","6120103","6120104","6120105","6120106","6120107","6120108","6120109","6120110","6120111","6120112","6120113","6120114","6120115","6120116","6120117",""
"6120107","2","555555","6120101","6120102","6120103","6120104","6120105","6120106","6120107","6120108","6120109","6120110","6120111","6120112","6120113","6120114","6120115","6120116","6120117",""
"6120108","2","555555","6120101","6120102","6120103","6120104","6120105","6120106","6120107","6120108","6120109","6120110","6120111","6120112","6120113","6120114","6120115","6120116","6120117",""
"6120109","2","555555","6120101","6120102","6120103","6120104","6120105","6120106","6120107","6120108","6120109","6120110","6120111","6120112","6120113","6120114","6120115","6120116","6120117",""
"6120110","2","555555","6120101","6120102","6120103","6120104","6120105","6120106","6120107","6120108","6120109","6120110","6120111","6120112","6120113","6120114","6120115","6120116","6120117",""
"6120111","2","555555","6120101","6120102","6120103","6120104","6120105","6120106","6120107","6120108","6120109","6120110","6120111","6120112","6120113","6120114","6120115","6120116","6120117",""
"6120112","2","555555","6120101","6120102","6120103","6120104","6120105","6120106","6120107","6120108","6120109","6120110","6120111","6120112","6120113","6120114","6120115","6120116","6120117",""
"6120113","2","555555","6120101","6120102","6120103","6120104","6120105","6120106","6120107","6120108","6120109","6120110","6120111","6120112","6120113","6120114","6120115","6120116","6120117",""
"6120114","2","555555","6120101","6120102","6120103","6120104","6120105","6120106","6120107","6120108","6120109","6120110","6120111","6120112","6120113","6120114","6120115","6120116","6120117",""
"6120115","2","555555","6120101","6120102","6120103","6120104","6120105","6120106","6120107","6120108","6120109","6120110","6120111","6120112","6120113","6120114","6120115","6120116","6120117",""
"6120116","2","555555","6120101","6120102","6120103","6120104","6120105","6120106","6120107","6120108","6120109","6120110","6120111","6120112","6120113","6120114","6120115","6120116","6120117",""
"6120117","2","555555","6120101","6120102","6120103","6120104","6120105","6120106","6120107","6120108","6120109","6120110","6120111","6120112","6120113","6120114","6120115","6120116","6120117",""
"6130101","2","888888","6130101","6130102","6130103","6130104","6130105","6130106","6130107","6130108","6130109","6130110","6130111","6130112","6130113","6130114","6130115","6130116","6130117",""
"6130102","2","888888","6130101","6130102","6130103","6130104","6130105","6130106","6130107","6130108","6130109","6130110","6130111","6130112","6130113","6130114","6130115","6130116","6130117",""
"6130103","2","888888","6130101","6130102","6130103","6130104","6130105","6130106","6130107","6130108","6130109","6130110","6130111","6130112","6130113","6130114","6130115","6130116","6130117",""
"6130104","2","888888","6130101","6130102","6130103","6130104","6130105","6130106","6130107","6130108","6130109","6130110","6130111","6130112","6130113","6130114","6130115","6130116","6130117",""
"6130105","2","888888","6130101","6130102","6130103","6130104","6130105","6130106","6130107","6130108","6130109","6130110","6130111","6130112","6130113","6130114","6130115","6130116","6130117",""
"6130106","2","888888","6130101","6130102","6130103","6130104","6130105","6130106","6130107","6130108","6130109","6130110","6130111","6130112","6130113","6130114","6130115","6130116","6130117",""
"6130107","2","888888","6130101","6130102","6130103","6130104","6130105","6130106","6130107","6130108","6130109","6130110","6130111","6130112","6130113","6130114","6130115","6130116","6130117",""
"6130108","2","888888","6130101","6130102","6130103","6130104","6130105","6130106","6130107","6130108","6130109","6130110","6130111","6130112","6130113","6130114","6130115","6130116","6130117",""
"6130109","2","888888","6130101","6130102","6130103","6130104","6130105","6130106","6130107","6130108","6130109","6130110","6130111","6130112","6130113","6130114","6130115","6130116","6130117",""
"6130110","2","888888","6130101","6130102","6130103","6130104","6130105","6130106","6130107","6130108","6130109","6130110","6130111","6130112","6130113","6130114","6130115","6130116","6130117",""
"6130111","2","888888","6130101","6130102","6130103","6130104","6130105","6130106","6130107","6130108","6130109","6130110","6130111","6130112","6130113","6130114","6130115","6130116","6130117",""
"6130112","2","888888","6130101","6130102","6130103","6130104","6130105","6130106","6130107","6130108","6130109","6130110","6130111","6130112","6130113","6130114","6130115","6130116","6130117",""
"6130113","2","888888","6130101","6130102","6130103","6130104","6130105","6130106","6130107","6130108","6130109","6130110","6130111","6130112","6130113","6130114","6130115","6130116","6130117",""
"6130114","2","888888","6130101","6130102","6130103","6130104","6130105","6130106","6130107","6130108","6130109","6130110","6130111","6130112","6130113","6130114","6130115","6130116","6130117",""
"6130115","2","888888","6130101","6130102","6130103","6130104","6130105","6130106","6130107","6130108","6130109","6130110","6130111","6130112","6130113","6130114","6130115","6130116","6130117",""
"6130116","2","888888","6130101","6130102","6130103","6130104","6130105","6130106","6130107","6130108","6130109","6130110","6130111","6130112","6130113","6130114","6130115","6130116","6130117",""
"6130117","2","888888","6130101","6130102","6130103","6130104","6130105","6130106","6130107","6130108","6130109","6130110","6130111","6130112","6130113","6130114","6130115","6130116","6130117",""
"6140101","2","888888","6140101","6140102","6140103","6140104","6140105","6140106","6140107","6140108","6140109","6140110","6140111","6140112","6140113","6140114","6140115","6140116","6140117",""
"6140102","2","888888","6140101","6140102","6140103","6140104","6140105","6140106","6140107","6140108","6140109","6140110","6140111","6140112","6140113","6140114","6140115","6140116","6140117",""
"6140103","2","888888","6140101","6140102","6140103","6140104","6140105","6140106","6140107","6140108","6140109","6140110","6140111","6140112","6140113","6140114","6140115","6140116","6140117",""
"6140104","2","888888","6140101","6140102","6140103","6140104","6140105","6140106","6140107","6140108","6140109","6140110","6140111","6140112","6140113","6140114","6140115","6140116","6140117",""
"6140105","2","888888","6140101","6140102","6140103","6140104","6140105","6140106","6140107","6140108","6140109","6140110","6140111","6140112","6140113","6140114","6140115","6140116","6140117",""
"6140106","2","888888","6140101","6140102","6140103","6140104","6140105","6140106","6140107","6140108","6140109","6140110","6140111","6140112","6140113","6140114","6140115","6140116","6140117",""
"6140107","2","888888","6140101","6140102","6140103","6140104","6140105","6140106","6140107","6140108","6140109","6140110","6140111","6140112","6140113","6140114","6140115","6140116","6140117",""
"6140108","2","888888","6140101","6140102","6140103","6140104","6140105","6140106","6140107","6140108","6140109","6140110","6140111","6140112","6140113","6140114","6140115","6140116","6140117",""
"6140109","2","888888","6140101","6140102","6140103","6140104","6140105","6140106","6140107","6140108","6140109","6140110","6140111","6140112","6140113","6140114","6140115","6140116","6140117",""
"6140110","2","888888","6140101","6140102","6140103","6140104","6140105","6140106","6140107","6140108","6140109","6140110","6140111","6140112","6140113","6140114","6140115","6140116","6140117",""
"6140111","2","888888","6140101","6140102","6140103","6140104","6140105","6140106","6140107","6140108","6140109","6140110","6140111","6140112","6140113","6140114","6140115","6140116","6140117",""
"6140112","2","888888","6140101","6140102","6140103","6140104","6140105","6140106","6140107","6140108","6140109","6140110","6140111","6140112","6140113","6140114","6140115","6140116","6140117",""
"6140113","2","888888","6140101","6140102","6140103","6140104","6140105","6140106","6140107","6140108","6140109","6140110","6140111","6140112","6140113","6140114","6140115","6140116","6140117",""
"6140114","2","888888","6140101","6140102","6140103","6140104","6140105","6140106","6140107","6140108","6140109","6140110","6140111","6140112","6140113","6140114","6140115","6140116","6140117",""
"6140115","2","888888","6140101","6140102","6140103","6140104","6140105","6140106","6140107","6140108","6140109","6140110","6140111","6140112","6140113","6140114","6140115","6140116","6140117",""
"6140116","2","888888","6140101","6140102","6140103","6140104","6140105","6140106","6140107","6140108","6140109","6140110","6140111","6140112","6140113","6140114","6140115","6140116","6140117",""
"6140117","2","888888","6140101","6140102","6140103","6140104","6140105","6140106","6140107","6140108","6140109","6140110","6140111","6140112","6140113","6140114","6140115","6140116","6140117",""
"6150101","2","888888","6150101","6150102","6150103","6150104","6150105","6150106","6150107","6150108","6150109","6150110","6150111","6150112","6150113","6150114","6150115","6150116","6150117",""
"6150102","2","888888","6150101","6150102","6150103","6150104","6150105","6150106","6150107","6150108","6150109","6150110","6150111","6150112","6150113","6150114","6150115","6150116","6150117",""
"6150103","2","888888","6150101","6150102","6150103","6150104","6150105","6150106","6150107","6150108","6150109","6150110","6150111","6150112","6150113","6150114","6150115","6150116","6150117",""
"6150104","2","888888","6150101","6150102","6150103","6150104","6150105","6150106","6150107","6150108","6150109","6150110","6150111","6150112","6150113","6150114","6150115","6150116","6150117",""
"6150105","2","888888","6150101","6150102","6150103","6150104","6150105","6150106","6150107","6150108","6150109","6150110","6150111","6150112","6150113","6150114","6150115","6150116","6150117",""
"6150106","2","888888","6150101","6150102","6150103","6150104","6150105","6150106","6150107","6150108","6150109","6150110","6150111","6150112","6150113","6150114","6150115","6150116","6150117",""
"6150107","2","888888","6150101","6150102","6150103","6150104","6150105","6150106","6150107","6150108","6150109","6150110","6150111","6150112","6150113","6150114","6150115","6150116","6150117",""
"6150108","2","888888","6150101","6150102","6150103","6150104","6150105","6150106","6150107","6150108","6150109","6150110","6150111","6150112","6150113","6150114","6150115","6150116","6150117",""
"6150109","2","888888","6150101","6150102","6150103","6150104","6150105","6150106","6150107","6150108","6150109","6150110","6150111","6150112","6150113","6150114","6150115","6150116","6150117",""
"6150110","2","888888","6150101","6150102","6150103","6150104","6150105","6150106","6150107","6150108","6150109","6150110","6150111","6150112","6150113","6150114","6150115","6150116","6150117",""
"6150111","2","888888","6150101","6150102","6150103","6150104","6150105","6150106","6150107","6150108","6150109","6150110","6150111","6150112","6150113","6150114","6150115","6150116","6150117",""
"6150112","2","888888","6150101","6150102","6150103","6150104","6150105","6150106","6150107","6150108","6150109","6150110","6150111","6150112","6150113","6150114","6150115","6150116","6150117",""
"6150113","2","888888","6150101","6150102","6150103","6150104","6150105","6150106","6150107","6150108","6150109","6150110","6150111","6150112","6150113","6150114","6150115","6150116","6150117",""
"6150114","2","888888","6150101","6150102","6150103","6150104","6150105","6150106","6150107","6150108","6150109","6150110","6150111","6150112","6150113","6150114","6150115","6150116","6150117",""
"6150115","2","888888","6150101","6150102","6150103","6150104","6150105","6150106","6150107","6150108","6150109","6150110","6150111","6150112","6150113","6150114","6150115","6150116","6150117",""
"6150116","2","888888","6150101","6150102","6150103","6150104","6150105","6150106","6150107","6150108","6150109","6150110","6150111","6150112","6150113","6150114","6150115","6150116","6150117",""
"6150117","2","888888","6150101","6150102","6150103","6150104","6150105","6150106","6150107","6150108","6150109","6150110","6150111","6150112","6150113","6150114","6150115","6150116","6150117",""
"6160101","2","888888","6160101","6160102","6160103","6160104","6160105","6160106","6160107","6160108","6160109","6160110","6160111","6160112","6160113","6160114","6160115","6160116","6160117",""
