"id","时装模型","消耗道具","道具数量","buff","图标","时装名称","名称颜色","角色名"
"98","3001017","339004","10","900001","895","花\n开\n富\n贵","ff099B17","狐美人"
"99","3002017","339004","10","900001","893","萌\n达\n鸭","ff099B17","狐美人"
"100","3003017","339004","10","900001","889","萌\n达\n鸭","ff099B17","狐美人"
"101","3004017","339004","10","900001","887","萌\n达\n鸭","ff099B17","狐美人"
"102","3005017","339004","10","900001","894","萌\n达\n鸭","ff099B17","狐美人"
"103","3010001","339004","0","900001","30200","解\n除\n效\n果","ffCC0000","剑侠客"
"104","3010002","339004","0","900001","30201","解\n除\n效\n果","ffCC0000","逍遥生"
"105","3010003","339004","0","900001","30202","解\n除\n效\n果","ffCC0000","漠少君"
"106","3010004","339004","0","900001","30203","解\n除\n效\n果","ffCC0000","飞燕女"
"107","3010005","339004","0","900001","30204","解\n除\n效\n果","ffCC0000","英女侠"
"108","3010006","339004","0","900001","30205","解\n除\n效\n果","ffCC0000","巫蛮儿"
"109","3010007","339004","0","900001","30206","解\n除\n效\n果","ffCC0000","龙太子"
"110","3010008","339004","0","900001","30207","解\n除\n效\n果","ffCC0000","神天兵"
"111","3010009","339004","0","900001","30208","解\n除\n效\n果","ffCC0000","羽灵神"
"112","3010010","339004","0","900001","30209","解\n除\n效\n果","ffCC0000","舞天姬"
"113","3010011","339004","0","900001","30210","解\n除\n效\n果","ffCC0000","梦玲珑"
"114","3010012","339004","0","900001","30211","解\n除\n效\n果","ffCC0000","玄彩娥"
"115","3010013","339004","0","900001","30212","解\n除\n效\n果","ffCC0000","杀破狼"
"116","3010014","339004","0","900001","30213","解\n除\n效\n果","ffCC0000","虎头怪"
"117","3010015","339004","0","900001","30214","解\n除\n效\n果","ffCC0000","巨魔王"
"118","3010016","339004","0","900001","30215","解\n除\n效\n果","ffCC0000","骨精灵"
"119","3010017","339004","0","900001","30216","解\n除\n效\n果","ffCC0000","狐美人"
