id,组id,是否为人物头像,显示图标,名字,排序,描述,前往等级,前往逻辑,前往逻辑对应,完成逻辑,完成逻辑参数1,完成逻辑参数2,道具1,道具数量1,道具1图标,道具1名称,宠物1,宠物数量1,宠物1图标,宠物1名称,奖励ID,职业贡献奖励图标,职业贡献奖励文本,节日积分奖励图标,节日积分奖励文本,公会贡献奖励图标,公会贡献奖励文本,公会任务贡献资金图标,公会任务贡献资金文本,公会任务个人分红图标,公会任务个人分红文本,经验奖励图标,经验奖励文本,宠物经验奖励图标,宠物经验奖励文本,游戏币奖励图标,游戏币奖励文本,金币奖励图标,金币奖励文本,声望图标,声望文本
302,4,0,1135,"<T t=""好友试炼"" c=""FF00b1ff""/>",13,捍卫艾泽大陆，完成一次好友试炼。,30,1,41,10,103,1,338000,1,1135,经验宝珠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,3,0,1169,"<T t=""日常副本"" c=""FF00BB00""/>",3,完成10次日常副本。,20,2,161501,10,102,10,0,0,0,0,0,0,0,0,12011,0,0,0,0,0,0,0,0,0,0,1169,2500经验,0,0,0,0,0,0,0,0
304,3,0,1050,"<T t=""菊爆大队"" c=""FFcb05fc""/>",4,完成菊爆大队-狮子任务，可获得高级营养套餐。,20,2,161517,3,600016,,310001,1,1050,高级营养套餐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,3,0,1004,"<T t=""远古魔像"" c=""FF00BB00""/>",5,击败考古时放出来的魔物。,20,1,41,10,105,1,310102,1,1004,太阳井水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,3,0,1155,"<T t=""寻宝秘闻"" c=""FF00BB00""/>",6,挖宝1次。,20,2,161510,9,1,0,331300,1,1155,藏宝图,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,3,1,30253,"<T t=""玫瑰与王权"" c=""FFcb05fc""/>",7,大小姐不甘心失败，带着手下又来找你的麻烦。,20,3,,3,181149,,332003,1,30253,暗夜男（7天）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,3,0,1129,"<T t=""礼尚往来"" c=""FF00b1ff""/>",8,向好友赠送礼物,20,1,65,25,,,32037,1,1129,小生命储备,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,3,0,1088,"<T t=""白手起家"" c=""FFcb05fc""/>",9,累积抢到红包的金额达到1000金币,20,1,71,24,1,1000,0,0,0,0,0,0,0,0,12038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1088,100金币,0,0
310,3,0,1423,"<T t=""纵横驰骋"" c=""FF00b1ff""/>",10,第一次驾驭坐骑。坐骑可以在精英副本等日常活动中获得。,20,1,10,27,,,0,0,0,0,0,0,0,0,12039,1423,20职业贡献,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,3,0,1158,"<T t=""情比金坚"" c=""FFcb05fc""/>",11,和一位好友的好友度达到1000,20,1,42,26,1000,1000,0,0,0,0,0,0,0,0,12040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,5000银币,0,0,0,0
312,3,0,1154,"<T t=""门庭若市"" c=""FF00b1ff""/>",12,拥有10个好友。,1,1,49,2,10,10,0,0,0,0,0,0,0,0,12064,0,0,0,0,0,0,0,0,0,0,1169,2500经验,0,0,0,0,0,0,0,0
403,4,0,1151,"<T t=""打造装备"" c=""FF00b1ff""/>",1,打造出来的装备属性更好，去尝试打造一件装备吧。,30,1,6,13,1,,337011,1,1151,40级打造材料礼包,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404,4,0,1149,"<T t=""镶嵌宝石"" c=""FF00b1ff""/>",2,装备打上宝石可以让自己变的更强。,30,1,9,14,"1,2,3,4,5,6,7,8,9",1,35001,1,1149,1级血精石,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
405,4,0,1416,"<T t=""排行榜"" c=""FF00b1ff""/>",3,打开排行榜界面查看排行信息。,30,1,43,15,1,,0,0,0,0,0,0,0,0,12018,0,0,0,0,0,0,0,0,0,0,1169,3000经验,0,0,0,0,0,0,0,0
408,4,1,30243,"<T t=""两个国王"" c=""FFcb05fc""/>",4,这两个国王似乎都是真的，看来现在只有将两位国王都带回风暴城了。,30,3,,3,181195,,332006,1,30243,会长（7天）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,4,0,1169,"<T t=""小试身手"" c=""FF00b1ff""/>",6,在智慧试炼初赛中答对所有题目,30,1,45,29,,,0,0,0,0,0,0,0,0,12041,0,0,0,0,0,0,0,0,0,0,1169,4500经验,0,0,0,0,0,0,0,0
411,4,0,1004,"<T t=""珍品神宠"" c=""FF00b1ff""/>",7,洗炼一个珍品宠物,30,1,16,30,,,310102,1,1004,太阳井水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412,4,0,1135,"<T t=""能工巧匠"" c=""FFcb05fc""/>",8,打造出一件紫色装备,30,1,6,32,4,,338000,1,1135,经验宝珠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
413,4,0,30235,"<T t=""珍稀灵兽"" c=""FFcb05fc""/>",9,拥有一只灵兽,30,1,15,28,"4,5",1,0,0,0,0,0,0,0,0,12045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1418,10声望
414,4,0,1418,"<T t=""绝顶聪明"" c=""FF00b1ff""/>",10,进入智慧试炼决赛,30,1,45,10,216,1,0,0,0,0,0,0,0,0,12055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1418,10声望
415,4,0,1135,"<T t=""德高望重"" c=""FF00b1ff""/>",11,获得声望值500点。通过帮助低于自己等级的玩家完成活动可获得声望值。,30,1,64,48,500,,338000,1,1135,经验宝珠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
416,4,0,1154,"<T t=""高朋满座"" c=""FF00b1ff""/>",12,拥有50个好友。,1,1,49,2,50,50,0,0,0,0,0,0,0,0,12065,0,0,0,0,0,0,0,0,0,0,1169,6000经验,0,0,0,0,0,0,0,0
417,4,0,1182,"<T t=""巨龙军团"" c=""FF00b1ff""/>",1,每个半点，都会有巨龙军团到人间掠夺财宝。,30,1,41,10,201,1,0,0,0,0,0,0,0,0,12025,0,0,0,0,0,0,0,0,0,0,1169,8000经验,0,0,0,0,0,0,0,0
501,5,0,1077,"<T t=""人物专精"" c=""FF00b1ff""/>",1,在公会中学习专精技能提升角色实力，将任意专精提升到1级。,40,1,20,16,1,,334100,5,1077,纪元之书,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
502,5,0,1011,"<T t=""药品使用"" c=""FF00b1ff""/>",2,在战斗中使用一次药品。,40,2,161502,17,"320004,320007,320100,320101,320102,320103,320104,320105,320150,320151,320152,320153,320154,320155,320156,320157",1,320105,1,1011,重生药剂,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507,5,0,30301,"<T t=""血色之殇"" c=""FFcb05fc""/>",3,达利安用生命唤醒了大领主莫格莱恩。,40,3,,3,182198,,0,0,0,0,0,0,0,0,12028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,5000银币,0,0,0,0
508,5,0,1135,"<T t=""力拔头筹"" c=""FF00b1ff""/>",4,参加一次冠军试炼活动,40,1,45,10,208,1,338000,1,1135,经验宝珠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509,5,0,1135,"<T t=""单挑之王"" c=""FF00b1ff""/>",5,参加一次1V1竞技场,40,1,45,10,240,1,338000,1,1135,经验宝珠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,5,0,1135,"<T t=""协同作战"" c=""FF00b1ff""/>",6,参加一次3V3竞技场,40,1,45,10,241,1,338000,1,1135,经验宝珠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511,5,0,1417,"<T t=""公会副本"" c=""FF00b1ff""/>",7,参与公会副本,40,1,45,10,218,1,0,0,0,0,0,0,0,0,12052,0,0,0,0,1417,15公会贡献,0,0,0,0,0,0,0,0,0,0,0,0,0,0
512,5,0,1135,"<T t=""4级宝石"" c=""FF00b1ff""/>",8,给任意装备镶嵌一颗不低于4级的宝石,40,1,9,47,4,4,338000,1,1135,经验宝珠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
513,5,0,1135,"<T t=""珠光宝气"" c=""FF00b1ff""/>",9,全身所有已穿戴装备都镶嵌宝石,40,1,9,38,,,338000,1,1135,经验宝珠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
514,5,0,1423,"<T t=""Duang"" c=""FFcb05fc""/>",10,穿戴一件带特效装备,40,1,10,33,,,0,0,0,0,0,0,0,0,12046,1423,20职业贡献,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
515,5,0,1046,"<T t=""紫装贵族"" c=""FFcb05fc""/>",11,全身所有穿戴装备品质不低于紫色,40,1,10,34,4,,40010,1,1046,宁静原石,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
516,5,0,1135,"<T t=""雪中送炭"" c=""FF00b1ff""/>",12,援助战斗20次,40,1,13,39,20,,338000,1,1135,经验宝珠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
517,5,0,1003,"<T t=""变异神宠"" c=""FFcb05fc""/>",13,洗炼一只变异宠物,40,1,16,35,,,310103,1,1003,永恒井水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
602,6,0,272,"<T t=""职业绝技"" c=""FF00b1ff""/>",2,学习一次威力强大的职业绝技。,50,1,19,19,"1118,1218,1318,1418,1518,1618,1718,1818,1918",1,0,0,0,0,0,0,0,0,12026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,10000银币,0,0,0,0
607,6,0,1078,"<T t=""55级宠物"" c=""FF00b1ff""/>",3,拥有一只55级可以参战的宠物，如野猪、吸血蝙蝠、野猪人、巫妖。,50,1,18,1,"500232,500233,500234,500235,500273,500274,500275,500276,500178,500179,500180,500181,500182,500183,500118,500119,500120,500121,500122,500123",,334101,1,1078,永曦露水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
608,6,0,30276,"<T t=""角斗场切磋"" c=""FF00b1ff""/>",4,完成一次切磋。,50,2,161512,23,1,,338000,1,1135,经验宝珠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
609,6,0,1131,"<T t=""好好学习"" c=""FF00b1ff""/>",5,给宠物学习一次技能,50,1,36,36,,,32014,1,1131,大生命储备,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610,6,0,1158,"<T t=""权威认证"" c=""FF00b1ff""/>",6,对宠物进行一次法术认证,50,1,36,37,,,0,0,0,0,0,0,0,0,12049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,10000银币,0,0,0,0
611,6,0,1095,"<T t=""强强联合"" c=""FF00b1ff""/>",7,进行一次合宠,50,1,72,41,,,311013,1,1095,回春,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
612,6,0,1135,"<T t=""5级宝石"" c=""FF00b1ff""/>",8,给任意装备镶嵌一颗不低于5级的宝石,50,1,8,47,5,5,338000,1,1135,经验宝珠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
613,6,0,1133,"<T t=""享受生活"" c=""FF00b1ff""/>",9,任意一个生活技能达到60级,50,1,3,42,60,,335102,1,1133,活力水晶,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
614,6,0,1135,"<T t=""大逃杀"" c=""FF00b1ff""/>",10,参加一次奥山战场,50,1,45,10,242,1,338000,1,1135,经验宝珠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
615,6,0,1417,"<T t=""乐善好施"" c=""FF00b1ff""/>",11,公会捐助符文累计达到30次,50,5,,43,30,,0,0,0,0,0,0,0,0,12060,0,0,0,0,1417,30公会贡献,0,0,0,0,0,0,0,0,0,0,0,0,0,0
616,6,0,1004,"<T t=""高分神宠"" c=""FFcb05fc""/>",12,拥有一只评分不低于3000的宠物,50,1,15,31,3000,,310102,1,1004,太阳井水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
701,7,0,1000,"<T t=""65级宠物"" c=""FF00b1ff""/>",1,"拥有一只65级可以参战的宠物,如血色猎犬、幽灵、死亡骑士、血色骑士、血色牧师。",60,1,18,1,"500124,500125,500126,500127,500128,500129,500184,500185,500186,500187,500188,500189,500236,500237,500238,500239,500240,500277,500278,500279,500280,500281",,310200,1,1000,宠物零食,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
702,7,0,1149,"<T t=""第二装备孔"" c=""FF00b1ff""/>",2,拥有一件60级装备并且镶嵌两颗宝石。,60,1,9,20,60,2,35010,1,1149,2级血精石,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
704,7,0,1046,"<T t=""特殊技能"" c=""FFcb05fc""/>",3,穿戴一件不低于60级的带特技装备,60,1,10,40,60,,40010,1,1046,宁静原石,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
703,7,0,1002,"<T t=""更强的宠物"" c=""FF00b1ff""/>",4,拥有一只等级达到60级，群法攻击三个目标的宠物。,60,1,18,21,"207005,207006,207007,207008,207010,207015",60,310100,1,1002,资质影砂,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
705,7,0,1158,"<T t=""7级宝石"" c=""FF00b1ff""/>",5,给任意装备镶嵌一颗不低于7级的宝石,60,1,9,47,7,7,0,0,0,0,0,0,0,0,12032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,50000银币,0,0,0,0
706,7,0,1004,"<T t=""合宠大师"" c=""FF00b1ff""/>",6,合一个不少于6技能的宠物,60,1,72,44,6,,310102,1,1004,太阳井水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801,8,0,1001,"<T t=""稀有宠物"" c=""FF00b1ff""/>",1,拥有一只参战等级不低于75级的稀有灵兽宠物。,70,1,18,1,"500244,500248,500252,500256,500260,500285,500289,500293,500297,500301",,310101,1,1001,兽王纲要,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
803,8,0,1149,"<T t=""王公贵胄"" c=""FFcb05fc""/>",2,全身所有已穿戴装备均镶嵌有不低于6级宝石,70,1,9,46,6,,35010,1,1149,2级血精石,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
802,8,0,1148,"<T t=""九级宝石"" c=""FF00b1ff""/>",3,给任意装备镶嵌一颗不低于9级的宝石,70,1,9,14,9,1,0,0,0,0,0,0,0,0,12034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,100000银币,0,0,0,0
