编号,刷新组,注释（策划备注）,等级下限,等级上限,刷新时系统提示信息编号,刷新列表,刷新列表数量,每种NPC数量,刷新总数量,刷新控制,刷新控制总数量,数量分配方式,刷新场景,刷新场景个数,场景中数量分配方式,怪物存在时间,击杀奖励个数,是否属于狩猎活动,奖励ID,奖励ID2,匹配奖励方式,分级奖励,奖励个数超过提示编号,是否组队,组队人数要求,需求等级下限,需求等级上限,次数,观战,消失,对应活动表ID,匹配秒数,是否匹配,次数击杀,分级次数,延迟秒数,延迟刷怪提示
17,3,宝宝幼儿园,95,99,,"170247,170248,170249,170247,170248,170249,170247,170248,170249,170250;170247,170248,170249,170247,170248,170249,170247,170248,170249,170288;170247,170248,170249,170247,170248,170249,170247,170248,170249,170289;170247,170248,170249,170247,170248,170249,170247,170248,170249,170290;170247,170248,170249,170247,170248,170249,170247,170248,170249;170247,170248,170249,170247,170248,170249,170247,170248,170249;170247,170248,170249,170247,170248,170249,170247,170248,170249;170247,170248,170249,170247,170248,170249,170247,170248,170249",1,1,20,1,20,1,1609@1,1,1,0,10,,,,,,,,,85,155,1,1,0,,0,0,0,,10,170069
18,4,魔王宝箱,1,155,,180320,1,20,150,1,20,1,1616@1;1614@1;1606@1;1605@1;1607@1;1610@1;1609@1;1611@1;1612@1;1608@1,1,2,0,5,,,,,,150215,,,20,155,0,0,0,,0,0,0,,,
19,5,魔王宝箱,1,155,,180320,1,20,150,1,20,1,1616@1;1614@1;1606@1;1605@1;1607@1;1610@1;1609@1;1611@1;1612@1;1608@1,1,2,0,5,,,,,,150215,,,20,155,0,0,0,,0,0,0,,,
20,6,魔王宝箱,1,155,,180320,1,20,150,1,20,1,1616@1;1614@1;1606@1;1605@1;1607@1;1610@1;1609@1;1611@1;1612@1;1608@1,1,2,0,5,,,,,,150215,,,20,155,0,0,0,,0,0,0,,,
21,7,魔王宝箱,1,155,,180320,1,20,150,1,20,1,1616@1;1614@1;1606@1;1605@1;1607@1;1610@1;1609@1;1611@1;1612@1;1608@1,1,2,0,5,,,,,,150215,,,20,155,0,0,0,,0,0,0,,,
22,8,纳鲁恩赐宝箱,1,155,,300002,1,200,200,1,200,1,1605@1;1606@1;1607@1;1608@1;1609@1;1610@1;1611@1;1612@1;1614@1;1615@1,10,1,1800,0,,6550,,,,180024,,,1,155,0,0,0,,0,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
