技能id,技能名,图标编号,技能升级描述
722003,失忆符,18,"<T t=""概率嘲讽多个目标，对普通BOSS怪必中，受嘲讽的单位强制对施法者使用物理普攻且伤害降低。仅PVE战斗可使用。""></T>"
722004,离魂符,17,"<T t=""百分比神圣伤害惩戒目标并使其处于流血状态，同时转化伤害治疗全体队友""></T>"
722005,失心符,8,"<T t=""降低敌方多个目标物理防御""></T>"
722006,反震血统,365,"<T t=""受到物理伤害时，反震部分回攻击者""></T>"
722007,王者馈赠,366,"<T t=""五雷咒的伤害结果提升50%""></T>"
723001,五雷咒,7,"<T t=""召唤五雷咒攻击多个目标，概率对首目标附加失心符效果。""></T>"
723002,定身符,3,"<T t=""召唤圣光攻击单个目标，一定几率附带大量百分比神圣伤害""></T>"
723003,失忆符,18,"<T t=""概率嘲讽多个目标，对普通BOSS怪必中，受嘲讽的单位强制对施法者使用物理普攻且伤害降低。仅PVE战斗可使用。""></T>"
723004,离魂符,17,"<T t=""百分比神圣伤害惩戒目标并使其处于流血状态，同时转化伤害治疗全体队友""></T>"
723005,失心符,8,"<T t=""降低敌方多个目标物理防御""></T>"
723006,晶清之怒,367,"<T t=""战斗中，让队伍中所有队友附带驱魔效果""></T>"
723007,圣灵恩赐,368,"<T t=""定身符的百分比伤害成功几率提升至100%""></T>"
723008,沉默爆发,369,"<T t=""失心符的目标数增加1至2个""></T>"
724001,五雷咒,7,"<T t=""召唤五雷咒攻击多个目标，概率对首目标附加失心符效果。""></T>"
724002,定身符,3,"<T t=""召唤圣光攻击单个目标，一定几率附带大量百分比神圣伤害""></T>"
724003,失忆符,18,"<T t=""概率嘲讽多个目标，对普通BOSS怪必中，受嘲讽的单位强制对施法者使用物理普攻且伤害降低。仅PVE战斗可使用。""></T>"
724004,离魂符,17,"<T t=""百分比神圣伤害惩戒目标并使其处于流血状态，同时转化伤害治疗全体队友""></T>"
724005,失心符,8,"<T t=""降低敌方多个目标物理防御""></T>"
724006,野兽之力,370,"<T t=""战斗中，提升友方玩家和伙伴的物理攻击""></T>"
724007,圣光意志,371,"<T t=""离魂符一定概率追加一次，追加的伤害相同，回血减半""></T>"
731001,鹰击,34,"<T t=""变身状态下，攻击敌方6个目标，使用后休息1回合，非变身状态，使用变身。""></T>"
731002,狮搏,35,"<T t=""变身状态下，对目标进行强有力的攻击。非变身状态，使用变身。""></T>"
731003,象形,37,"<T t=""对目标进行攻击并使目标进入封印状态1回合，使用休息1回合。""></T>"
731004,连环击,38,"<T t=""变身状态下，连续对目标进行攻击，伤害逐步下降，使用后结束变身状态并休息1回合，非变身状态，使用变身。""></T>"
731005,连环击,38,"<T t=""变身状态下，连续对目标进行攻击，伤害逐步下降，使用后结束变身状态并休息1回合，非变身状态，使用变身。""></T>"
731006,凝神决,372,"<T t=""战斗中速度加倍""></T>"
731007,神力无穷,373,"<T t=""攻击时物理伤害提升，与自身和目标的速度差值有关""></T>"
731008,美女野兽,374,"<T t=""当有人施放技能，则为其他两者增加一定的物理伤害，伤害增加的效果会一直累积，直到死亡清零""></T>"
732001,鹰击,47,"<T t=""变身姿态下，物理攻击多个目标，使用后休息1回合，虚弱休息状态下双防降低。（非变身状态下，使用变身姿态。）""></T>"
732002,狮搏,57,"<T t=""变身姿态下，忽视目标部分物理防御穿刺攻击。（非变身状态下，使用变身姿态。）""></T>"
732003,魔息术,49,"<T t=""为场上己方全体宠物增加一定的物理攻击和法术攻击，持续多回合""></T>"
732004,象形,52,"<T t=""献祭己方的一只宠物，给己方全体主角增加魔法值，可献祭处于死亡状态下的宠物。""></T>"
732005,连环击,51,"<T t=""变身姿态下，连续打击单个目标多次，使用后结束变身状态并虚弱休息1回合，虚弱休息状态下双防降低。（非变身状态下，使用变身姿态。）""></T>"
732006,战斗技巧,375,"<T t=""战斗中生命提升。""></T>"
732007,不留活口,376,"<T t=""使用连环击，如果对方死亡并有剩余攻击次数，则继续选择一个单位攻击。""></T>"
732008,美女野兽,374,"<T t=""当有人施放技能，则为其他两者增加一定的物理伤害，伤害增加的效果会一直累积，直到死亡清零""></T>"
733001,鹰击,47,"<T t=""变身姿态下，物理攻击多个目标，使用后休息1回合，虚弱休息状态下双防降低。（非变身状态下，使用变身姿态。）""></T>"
733002,狮搏,57,"<T t=""变身姿态下，忽视目标部分物理防御穿刺攻击。（非变身状态下，使用变身姿态。）""></T>"
733003,魔息术,49,"<T t=""为场上己方全体宠物增加一定的物理攻击和法术攻击，持续多回合""></T>"
733004,象形,52,"<T t=""献祭己方的一只宠物，给己方全体主角增加魔法值，可献祭处于死亡状态下的宠物。""></T>"
733005,连环击,51,"<T t=""变身姿态下，连续打击单个目标多次，使用后结束变身状态并虚弱休息1回合，虚弱休息状态下双防降低。（非变身状态下，使用变身姿态。）""></T>"
733006,强击光环,378,"<T t=""提升战斗中所有伙伴的物理伤害，提升数值与自身物理伤害有关""></T>"
733007,兽王专精,379,"<T t=""使得多重打击增加一次攻击。""></T>"
733008,美女野兽,374,"<T t=""当有人施放技能，则为其他两者增加一定的物理伤害，伤害增加的效果会一直累积，直到死亡清零""></T>"
741001,阎罗令,42,"<T t=""法术攻击5个目标，玩家施法对首目标附加六道轮回。""></T>"
741002,尸腐毒,43,"<T t=""使目标中毒5回合。给队友回复气血，无法回复宠物。""></T>"
741003,六道轮回,44,"<T t=""降低敌方5个单位的物理防御，持续5回合。""></T>"
741004,修罗隐身,45,"<T t=""给己方附加隐身状态，提升物理伤害结果，持续3回合。隐身下使用法术、特技、立即显形。""></T>"
741005,幽冥鬼眼,46,"<T t=""战斗中提高己方多人封印抵抗，并使其可以攻击隐身单位。""></T>"
741006,良心商人,381,"<T t=""战斗中控制命中和控制抵抗大幅度提高""></T>"
741007,持久力强,382,"<T t=""复活后免疫当回合受到的攻击，每场战斗最多触发一次""></T>"
742001,阎罗令,43,"<T t=""法术打击多个目标,概率对首目标附加休眠效果，该状态下无法进行任何行动""></T>"
742002,尸腐毒,40,"<T t=""召唤月光攻击单个目标，并降低对方少量法防，该效果可叠加，持续到战斗结束""></T>"
742003,六道轮回,36,"<T t=""临时提高大量控制命中控制目标，使其被根须缠绕，该状态下无法释放普攻和普通职业技能(但可以释放职业大招和装备特技),并降低法术防御，命中概率与施法者的控制命中有关。该技能命中后下回合控制命中降低且无法连续使用。""></T>"
742004,修罗隐身,45,"<T t=""使目标进入昏睡，该状态下无法进行任何行动，一旦受击取消该状态，命中概率与施法者的控制命中有关。""></T>"
742005,幽冥鬼眼,44,"<T t=""战斗中提高己方多人控制抗性，并使其可以攻击隐身单位。""></T>"
742006,自然姌合,383,"<T t=""战斗中速度提升""></T>"
742007,孀妇哀怨,384,"<T t=""六道轮回或者休眠命中后，附加2回合死亡锢魂效果""></T>"
742008,邪恶领袖,385,"<T t=""如果玛拉得公主和死骑瑞文同时出战，每次出手都有额外概率对对方随机单位附加2回合灵魂禁锢效果""></T>"
743001,阎罗令,42,"<T t=""法术攻击5个目标，玩家施法对首目标附加六道轮回。""></T>"
743002,尸腐毒,43,"<T t=""使目标中毒5回合。给队友回复气血，无法回复宠物。""></T>"
743003,六道轮回,44,"<T t=""降低敌方5个单位的物理防御，持续5回合。""></T>"
743004,修罗隐身,45,"<T t=""给己方附加隐身状态，提升物理伤害结果，持续3回合。隐身下使用法术、特技、立即显形。""></T>"
743005,幽冥鬼眼,46,"<T t=""战斗中提高己方多人封印抵抗，并使其可以攻击隐身单位。""></T>"
743006,月神庇护,386,"<T t=""六道轮回施法后不进入虚弱状态，不限制继续使用""></T>"
743007,大地守护,387,"<T t=""生命值越低，控制命中率越高""></T>"
751001,龙卷雨击,50,"<T t=""法术攻击6个目标。""></T>"
751002,龙腾,51,"<T t=""法术攻击单个目标。""></T>"
751003,逆鳞,52,"<T t=""提升自己的法术连击概率和法连伤害，持续5回合。""></T>"
751004,龙吟,53,"<T t=""法术攻击敌方全体，消耗目标魔法。""></T>"
751005,清心,54,"<T t=""净化友方单位的异常状态.""></T>"
751006,神教奥义,388,"<T t=""出手同时有概率额外清除一个己方不良状态""></T>"
751007,称霸世界,389,"<T t=""奥术冲击有概率连续施放2次""></T>"
751008,老头乐,390,"<T t=""与方砖共同参战则双方法攻增强""></T>"
752001,龙卷雨击,22,"<T t=""法术打击多个目标""></T>"
752002,龙腾,19,"<T t=""法术强力打击单个目标""></T>"
752003,逆鳞,21,"<T t=""一定几率把对方目标变成小动物，该状态下无法使用物理普攻和技能，速度降低，一旦受击取消该状态。仅PVE战斗可使用。""></T>"
752004,龙吟,24,"<T t=""法术打击敌方全体，消耗目标的魔法""></T>"
752005,清心,20,"<T t=""解除1至2个友方的中毒状态，并回复生命""></T>"
752006,江湖老练,391,"<T t=""大幅提升法术连击几率""></T>"
752007,老谋深算,392,"<T t=""群攻法术以血量较少的单位作为目标""></T>"
752008,老头乐,393,"<T t=""与五火球教主共同参战则双方法攻增强""></T>"
753001,龙卷雨击,22,"<T t=""法术打击多个目标""></T>"
753002,龙腾,19,"<T t=""法术强力打击单个目标""></T>"
753003,逆鳞,21,"<T t=""一定几率把对方目标变成小动物，该状态下无法使用物理普攻和技能，速度降低，一旦受击取消该状态。仅PVE战斗可使用。""></T>"
753004,龙吟,24,"<T t=""法术打击敌方全体，消耗目标的魔法""></T>"
753005,清心,20,"<T t=""解除1至2个友方的中毒状态，并回复生命""></T>"
753006,腹黑魅影,394,"<T t=""奥术冲击降低目标物理防御和法术防御3回合""></T>"
753007,傲娇气质,395,"<T t=""大幅提升法术暴击""></T>"
754001,龙卷雨击,22,"<T t=""法术打击多个目标""></T>"
754002,龙腾,19,"<T t=""法术强力打击单个目标""></T>"
754003,逆鳞,21,"<T t=""一定几率把对方目标变成小动物，该状态下无法使用物理普攻和技能，速度降低，一旦受击取消该状态。仅PVE战斗可使用。""></T>"
754004,龙吟,24,"<T t=""法术打击敌方全体，消耗目标的魔法""></T>"
754005,清心,20,"<T t=""解除1至2个友方的中毒状态，并回复生命""></T>"
754006,王者壁垒,396,"<T t=""受到伤害时，攻击者有概率中眩晕。""></T>"
754007,逐日力量,397,"<T t=""暴风雪的法术伤害大幅增强。""></T>"
761001,五行咒,35,"<T t=""法术随机攻击多个目标，对首要目标造成额外伤害""></T>"
761002,普度众生,28,"<T t=""回复2个目标生命并附加祷言状态，对已有祷言状态的单位附加额外生命回复""></T>"
761003,杨柳甘露,31,"<T t=""复活死亡目标，拥有不死亡魂状态的单位除外""></T>"
761004,灵动九天,34,"<T t=""战斗中增加友方法术攻击和法术防御""></T>"
761005,微风拂柳,41,"<T t=""解除1至2个己方队友的所有异常状态(恐惧和眩晕除外）""></T>"
761006,第一梯队,398,"<T t=""PVE中一定幅度提升治疗法术效果""></T>"
761007,强化复生,399,"<T t=""PVE中复活某单位，一定几率额外恢复其大量生命""></T>"
762001,五行咒,35,"<T t=""法术随机攻击多个目标，对首要目标造成额外伤害""></T>"
762002,普度众生,28,"<T t=""回复2个目标生命并附加祷言状态，对已有祷言状态的单位附加额外生命回复""></T>"
762003,杨柳甘露,31,"<T t=""复活死亡目标，拥有不死亡魂状态的单位除外""></T>"
762004,灵动九天,34,"<T t=""战斗中增加友方法术攻击和法术防御""></T>"
762005,微风拂柳,41,"<T t=""解除1至2个己方队友的所有异常状态(恐惧和眩晕除外）""></T>"
762006,王族血脉,400,"<T t=""施放治疗祷言时，作用目标一定几率增加一个""></T>"
762007,圣光信仰,401,"<T t=""心灵之火的技能持续回合增加一回合""></T>"
763001,五行咒,35,"<T t=""法术随机攻击多个目标，对首要目标造成额外伤害""></T>"
763002,普度众生,28,"<T t=""回复2个目标生命并附加祷言状态，对已有祷言状态的单位附加额外生命回复""></T>"
763003,杨柳甘露,31,"<T t=""复活死亡目标，拥有不死亡魂状态的单位除外""></T>"
763004,灵动九天,34,"<T t=""战斗中增加友方法术攻击和法术防御""></T>"
763005,微风拂柳,41,"<T t=""解除1至2个己方队友的所有异常状态(恐惧和眩晕除外）""></T>"
763006,瀑流,402,"<T t=""PVE中施放治疗祷言时对首目标的治疗效果大幅度提升""></T>"
763007,能量灌注,403,"<T t=""施放治疗祷言时，有几率对施法目标附加心灵之火""></T>"
764001,五行咒,35,"<T t=""法术随机攻击多个目标，对首要目标造成额外伤害""></T>"
764002,普度众生,28,"<T t=""回复2个目标生命并附加祷言状态，对已有祷言状态的单位附加额外生命回复""></T>"
764003,杨柳甘露,31,"<T t=""复活死亡目标，拥有不死亡魂状态的单位除外""></T>"
764004,灵动九天,34,"<T t=""战斗中增加友方法术攻击和法术防御""></T>"
764005,微风拂柳,41,"<T t=""解除1至2个己方队友的所有异常状态(恐惧和眩晕除外）""></T>"
764006,专注意志,404,"<T t=""使用任何技能时，为自己回复8%最大生命""></T>"
764007,圣赞美诗,405,"<T t=""受到伤害时有较大概率转为恢复生命，也有一定概率承受更多伤害""></T>"
771001,飞沙走石,66,"<T t=""法术攻击5个目标，伤害结果会产生法术波动。""></T>"
771002,三味真火,67,"<T t=""法术强力打击单个目标，伤害结果会产生法术波动，该技能使用时附带一定的法术暴击""></T>"
771003,魔王降临,68,"<T t=""提升法术暴击和法术伤害，持续4回合。""></T>"
771004,踏山裂石,69,"<T t=""法术强力打击目标，并使敌方降低法术防御。""></T>"
771005,狂热图腾,56,"<T t=""召唤图腾，给范围内队友增加大量物攻和法攻""></T>"
771006,特训成果,406,"<T t=""战斗中玩家和伙伴速度提升，提升幅度与自身法术攻击相关""></T>"
771007,杨教授之吻,407,"<T t=""闪电链和三三味真火优先攻击生命值低的敌方目标""></T>"
772001,飞沙走石,62,"<T t=""法术攻击多个目标，闪电链跳跃多次，伤害结果会产生法术波动""></T>"
772002,守护印记,61,"<T t=""召唤图腾，给图腾范围内单位增加大量持续生命回复。""></T>"
772003,三味真火,63,"<T t=""法术强力打击单个目标，伤害结果会产生法术波动，该技能使用时附带一定的法术暴击""></T>"
772008,先祖印记,55,"<T t=""给自己附加先祖之魂的状态，提升大量法术暴击和法术波动下限""></T>"
772005,魔王降临,56,"<T t=""召唤图腾，给范围内队友增加大量物攻和法攻""></T>"
772006,白富美,408,"<T t=""战斗中法攻提升。""></T>"
772007,强力党,409,"<T t=""战斗开始自动附加先祖之魂状态""></T>"
773001,飞沙走石,62,"<T t=""法术攻击多个目标，闪电链跳跃多次，伤害结果会产生法术波动""></T>"
773002,守护印记,61,"<T t=""召唤图腾，给图腾范围内单位增加大量持续生命回复。""></T>"
773003,三味真火,63,"<T t=""法术强力打击单个目标，伤害结果会产生法术波动，该技能使用时附带一定的法术暴击""></T>"
773004,先祖印记,55,"<T t=""给自己附加先祖之魂的状态，提升大量法术暴击和法术波动下限""></T>"
773005,魔王降临,56,"<T t=""召唤图腾，给范围内队友增加大量物攻和法攻""></T>"
773006,离子炮,410,"<T t=""三三味真火有概率造成双倍伤害，或者为目标加血""></T>"
773007,强力母牛,411,"<T t=""死亡后，回合结束后复活且获得50%血量，每场战斗只能使用一次""></T>"
774001,飞沙走石,62,"<T t=""法术攻击多个目标，闪电链跳跃多次，伤害结果会产生法术波动""></T>"
774002,守护印记,61,"<T t=""召唤图腾，给图腾范围内单位增加大量持续生命回复。""></T>"
774003,三味真火,63,"<T t=""法术强力打击单个目标，伤害结果会产生法术波动，该技能使用时附带一定的法术暴击""></T>"
774004,先祖印记,55,"<T t=""给自己附加先祖之魂的状态，提升大量法术暴击和法术波动下限""></T>"
774005,魔王降临,56,"<T t=""召唤图腾，给范围内队友增加大量物攻和法攻""></T>"
774006,妖术灵动,412,"<T t=""受到伤害时，反震部分回攻击者""></T>"
774007,狂暴领袖,413,"<T t=""闪电链可以额外攻击1至2个目标""></T>"
781001,月影摇光,74,"<T t=""物理攻击多个目标，概率对目标进行冰冻。""></T>"
781002,碎玉击,75,"<T t=""物理攻击单个目标，如目标被击败，则对血量最低的单位进行月刃攻击。""></T>"
781003,月刃,76,"<T t=""对单个目标进行2次物理攻击。降低目标物理伤害，持续3回合。""></T>"
781004,桂花醉,77,"<T t=""给自己施加一个持续5回合的状态，使月影摇光增加一个目标。""></T>"
781005,月凝,78,"<T t=""物理攻击敌方单体并附带眩晕状态，固定持续2回合，不能被药剂和牧师净化但可以被特技净化，消耗1点连击点才能释放，消耗2点连击点免除休息""></T>"
781006,呆呆标记,77,"<T t=""攻击目标后使其物理和法术防御降低，持续到战斗结束""></T>"
781007,重情重义,415,"<T t=""使用淬毒刀扇时，伤害不衰减,且一定增加连击点""></T>"
782001,月影摇光,76,"<T t=""物理攻击多个目标，伤害逐个递减，首目标有几率中毒，上毒成功增加一点连击点""></T>"
782002,碎玉击,89,"<T t=""物理攻击单个目标，忽视目标部分物理防御穿刺攻击，增加一点连击点""></T>"
782003,月刃,79,"<T t=""物理攻击单个目标两次，消耗连击点追加等量连击次数，最多使用3个连击点，使用后扣除一定生命值并虚弱休息1回合，虚弱休息状态下双防降低""></T>"
782004,桂花醉,80,"<T t=""进入隐身状态，持续2回合，隐身状态下每回合获得1点连击点，不能再重复释放，普攻和技能均取消隐身状态同时破隐一击附带一定的物理暴击""></T>"
782005,月凝,78,"<T t=""物理攻击敌方单体并附带眩晕状态，固定持续2回合，不能被药剂和牧师净化但可以被特技净化，消耗1点连击点才能释放，消耗2点连击点免除休息""></T>"
782006,好奇宝宝,77,"<T t=""使得物理攻击附带吸血效果，并且每损失一定生命，提升一定物理伤害""></T>"
782007,八卦女王,417,"<T t=""使用穿刺影袭一定几率额外获得1颗连击点""></T>"
783001,月影摇光,76,"<T t=""物理攻击多个目标，伤害逐个递减，首目标有几率中毒，上毒成功增加一点连击点""></T>"
783002,碎玉击,89,"<T t=""物理攻击单个目标，忽视目标部分物理防御穿刺攻击，增加一点连击点""></T>"
783003,月刃,79,"<T t=""物理攻击单个目标两次，消耗连击点追加等量连击次数，最多使用3个连击点，使用后扣除一定生命值并虚弱休息1回合，虚弱休息状态下双防降低""></T>"
783004,桂花醉,80,"<T t=""进入隐身状态，持续2回合，隐身状态下每回合获得1点连击点，不能再重复释放，普攻和技能均取消隐身状态同时破隐一击附带一定的物理暴击""></T>"
783005,月凝,78,"<T t=""物理攻击敌方单体并附带眩晕状态，固定持续2回合，不能被药剂和牧师净化但可以被特技净化，消耗1点连击点才能释放，消耗2点连击点免除休息""></T>"
783006,女妖之王,77,"<T t=""进入战斗初始自带2颗连击点""></T>"
783007,黑暗游侠,419,"<T t=""使用剔骨，如果对方死亡并有剩余攻击次数，则继续选择一个单位攻击""></T>"
791001,唧唧歪歪,73,"<T t=""法术攻击5个目标。当回合降低首目标的物理伤害。""></T>"
791002,推气过宫,71,"<T t=""回复己方3个目标的气血，目标气血越低治疗量越高""></T>"
791003,金刚护法,70,"<T t=""增加己方4个目标的物理伤害，物理防御，持续5回合。""></T>"
791004,我佛慈悲,68,"<T t=""复活倒地目标，鬼魂术除外。""></T>"
791005,我佛慈悲,69,"<T t=""概率使目标进入失忆状态，让敌人的技能自动选择施法对象，可与其他控制状态共存，持续2回合。施法后提升自己控制命中3回合。""></T>"
791006,娇花气质,420,"<T t=""战斗中法攻提升""></T>"
791007,滔滔不绝,421,"<T t=""如果沉默诅咒或者恶魔降临命中对方，追加一次法术伤害。""></T>"
792001,唧唧歪歪,73,"<T t=""法术攻击多个目标，概率对首目标附加沉默效果，沉默状态下无法释放职业技能，持续3回合。""></T>"
792002,舍生取义,71,"<T t=""概率使目标沉默，沉默状态下无法释放职业技能(但可以释放职业大招和装备特技)且物理防御降低，命中概率与施法者的控制命中有关。""></T>"
792003,推气过宫,70,"<T t=""法术打击单体目标，同时吸取伤害给自己回复对应量的生命值。""></T>"
792004,金刚护法,68,"<T t=""感召目标，使其进入恐惧状态，恐惧状态下有概率攻击友方，固定持续2回合，不能被药剂和牧师净化但可以被特技净化，命中概率与施法者的控制命中有关。""></T>"
792005,我佛慈悲,69,"<T t=""战斗中降低敌方多人的法术防御""></T>"
792006,胆识过人,144,"<T t=""战斗中速度提升""></T>"
792007,上古诅咒,144,"<T t=""沉默诅咒或者恶魔降临命中后，附加2回合死亡锢魂效果。""></T>"
792008,邪恶领袖,385,"<T t=""如果玛拉得公主和死骑瑞文同时出战，每次出手都有额外概率对对方随机单位附加2回合灵魂禁锢效果""></T>"
793001,唧唧歪歪,73,"<T t=""法术攻击多个目标，概率对首目标附加沉默效果，沉默状态下无法释放职业技能，持续3回合。""></T>"
793002,舍生取义,71,"<T t=""概率使目标沉默，沉默状态下无法释放职业技能(但可以释放职业大招和装备特技)且物理防御降低，命中概率与施法者的控制命中有关。""></T>"
793003,推气过宫,70,"<T t=""法术打击单体目标，同时吸取伤害给自己回复对应量的生命值。""></T>"
793004,金刚护法,68,"<T t=""感召目标，使其进入恐惧状态，恐惧状态下有概率攻击友方，固定持续2回合，不能被药剂和牧师净化但可以被特技净化，命中概率与施法者的控制命中有关。""></T>"
793005,我佛慈悲,69,"<T t=""概率使目标进入失忆状态，让敌人的技能自动选择施法对象，可与其他控制状态共存，持续2回合。施法后提升自己控制命中3回合。""></T>"
793006,骑士尊严,422,"<T t=""战斗中被治疗提升""></T>"
793007,天启标记,423,"<T t=""使得被控制的目标中毒并且物理和法术防御降低3回合""></T>"
793008,邪恶领袖,424,"<T t=""如果玛拉得公主和死骑瑞文同时出战，每次出手都有额外概率对对方随机单位附加2回合灵魂禁锢效果""></T>"
794001,唧唧歪歪,73,"<T t=""法术攻击多个目标，概率对首目标附加沉默效果，沉默状态下无法释放职业技能，持续3回合。""></T>"
794002,舍生取义,71,"<T t=""概率使目标沉默，沉默状态下无法释放职业技能(但可以释放职业大招和装备特技)且物理防御降低，命中概率与施法者的控制命中有关。""></T>"
794003,推气过宫,70,"<T t=""法术打击单体目标，同时吸取伤害给自己回复对应量的生命值。""></T>"
794004,金刚护法,68,"<T t=""感召目标，使其进入恐惧状态，恐惧状态下有概率攻击友方，固定持续2回合，不能被药剂和牧师净化但可以被特技净化，命中概率与施法者的控制命中有关。""></T>"
794005,我佛慈悲,69,"<T t=""概率使目标进入失忆状态，让敌人的技能自动选择施法对象，可与其他控制状态共存，持续2回合。施法后提升自己控制命中3回合。""></T>"
794006,时空之轮,425,"<T t=""施放火焰之雨，被攻击的单位有概率被恐惧""></T>"
794007,混沌虚空,426,"<T t=""时空游龙释放的恐惧效果不会攻击他的敌人，只会攻击他的队友""></T>"
795001,唧唧歪歪,73,"<T t=""法术攻击多个目标，概率对首目标附加沉默效果，沉默状态下无法释放职业技能，持续3回合。""></T>"
795002,舍生取义,71,"<T t=""概率使目标沉默，沉默状态下无法释放职业技能(但可以释放职业大招和装备特技)且物理防御降低，命中概率与施法者的控制命中有关。""></T>"
795003,推气过宫,70,"<T t=""法术打击单体目标，同时吸取伤害给自己回复对应量的生命值。""></T>"
795004,金刚护法,68,"<T t=""感召目标，使其进入恐惧状态，恐惧状态下有概率攻击友方，固定持续2回合，不能被药剂和牧师净化但可以被特技净化，命中概率与施法者的控制命中有关。""></T>"
795005,我佛慈悲,69,"<T t=""概率使目标进入失忆状态，让敌人的技能自动选择施法对象，可与其他控制状态共存，持续2回合。施法后提升自己控制命中3回合。""></T>"
795006,恶魔能量,427,"<T t=""战斗中控制命中提升""></T>"
795007,嗜血意志,428,"<T t=""如果沉默诅咒或者恶魔降临命中对方，追加一次生命虹吸。""></T>"
