id,关键词,内容
11,太阳井水,"<T t=""获得："" c=""FF693F00""></T><B/><T t=""1、"" ></T><T t=""【##4】"" c=""ff07d441""></T><T t=""购买（传送门），"" ></T><T t=""10个符石""c=""ff3975fc""></T><T t=""1个"" ></T><B/><T t=""2、每日签到奖励"" ></T><B/><T t=""3、封妖、mt人文等玩法获得"" ></T><T t=""作用："" c=""FF693F00""></T><T t=""将宠物变为"" ></T><T t=""0级，""c=""ff3975fc""></T><T t=""且宠物的属性（包括"" ></T><T t=""资质、""c=""ff3975fc""></T><T t=""技能""c=""ff3975fc""></T><T t=""等）有一定改变"" ></T><B/><T t=""洗练操作："" c=""FF693F00""></T><T t=""【##16】"" c=""ff07d441""></T><T t=""传送门"" ></T><B/><T t=""您可能感兴趣："" c=""FF693F00""></T><T t=""【#####310102消耗】"" c=""ff07d441""></T>"
12,太阳井水水消耗,"<T t=""操作：""c=""ff3975fc""></T><B/><T t=""打开宠物练妖界面，选择"" ></T><T t=""洗练"" c=""FF693F00""></T><B/><T t=""洗练消耗：""c=""ff3975fc""></T><B/><T t=""1、"" ></T><T t=""普通"" c=""FF693F00""></T><T t=""宠物：60级以下消耗1个，60级以上（包括60级）消耗两个"" ></T><B/><T t=""2、"" ></T><T t=""稀有"" c=""FF693F00""></T><T t=""宠物：灵兽消耗2个永恒井水"" ></T><B/><T t=""3、洗练"" ></T><T t=""变异"" c=""FF693F00""></T><T t=""宠物使用永恒井水"" ></T>"
13,场景封妖,"<T t=""奖励："" c=""FF693F00""></T><T t=""经验、银币、有几率得浓缩染料、宠物染料、50-60人物装备"" ></T><B/><T t=""放妖："" c=""FF693F00""></T><T t=""挖低级宝图有几率放出妖（"" ></T><T t=""单人或组队""c=""ff3975fc""></T><T t=""），挖高级宝图有机会放出妖王"" ></T><T t=""（≥3人组队）""c=""ff3975fc""></T><B/><T t=""封妖场景""c=""ff3975fc""></T><T t=""和"" ></T><T t=""挑战等级""c=""ff3975fc""></T><T t=""如下："" ></T><B/><T t=""欧格瑞姆≥25级，影月城≥40级，月光海岸≥60，虚空要塞≥70级，暮光林≥80级，银松林≥90级"" ></T><B/><T t=""其他说明""c=""ff3975fc""></T><B/><T t=""1、每人每天封远古妖"" ></T><T t=""前10个""c=""ff3975fc""></T><T t=""1、获得正常奖励，超过10个"" ></T><T t=""无奖励"" c=""FF693F00""></T><B/><T t=""2、每人每天杀妖王"" ></T><T t=""最多"" c=""FF693F00""></T><T t=""获得3次奖励，之后只得荣誉值"" ></T>"
14,游戏职业,"<T t=""目前一共有"" ></T><T t=""7个""c=""ff3975fc""></T><T t=""门派，点击可以查看职业详细介绍哦"" ></T><B/><T t=""（物攻）""></T><T t=""【###战士】"" c=""ff07d441""></T><T t=""（封印控制）""></T><T t=""【###术士】"" c=""ff07d441""></T><B/><T t=""（物攻）""></T><T t=""【###猎人】"" c=""ff07d441""></T><T t=""（加血补助）""></T><T t=""【###德鲁伊】"" c=""ff07d441""></T><B/><T t=""（法师）""></T><T t=""【###法师】"" c=""ff07d441""></T><T t=""（法师）""></T><T t=""【###萨满】"" c=""ff07d441""></T><B/><T t=""（加血补助）""></T><T t=""【###圣骑】"" c=""ff07d441""></T><T t=""（加血补助）""></T><T t=""【###牧师】"" c=""ff07d441""></T><T t=""（物攻）""></T><T t=""【###盗贼】"" c=""ff07d441""></T><B/><T t=""您可能感兴趣："" c=""FF693F00""></T><T t=""【###职业加点】"" c=""ff07d441""></T><T t=""【###职业技能】"" c=""ff07d441""></T>"
15,战士,"<T t=""职业："" c=""FF693F00""></T><T t=""高爆发物理单体攻击，适合点杀，师父"" ></T><T t=""【####13104】"" c=""ff07d441""></T><B/><T t=""可加入角色："" c=""FF693F00""></T><T t=""【###牛头人】、"" c=""ff07d441""></T><T t=""【###人类】"" c=""ff07d441""></T><B/><T t=""★全服战士加点"" ></T><T t=""前4类："" c=""FF693F00""></T><B/><T t=""加点方案"" c=""FF693F00""></T><T t=""→"" ></T><T t=""人数占比"" c=""FF693F00""></T><B/><T t=""4力1体"" ></T><T t=""→"" ></T><T t=""52.08%"" ></T><B/><T t=""5力"" ></T><T t=""→"" ></T><T t=""31.83%"" ></T><B/><T t=""4力1敏"" ></T><T t=""→"" ></T><T t=""5.23%"" ></T><B/><T t=""文案解读"" c=""FF693F00""></T><B/><T t=""4力1体（1耐）""c=""ff3975fc""></T><T t=""：高生存，任务流"" ></T><B/><T t=""5力""c=""ff3975fc""></T><T t=""：高输出，坑性弱，暴力流"" ></T><B/><T t=""4力1敏""c=""ff3975fc""></T><T t=""：速度快，攻击高，pk流"" ></T><B/><T t=""注："" c=""FF693F00""></T><T t=""数据来自全服玩家统计，仅供参考"" ></T>"
16,术士,"<T t=""职业特色："" c=""FF693F00""></T><T t=""封系职业，控制对手，打乱进攻节奏，师父"" ></T><T t=""【####13108】"" c=""ff07d441""></T><B/><T t=""可加入角色："" c=""FF693F00""></T><T t=""血精灵、亡灵"" ></T><B/><T t=""加点方案："" c=""FF693F00""></T><B/><T t=""2敏2体1耐：""c=""ff3975fc""></T><T t=""血高耐抗，持久控制流"" ></T><B/><T t=""3魔1体1耐：""c=""ff3975fc""></T><T t=""法系封系，任务流"" ></T><B/><T t=""3敏1体1耐：""c=""ff3975fc""></T><T t=""抗性高，持久控制流"" ></T><B/><T t=""职业详解"" c=""FF693F00""></T><T t=""封印敌人法术，同时降低物理和法术防御"" ></T>"
17,猎人,"<T t=""职业特色："" c=""FF693F00""></T><T t=""物理输出，群伤，师父"" ></T><T t=""【####13102】"" c=""ff07d441""></T><B/><T t=""可加入角色："" c=""FF693F00""></T><T t=""暗夜精灵、巨魔"" ></T><B/><T t=""加点方案："" c=""FF693F00""></T><B/><T t=""4力1体：""c=""ff3975fc""></T><T t=""即保持输出，又保证生存"" ></T><B/><T t=5力：""c=""ff3975fc""></T><T t=""强大输出，抗性弱，暴力流"" ></T><B/><T t=4力1敏：""c=""ff3975fc""></T><T t=""速度快，先发制人，pk流"" ></T><B/><T t=""职业详解"" c=""FF693F00""></T><T t=""多重打击对敌人造成大面积伤害，同时单体攻击技能和连续单体攻击技能有效重创对手，绝技无需变身状态"" ></T>"
18,德鲁伊,"<T t=""职业特色："" c=""FF693F00""></T><T t=""强大的补助能力，回血抗封一流选择，师父"" ></T><T t=""【####13100】"" c=""ff07d441""></T><B/><T t=""可加入角色："" c=""FF693F00""></T><T t=""暗夜精灵、巨魔"" ></T><B/><T t=""加点方案："" c=""FF693F00""></T><B/><T t=""2力2耐1敏：""c=""ff3975fc""></T><T t=""主流加点，强辅助流"" ></T><B/><T t=""3体2耐：""c=""ff3975fc""></T><T t=""高抗性，血厚，生存力强"" ></T><B/><T t=""3魔1体1耐：""c=""ff3975fc""></T><T t=""法系小德，任务流"" ></T><B/><T t=""职业详解"" c=""FF693F00""></T><T t=""技能可以较低对方物理防御也可帮助队友回复气血"" ></T>"
19,太阳岛,"<T t=""职业特色："" c=""FF693F00""></T><T t=""强大的法系群攻输出，师父"" ></T><T t=""【####13105】"" c=""ff07d441""></T><B/><T t=""可加入角色："" c=""FF693F00""></T><T t=""血精灵、亡灵"" ></T><B/><T t=""加点方案："" c=""FF693F00""></T><B/><T t=""4魔1体：""c=""ff3975fc""></T><T t=""输出稳，血厚，任务流"" ></T><B/><T t=""5魔：""c=""ff3975fc""></T><T t=""高输出，抗性弱，暴力流"" ></T><B/><T t=""4魔1耐：""c=""ff3975fc""></T><T t=""输出稳，高防，pk流"" ></T><B/><T t=""职业详解"" c=""FF693F00""></T><T t=""法术伤害无法被保护。"" ></T>"
20,血蹄村,"<T t=""职业特色："" c=""FF693F00""></T><T t=""强大的法系群攻输出，师父"" ></T><T t=""【####13107】"" c=""ff07d441""></T><B/><T t=""可加入角色："" c=""FF693F00""></T><T t=""牛头人"" ></T><B/><T t=""加点方案："" c=""FF693F00""></T><B/><T t=""4魔1体：""c=""ff3975fc""></T><T t=""输出稳，血厚，任务流"" ></T><B/><T t=""5魔：""c=""ff3975fc""></T><T t=""高输出，抗性弱，暴力流"" ></T><B/><T t=""4魔1耐：""c=""ff3975fc""></T><T t=""输出稳，高防，pk流"" ></T><B/><T t=""职业详解"" c=""FF693F00""></T><T t=""法术伤害无法被保护。"" ></T>"
21,修道院,"<T t=""职业特色："" c=""FF693F00""></T><T t=""单体气血回复，可法攻，师父"" ></T><T t=""【####13101】"" c=""ff07d441""></T><B/><T t=""可加入角色："" c=""FF693F00""></T><T t=""人类"" ></T><B/><T t=""加点方案："" c=""FF693F00""></T><B/><T t=""2体2耐1敏：""c=""ff3975fc""></T><T t=""主流加点，强补助流"" ></T><B/><T t=""3魔1体1敏：""c=""ff3975fc""></T><T t=""法系牧师，任务流"" ></T><B/><T t=""3耐2体：""c=""ff3975fc""></T><T t=""防御高，抗性伤，钢板流"" ></T><B/><T t=""职业详解"" c=""FF693F00""></T><T t=""可以破除对方隐身状态。"" ></T>"
22,提瑞斯镇,"<T t=""职业特色："" c=""FF693F00""></T><T t=""气血回复，增强本方法伤、法防，师父"" ></T><T t=""【####13103】"" c=""ff07d441""></T><B/><T t=""可加入角色："" c=""FF693F00""></T><T t=""亡灵、血精灵"" ></T><B/><T t=""加点方案："" c=""FF693F00""></T><B/><T t=""2体2耐1敏：""c=""ff3975fc""></T><T t=""主流加点，强补助流"" ></T><B/><T t=""3魔1体1敏：""c=""ff3975fc""></T><T t=""法系牧师，任务流"" ></T><B/><T t=""3耐2体：""c=""ff3975fc""></T><T t=""防御高，抗性伤，钢板流"" ></T><B/><T t=""职业详解"" c=""FF693F00""></T><T t=""补助主动技能可以加强法伤和法防。"" ></T>"
23,摩萨德,"<T t=""职业："" c=""FF693F00""></T><T t=""高爆发物理单体攻击，适合点杀，师父"" ></T><T t=""【####13106】"" c=""ff07d441""></T><B/><T t=""可加入角色："" c=""FF693F00""></T><T t=""【###巨魔、暗夜精灵】、"" c=""ff07d441""></T><T t=""【###人类】"" c=""ff07d441""></T><B/><T t=""★全服盗贼加点"" ></T><T t=""前4类："" c=""FF693F00""></T><B/><T t=""加点方案"" c=""FF693F00""></T><T t=""→"" ></T><T t=""人数占比"" c=""FF693F00""></T><B/><T t=""4力1体"" ></T><T t=""→"" ></T><T t=""52.08%"" ></T><B/><T t=""5力"" ></T><T t=""→"" ></T><T t=""31.83%"" ></T><B/><T t=""4力1敏"" ></T><T t=""→"" ></T><T t=""5.23%"" ></T><B/><T t=""文案解读"" c=""FF693F00""></T><B/><T t=""4力1体（1耐）""c=""ff3975fc""></T><T t=""：高生存，任务流"" ></T><B/><T t=""5力""c=""ff3975fc""></T><T t=""：高输出，坑性弱，暴力流"" ></T><B/><T t=""4力1敏""c=""ff3975fc""></T><T t=""：速度快，攻击高，pk流"" ></T><B/><T t=""注："" c=""FF693F00""></T><T t=""数据来自全服玩家统计，仅供参考"" ></T>"
