寻找物品类id,寻找物品组,职业,等级段min,等级段max,回收物品,物品数量,售卖NPC,是否可传说,传说时间限制,传说发放物品,是否需求品质,品质系数,品质常数,是否调用特殊情况奖励,策划备注
11,3,0,15,39,320150@30;320151@30;320152@30;320154@30;320100@30;320105@30,1,160802,,,,1,1000,-15,,师门品质药品
12,3,0,40,45,320150@30;320151@30;320152@30;320154@30;320100@30;320105@30,1,160802,,,,1,1000,-20,,
13,3,0,46,50,320150@30;320151@30;320152@30;320154@30;320100@30;320105@30,1,160802,,,,1,1000,-21,,
14,3,0,51,55,320150@30;320151@30;320152@30;320154@30;320100@30;320105@30,1,160802,,,,1,1000,-22,,
15,3,0,56,60,320150@30;320151@30;320152@30;320154@30;320100@30;320105@30,1,160802,,,,1,1000,-23,,
16,3,0,61,65,320101@30;320102@30;320103@30;320104@30,1,160802,,,,1,1000,-24,,
17,3,0,66,70,320101@30;320102@30;320103@30;320104@30,1,160802,,,,1,1000,-25,,
18,3,0,71,75,320101@30;320102@30;320103@30;320104@30,1,160802,,,,1,1000,-26,,
19,3,0,76,80,320101@30;320102@30;320103@30;320104@30,1,160802,,,,1,1000,-27,,
20,3,0,81,85,320101@30;320102@30;320103@30;320104@30,1,160802,,,,1,1000,-28,,
21,3,0,86,90,320101@30;320102@30;320103@30;320104@30,1,160802,,,,1,1000,-29,,
22,3,0,91,95,320101@30;320102@30;320103@30;320104@30,1,160802,,,,1,1000,-30,,
23,3,0,96,100,320101@30;320102@30;320103@30;320104@30,1,160802,,,,1,1000,-31,,
24,3,0,101,105,320101@30;320102@30;320103@30;320104@30,1,160802,,,,1,1000,-32,,
25,3,0,106,110,320101@30;320102@30;320103@30;320104@30,1,160802,,,,1,1000,-33,,
26,3,0,111,155,320101@30;320102@30;320103@30;320104@30,1,160802,,,,1,1000,-34,,
27,4,0,15,39,320001@30;320002@30;320003@30;320004@30;320005@30,1,160802,,,,1,1000,-15,,师门品质烹饪
28,4,0,40,45,320001@30;320002@30;320003@30;320004@30;320005@30,1,160802,,,,1,1000,-20,,
29,4,0,46,50,320001@30;320002@30;320003@30;320004@30;320005@30,1,160802,,,,1,1000,-21,,
30,4,0,51,55,320001@30;320002@30;320003@30;320004@30;320005@30,1,160802,,,,1,1000,-22,,
31,4,0,56,60,320001@30;320002@30;320003@30;320004@30;320005@30,1,160802,,,,1,1000,-23,,
32,4,0,61,65,320001@30;320002@30;320003@30;320004@30;320005@30;320006@30;320007@30,1,160802,,,,1,1000,-24,,
33,4,0,66,70,320001@30;320002@30;320003@30;320004@30;320005@30;320006@30;320007@30,1,160802,,,,1,1000,-25,,
34,4,0,71,75,320001@30;320002@30;320003@30;320004@30;320005@30;320006@30;320007@30,1,160802,,,,1,1000,-26,,
35,4,0,76,80,320001@30;320002@30;320003@30;320004@30;320005@30;320006@30;320007@30,1,160802,,,,1,1000,-27,,
36,4,0,81,85,320001@30;320002@30;320003@30;320004@30;320005@30;320006@30;320007@30,1,160802,,,,1,1000,-28,,
37,4,0,86,90,320001@30;320002@30;320003@30;320004@30;320005@30;320006@30;320007@30,1,160802,,,,1,1000,-29,,
38,4,0,91,95,320001@30;320002@30;320003@30;320004@30;320005@30;320006@30;320007@30,1,160802,,,,1,1000,-30,,
39,4,0,96,100,320001@30;320002@30;320003@30;320004@30;320005@30;320006@30;320007@30,1,160802,,,,1,1000,-31,,
40,4,0,101,105,320001@30;320002@30;320003@30;320004@30;320005@30;320006@30;320007@30,1,160802,,,,1,1000,-32,,
41,4,0,106,110,320001@30;320002@30;320003@30;320004@30;320005@30;320006@30;320007@30,1,160802,,,,1,1000,-33,,
42,4,0,111,155,320001@30;320002@30;320003@30;320004@30;320005@30;320006@30;320007@30,1,160802,,,,1,1000,-34,,
43,5,0,15,54,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,,,,0,0,0,,
44,5,0,55,64,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,,,,0,0,0,,
45,5,0,65,69,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,,,,0,0,0,,
46,5,0,70,79,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,,,,0,0,0,,
47,5,0,80,89,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,,,,0,0,0,,
48,5,0,90,155,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,,,,0,0,0,,
49,6,0,15,29,320100@30;320105@30;320150@30;320151@30;320152@30;320153@30,1,160802,,,,0,0,0,,商店药品-帮派用
50,6,0,30,39,320100@30;320105@30;320150@30;320151@30;320152@30;320153@30,1,160802,,,,0,0,0,,
51,6,0,40,44,320100@30;320105@30;320150@30;320151@30;320152@30;320153@30,1,160802,,,,0,0,0,,
52,6,0,45,49,320100@30;320105@30;320150@30;320151@30;320152@30;320153@30,1,160802,,,,0,0,0,,
53,6,0,50,59,320100@30;320105@30;320150@30;320151@30;320152@30;320153@30,1,160802,,,,0,0,0,,
54,6,0,60,69,320100@30;320105@30;320150@30;320151@30;320152@30;320153@30,1,160802,,,,0,0,0,,
55,6,0,70,79,320100@30;320105@30;320150@30;320151@30;320152@30;320153@30,1,160802,,,,0,0,0,,
56,6,0,80,89,320100@30;320105@30;320150@30;320151@30;320152@30;320153@30,1,160802,,,,0,0,0,,
57,6,0,90,155,320100@30;320105@30;320150@30;320151@30;320152@30;320153@30,1,160802,,,,0,0,0,,
58,7,0,15,29,680001@30;320000@30;320001@30;320002@30;320003@30;320004@30;320005@30;320006@30;320007@30;320100@30;320101@30;320102@30;320103@30;320104@30;320105@30;320150@30;320151@30;320152@30;320153@30;6040101@30;6040102@30;6040103@30;6040104@30;6040105@30;6040106@30;6040107@30;6040108@30;6040109@30;6040110@30;6040111@30;6040112@30;6040113@30;6040114@30;6040115@30;6040116@30;6040117@30;6040220@30;6040221@30;6040322@30;6040323@30;6040424@30;6040525@30;6040626@30,1,160802,,,,0,0,0,,帮派收集物品
59,7,0,30,39,680001@30;320000@30;320001@30;320002@30;320003@30;320004@30;320005@30;320006@30;320007@30;320100@30;320101@30;320102@30;320103@30;320104@30;320105@30;320150@30;320151@30;320152@30;320153@30;6040101@30;6040102@30;6040103@30;6040104@30;6040105@30;6040106@30;6040107@30;6040108@30;6040109@30;6040110@30;6040111@30;6040112@30;6040113@30;6040114@30;6040115@30;6040116@30;6040117@30;6040220@30;6040221@30;6040322@30;6040323@30;6040424@30;6040525@30;6040626@30,1,160802,,,,0,0,0,,
60,7,0,40,44,680001@30;320000@30;320001@30;320002@30;320003@30;320004@30;320005@30;320006@30;320007@30;320100@30;320101@30;320102@30;320103@30;320104@30;320105@30;320150@30;320151@30;320152@30;320153@30;6040101@30;6040102@30;6040103@30;6040104@30;6040105@30;6040106@30;6040107@30;6040108@30;6040109@30;6040110@30;6040111@30;6040112@30;6040113@30;6040114@30;6040115@30;6040116@30;6040117@30;6040220@30;6040221@30;6040322@30;6040323@30;6040424@30;6040525@30;6040626@30,1,160802,,,,0,0,0,,
61,7,0,45,49,680001@30;320000@30;320001@30;320002@30;320003@30;320004@30;320005@30;320006@30;320007@30;320100@30;320101@30;320102@30;320103@30;320104@30;320105@30;320150@30;320151@30;320152@30;320153@30;6040101@30;6040102@30;6040103@30;6040104@30;6040105@30;6040106@30;6040107@30;6040108@30;6040109@30;6040110@30;6040111@30;6040112@30;6040113@30;6040114@30;6040115@30;6040116@30;6040117@30;6040220@30;6040221@30;6040322@30;6040323@30;6040424@30;6040525@30;6040626@30,1,160802,,,,0,0,0,,
62,7,0,50,59,680001@30;320000@30;320001@30;320002@30;320003@30;320004@30;320005@30;320006@30;320007@30;320100@30;320101@30;320102@30;320103@30;320104@30;320105@30;320150@30;320151@30;320152@30;320153@30;6040101@30;6040102@30;6040103@30;6040104@30;6040105@30;6040106@30;6040107@30;6040108@30;6040109@30;6040110@30;6040111@30;6040112@30;6040113@30;6040114@30;6040115@30;6040116@30;6040117@30;6040220@30;6040221@30;6040322@30;6040323@30;6040424@30;6040525@30;6040626@30,1,160802,,,,0,0,0,,
63,7,0,60,69,680001@30;320000@30;320001@30;320002@30;320003@30;320004@30;320005@30;320006@30;320007@30;320100@30;320101@30;320102@30;320103@30;320104@30;320105@30;320150@30;320151@30;320152@30;320153@30;6040101@30;6040102@30;6040103@30;6040104@30;6040105@30;6040106@30;6040107@30;6040108@30;6040109@30;6040110@30;6040111@30;6040112@30;6040113@30;6040114@30;6040115@30;6040116@30;6040117@30;6040220@30;6040221@30;6040322@30;6040323@30;6040424@30;6040525@30;6040626@30,1,160802,,,,0,0,0,,
64,7,0,70,79,680001@30;320000@30;320001@30;320002@30;320003@30;320004@30;320005@30;320006@30;320007@30;320100@30;320101@30;320102@30;320103@30;320104@30;320105@30;320150@30;320151@30;320152@30;320153@30;6040101@30;6040102@30;6040103@30;6040104@30;6040105@30;6040106@30;6040107@30;6040108@30;6040109@30;6040110@30;6040111@30;6040112@30;6040113@30;6040114@30;6040115@30;6040116@30;6040117@30;6040220@30;6040221@30;6040322@30;6040323@30;6040424@30;6040525@30;6040626@30,1,160802,,,,0,0,0,,
65,7,0,80,89,680001@30;320000@30;320001@30;320002@30;320003@30;320004@30;320005@30;320006@30;320007@30;320100@30;320101@30;320102@30;320103@30;320104@30;320105@30;320150@30;320151@30;320152@30;320153@30;6040101@30;6040102@30;6040103@30;6040104@30;6040105@30;6040106@30;6040107@30;6040108@30;6040109@30;6040110@30;6040111@30;6040112@30;6040113@30;6040114@30;6040115@30;6040116@30;6040117@30;6040220@30;6040221@30;6040322@30;6040323@30;6040424@30;6040525@30;6040626@30,1,160802,,,,0,0,0,,
66,7,0,90,155,680001@30;320000@30;320001@30;320002@30;320003@30;320004@30;320005@30;320006@30;320007@30;320100@30;320101@30;320102@30;320103@30;320104@30;320105@30;320150@30;320151@30;320152@30;320153@30;6040101@30;6040102@30;6040103@30;6040104@30;6040105@30;6040106@30;6040107@30;6040108@30;6040109@30;6040110@30;6040111@30;6040112@30;6040113@30;6040114@30;6040115@30;6040116@30;6040117@30;6040220@30;6040221@30;6040322@30;6040323@30;6040424@30;6040525@30;6040626@30,1,160802,,,,0,0,0,,
67,8,0,15,29,35001@30;35002@30;35003@30;35004@30;35005@30;35006@30;35007@30;35008@30;35009@30,1,160802,,,,0,0,0,,帮派收集-宝石
68,8,0,30,39,35001@30;35002@30;35003@30;35004@30;35005@30;35006@30;35007@30;35008@30;35009@30,1,160802,,,,0,0,0,,帮派收集-烹饪
69,8,0,40,44,35001@30;35002@30;35003@30;35004@30;35005@30;35006@30;35007@30;35008@30;35009@30,1,160802,,,,0,0,0,,帮派收集-药品
70,8,0,45,49,35001@30;35002@30;35003@30;35004@30;35005@30;35006@30;35007@30;35008@30;35009@30,1,160802,,,,0,0,0,,帮派收集-40级环
71,8,0,50,59,35001@30;35002@30;35003@30;35004@30;35005@30;35006@30;35007@30;35008@30;35009@30,1,160802,,,,0,0,0,,帮派收集-50级环
72,8,0,60,69,35001@30;35002@30;35003@30;35004@30;35005@30;35006@30;35007@30;35008@30;35009@30,1,160802,,,,0,0,0,,帮派收集-40级精铁
73,8,0,70,79,35001@30;35002@30;35003@30;35004@30;35005@30;35006@30;35007@30;35008@30;35009@30,1,160802,,,,0,0,0,,帮派收集-50级精铁
74,8,0,80,89,35001@30;35002@30;35003@30;35004@30;35005@30;35006@30;35007@30;35008@30;35009@30,1,160802,,,,0,0,0,,帮派收集-宝石
75,8,0,90,155,35001@30;35002@30;35003@30;35004@30;35005@30;35006@30;35007@30;35008@30;35009@30,1,160802,,,,0,0,0,,帮派收集-宝石
76,9,0,15,54,6050102@30;6050103@30;6050104@30;6050105@30;6050106@30;6050107@30;6050108@30;6050109@30;6050110@30;6050111@30;6050112@30;6050113@30;6050114@30;6050115@30;6050116@30;6050117@30;6050220@30;6050221@30;6050322@30;6050323@30;6050424@30;6050525@30;6050626@30,1,160802,,,,0,0,0,,50级环装
77,9,0,55,64,6050102@30;6050103@30;6050104@30;6050105@30;6050106@30;6050107@30;6050108@30;6050109@30;6050110@30;6050111@30;6050112@30;6050113@30;6050114@30;6050115@30;6050116@30;6050117@30;6050220@30;6050221@30;6050322@30;6050323@30;6050424@30;6050525@30;6050626@30,1,160802,,,,0,0,0,,
78,9,0,65,69,6050102@30;6050103@30;6050104@30;6050105@30;6050106@30;6050107@30;6050108@30;6050109@30;6050110@30;6050111@30;6050112@30;6050113@30;6050114@30;6050115@30;6050116@30;6050117@30;6050220@30;6050221@30;6050322@30;6050323@30;6050424@30;6050525@30;6050626@30,1,160802,,,,0,0,0,,
79,9,0,70,79,6050102@30;6050103@30;6050104@30;6050105@30;6050106@30;6050107@30;6050108@30;6050109@30;6050110@30;6050111@30;6050112@30;6050113@30;6050114@30;6050115@30;6050116@30;6050117@30;6050220@30;6050221@30;6050322@30;6050323@30;6050424@30;6050525@30;6050626@30,1,160802,,,,0,0,0,,
80,9,0,80,89,6050102@30;6050103@30;6050104@30;6050105@30;6050106@30;6050107@30;6050108@30;6050109@30;6050110@30;6050111@30;6050112@30;6050113@30;6050114@30;6050115@30;6050116@30;6050117@30;6050220@30;6050221@30;6050322@30;6050323@30;6050424@30;6050525@30;6050626@30,1,160802,,,,0,0,0,,
81,9,0,90,155,6050102@30;6050103@30;6050104@30;6050105@30;6050106@30;6050107@30;6050108@30;6050109@30;6050110@30;6050111@30;6050112@30;6050113@30;6050114@30;6050115@30;6050116@30;6050117@30;6050220@30;6050221@30;6050322@30;6050323@30;6050424@30;6050525@30;6050626@30,1,160802,,,,0,0,0,,
82,10,0,15,29,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,暗夜马戏团商店药品
83,10,0,30,39,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,
84,10,0,40,44,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,
85,10,0,45,49,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,
86,10,0,50,59,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,
87,10,0,60,69,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,
88,10,0,70,79,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,
89,10,0,80,89,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,
90,10,0,90,155,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,
91,11,0,15,29,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,暗夜马戏团40环装
92,11,0,30,39,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,
93,11,0,40,44,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,
94,11,0,45,49,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,
95,11,0,50,59,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,
96,11,0,60,69,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,
97,11,0,70,79,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,
98,11,0,80,89,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,
99,11,0,90,155,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,
100,12,0,15,29,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,暗夜马戏团50环装
101,12,0,30,39,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,
102,12,0,40,44,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,
103,12,0,45,49,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,
104,12,0,50,59,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,
105,12,0,60,69,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,
106,12,0,70,79,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,
107,12,0,80,89,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,
108,12,0,90,155,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,
109,13,0,15,29,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,暗夜马戏团60环装
110,13,0,30,39,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,
111,13,0,40,44,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,
112,13,0,45,49,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,
113,13,0,50,59,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,
114,13,0,60,69,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,
115,13,0,70,79,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,
116,13,0,80,89,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,
117,13,0,90,155,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,
118,14,0,15,39,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-15,,暗夜马戏团1级品质药品
119,14,0,40,45,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-20,,
120,14,0,46,50,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-21,,
121,14,0,51,55,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-22,,
122,14,0,56,60,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-23,,
123,14,0,61,65,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-24,,
124,14,0,66,70,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-25,,
125,14,0,71,75,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-26,,
126,14,0,76,80,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-27,,
127,14,0,81,85,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-28,,
128,14,0,86,90,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-29,,
129,14,0,91,95,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-30,,
130,14,0,96,100,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-31,,
131,14,0,101,105,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-32,,
