npcid,名称,备注,所属副本ID,初始状态,服务列表,初始动作,npc类型,状态改变1,状态改变2,状态改变3,状态改变4,所属进度,单次交互人数下限,NPC随机最小数量,NPC随机最大数量,完成宝箱库ID,每人宝箱数,奖励,匹配奖励方式,分级奖励,固定刷新坐标X,固定刷新坐标Y,是否可同时进行多场战斗
180368,熔火哨兵,铁甲,110,1,100328,190018,1,,,,,9,3,5,7,,,6260,,,,,
180369,熔火法师,抗魔,110,1,100329,190019,1,,,,,9,3,5,7,,,6260,,,,,
180370,鲁西拂,惧封,110,1,100330,190020,1,,,,,1,3,3,3,,,6300,,,,,
180371,玛格达,铁甲,110,1,100331,190021,1,,,,,2,3,3,3,,,6300,,,,,
180372,吉纳斯,抗魔,110,1,100332,190022,1,,,,,3,3,3,3,,,6300,,,,,
180373,加尔罗,惧封,110,1,100333,190023,1,,,,,4,3,3,3,,,6300,,,,,
180374,嘉顿,铁甲,110,1,100334,190024,1,,,,,5,3,3,3,,,6300,,,,,
180375,沙思拉,抗魔,110,1,100335,190025,1,,,,,6,3,3,3,,,6300,,,,,
180376,萨利弗,惧封,110,1,100336,190026,1,,,,,7,3,3,3,,,6300,,,,,
180377,古雷曼,铁甲,110,1,100337,190027,1,,,,,8,3,3,3,,,6300,,,,,
180378,埃克图斯,抗魔,110,1,100338,190028,1,,,,,9,3,3,3,,,6300,,,,,
180379,泡泡神,领主,110,1,100339,190029,2,,,,,10,1,1,1,2,20,,,,64,41,1
180380,恋宝矮人,恋宝矮人4-6,110,1,100340,190030,1,,,,,4;5;6,1,3,5,,,6260,,,,,
180381,恋宝矮人,恋宝矮人7-8,110,1,100341,190031,1,,,,,7;8;9,1,3,5,,,6260,,,,,
180382,贪食公主,贪食公主4-6,110,1,100342,190032,1,,,,,4;5;6,1,3,5,,,6260,,,,,
180383,贪食公主,贪食公主7-8,110,1,100343,190033,1,,,,,7;8;9,1,3,5,,,6260,,,,,
180401,恋宝南瓜,恋宝矮人1-3,111,1,100351,200001,1,,,,,1;2;3,1,3,5,,,6260,,,,,
180402,贪食饿犬,贪食公主1-3,111,1,100352,200002,1,,,,,1;2;3,1,3,5,,,6260,,,,,
180403,鳄鱼问答,,111,1,100353,200003,1,,,,,1;2;3;4;5;6;7;8;9,1,3,5,,,6260,,,,,
180404,宝箱,,111,1,,,1,,,,,,1,20,20,,,,,,,,
180405,惧封地卜师,,111,1,100355,200005,1,,,,,1;2,3,1,3,,,6260,,,,,
180406,铁甲狂乱者,,111,1,100356,200006,1,,,,,1;2,3,1,3,,,6260,,,,,
180407,敌法缚法者,,111,1,100357,200007,1,,,,,1;2,3,1,3,,,6260,,,,,
180408,惧封地卜师,,111,1,100358,200008,1,,,,,3;4,3,2,4,,,6260,,,,,
180409,铁甲狂乱者,,111,1,100359,200009,1,,,,,3;4,3,2,4,,,6260,,,,,
180410,敌法缚法者,,111,1,100360,200010,1,,,,,3;4,3,2,4,,,6260,,,,,
180411,惧封地卜师,,111,1,100361,200011,1,,,,,5;6,3,3,5,,,6260,,,,,
180412,铁甲狂乱者,,111,1,100362,200012,1,,,,,5;6,3,3,5,,,6260,,,,,
180413,敌法缚法者,,111,1,100363,200013,1,,,,,5;6,3,3,5,,,6260,,,,,
180414,惧封地卜师,,111,1,100364,200014,1,,,,,7;8,3,4,6,,,6260,,,,,
180415,铁甲狂乱者,,111,1,100365,200015,1,,,,,7;8,3,4,6,,,6260,,,,,
180416,敌法缚法者,,111,1,100366,200016,1,,,,,7;8,3,4,6,,,6260,,,,,
180417,惧封地卜师,,111,1,100367,200017,1,,,,,9,3,5,7,,,6260,,,,,
180418,铁甲狂乱者,,111,1,100368,200018,1,,,,,9,3,5,7,,,6260,,,,,
180419,敌法缚法者,,111,1,100369,200019,1,,,,,9,3,5,7,,,6260,,,,,
180420,惧封纳兹科尔,,111,1,100370,200020,1,,,,,1,3,3,3,,,6300,,,,,
180421,铁甲沃兹塔斯,,111,1,100371,200021,1,,,,,2,3,3,3,,,6300,,,,,
180422,敌法蕾丝雷尔,,111,1,100372,200022,1,,,,,3,3,3,3,,,6300,,,,,
180423,惧封弗莫诺,,111,1,100373,200023,1,,,,,4,3,3,3,,,6300,,,,,
180424,铁甲艾欧克,,111,1,100374,200024,1,,,,,5,3,3,3,,,6300,,,,,
180425,敌法法艾克,,111,1,100375,200025,1,,,,,6,3,3,3,,,6300,,,,,
180426,惧封欧希克娅,,111,1,100376,200026,1,,,,,7,3,3,3,,,6300,,,,,
180427,铁甲克罗姆斯,,111,1,100377,200027,1,,,,,8,3,3,3,,,6300,,,,,
180428,敌法科罗斯克,,111,1,100378,200028,1,,,,,9,3,3,3,,,6300,,,,,
180429,尼弗瑞安,,111,1,100379,200029,2,,,,,10,1,1,1,2,20,,,,72,56,1
180430,恋宝南瓜,恋宝矮人4-6,111,1,100380,200030,1,,,,,4;5;6,1,3,5,,,6260,,,,,
180431,恋宝南瓜,恋宝矮人7-8,111,1,100381,200031,1,,,,,7;8;9,1,3,5,,,6260,,,,,
180432,贪食饿犬,贪食公主4-6,111,1,100382,200032,1,,,,,4;5;6,1,3,5,,,6260,,,,,
180433,贪食饿犬,贪食公主7-8,111,1,100383,200033,1,,,,,7;8;9,1,3,5,,,6260,,,,,
180451,恋宝巨龙,,112,1,100510,210001,1,,,,,1;2;3,1,3,5,,,6260,,,,,
180452,恋宝巨龙,,112,1,100511,210002,1,,,,,4;5;6,1,3,5,,,6260,,,,,
180453,恋宝巨龙,,112,1,100512,210003,1,,,,,7;8;9,1,3,5,,,6260,,,,,
180454,贪食匹格,,112,1,100513,210004,1,,,,,1;2;3,1,3,5,,,6260,,,,,
180455,贪食匹格,,112,1,100514,210005,1,,,,,4;5;6,1,3,5,,,6260,,,,,
180456,贪食匹格,,112,1,100515,210006,1,,,,,7;8;9,1,3,5,,,6260,,,,,
180457,怪兽问答,,112,1,100516,210007,1,,,,,1;2;3;4;5;6;7;8;9,1,3,5,,,6260,,,,,
180458,宝箱,,112,1,,,1,,,,,,1,20,20,,,,,,,,
180459,惧控沙行者,,112,1,100518,210009,1,,,,,1;2,3,1,3,,,6260,,,,,
180460,铁甲角斗士,,112,1,100519,210010,1,,,,,1;2,3,1,3,,,6260,,,,,
180461,敌法吞噬者,,112,1,100520,210011,1,,,,,1;2,3,1,3,,,6260,,,,,
180462,惧控沙行者,,112,1,100521,210012,1,,,,,3;4,3,2,4,,,6260,,,,,
180463,铁甲角斗士,,112,1,100522,210013,1,,,,,3;4,3,2,4,,,6260,,,,,
180464,敌法吞噬者,,112,1,100523,210014,1,,,,,3;4,3,2,4,,,6260,,,,,
180465,惧控沙行者,,112,1,100524,210015,1,,,,,5;6,3,3,5,,,6260,,,,,
180466,铁甲角斗士,,112,1,100525,210016,1,,,,,5;6,3,3,5,,,6260,,,,,
180467,敌法吞噬者,,112,1,100526,210017,1,,,,,5;6,3,3,5,,,6260,,,,,
180468,惧控沙行者,,112,1,100527,210018,1,,,,,7;8,3,4,6,,,6260,,,,,
180469,铁甲角斗士,,112,1,100528,210019,1,,,,,7;8,3,4,6,,,6260,,,,,
180470,敌法吞噬者,,112,1,100529,210020,1,,,,,7;8,3,4,6,,,6260,,,,,
180471,惧控沙行者,,112,1,100530,210021,1,,,,,9,3,5,7,,,6260,,,,,
180472,铁甲角斗士,,112,1,100531,210022,1,,,,,9,3,5,7,,,6260,,,,,
180473,敌法吞噬者,,112,1,100532,210023,1,,,,,9,3,5,7,,,6260,,,,,
180474,惧控预言者,,112,1,100533,210024,1,,,,,1,3,3,3,,,6300,,,,,
180475,铁甲雅儿吉公主,,112,1,100534,210025,1,,,,,2,3,3,3,,,6300,,,,,
180476,敌法维姆克利领主,,112,1,100535,210026,1,,,,,3,3,3,3,,,6300,,,,,
180477,惧控战争守卫沙尔,,112,1,100536,210027,1,,,,,4,3,3,3,,,6300,,,,,
180478,铁甲顽强的范克,,112,1,100537,210028,1,,,,,5,3,3,3,,,6300,,,,,
180479,敌法哈火蓝公主,,112,1,100538,210029,1,,,,,6,3,3,3,,,6300,,,,,
180480,惧控奥罗尔,,112,1,100539,210030,1,,,,,7,3,3,3,,,6300,,,,,
180481,铁甲双子刀皇,,112,1,100540,210031,1,,,,,8,3,3,3,,,6300,,,,,
180482,敌法双子剑皇,,112,1,100541,210032,1,,,,,9,3,3,3,,,6300,,,,,
180483,克鲁苏,,112,1,100542,210033,2,,,,,10,1,1,1,2,20,,,,94,18,1
